B,C,D,E,F,G,H,I,J,Response
186.9402179,0.798130643,0.497206991,1.355103642,-0.454447969,2.068751579,-0.910749394,female,yes,0.117127804
228.5784952,0.932199088,1.134051558,0.00609568,0.285260394,0.561204881,-2.187861668,female,no,0.895732418
-338.5217959,-0.46817594,0.987050962,-2.492583353,-0.016338431,-0.343495784,0.91150147,unknown,no,-0.310603476
-237.0636188,-1.036314658,0.442113372,0.547366173,-0.447179261,-1.158872829,-0.459572443,female,no,-0.322805061
166.6346533,1.828584117,-0.931838773,-1.395944594,0.141942241,0.527436694,-0.373428544,female,no,0.226266561
62.08661703,0.047114831,-0.156722305,1.212141714,-0.392674718,-1.132388363,1.735149213,female,no,0.241016549
-191.3481421,0.759827682,0.890592799,-0.01025116,-2.076303861,0.190981857,0.701509997,female,no,-0.990079279
105.3614031,-0.861403436,1.702687397,0.810498231,0.90138208,0.270629932,0.521310786,female,yes,1.211518486
246.4117948,1.79276391,-1.965189192,-0.254064277,-1.151956532,-0.511746016,-0.186009847,female,unknown,1.0328199
-128.780494,0.199779024,-0.731957092,0.342909636,-1.429677305,1.326032586,1.581370261,unknown,no,-1.605020656
135.6913279,1.211954058,-1.560081872,0.60644001,-1.183000376,-0.376170565,-1.104995159,female,no,1.408825181
235.358056,1.000261436,1.11153739,0.392526328,0.055111906,1.175108064,0.98392646,female,unknown,-0.243596961
-127.9336413,0.028035325,0.117820275,0.450431148,-0.438114305,-0.46850711,-1.150294485,unknown,yes,0.757117719
498.6514325,2.114129932,-0.32685698,0.046497311,0.228888221,2.349922488,0.682999464,unknown,no,2.448063708
-169.7285854,-0.695665224,-0.267483566,0.536670606,-0.109112632,-0.631035839,0.014453599,unknown,yes,0.068519226
-238.7357225,0.438888142,2.370397951,0.037007226,-0.532181334,-0.34878875,2.345370738,unknown,yes,-0.835277866
-137.0099228,-0.973841097,1.204257448,-0.056120564,-0.333202169,0.400051167,-1.280710207,unknown,yes,1.160236428
19.7071769,0.328806189,0.886888196,0.909176881,-0.537290819,0.054236435,-0.856444199,female,unknown,-1.155676998
159.8671199,-0.112760972,0.4727491,0.409892754,0.577306181,0.597099316,1.11290986,female,no,0.188435767
207.8418622,1.143089922,0.461739851,-0.060856181,1.754178553,-0.879286303,-0.551751669,female,no,-0.500381565
46.50406633,0.781037622,0.236083911,-0.255251915,-0.554926425,0.469537487,0.569147361,male,yes,1.543537949
-150.2683808,-1.222938006,0.003087468,-0.585102699,1.495454784,0.076238394,-0.584768953,female,yes,0.822367369
290.4814542,1.889565327,0.291386898,-0.032634492,0.589071798,0.883805375,-0.350693378,unknown,no,0.043422296
-22.73553669,0.138404217,-1.103800938,-0.823771802,1.380681134,0.088842382,1.437394155,female,no,-0.66968375
75.42588318,-0.29189915,1.786117843,-0.214768693,0.107438929,-1.974016037,-0.789641389,unknown,unknown,0.552728256
-125.199263,-0.503357885,-0.552900419,-1.152271071,-1.348848149,0.598149533,-1.05164955,female,unknown,0.356380715
-120.4921709,-0.511362632,-0.232750403,0.094006722,1.200586558,0.136041885,-0.30493707,unknown,no,-2.058175455
-29.68801738,0.060533958,-0.252288279,0.617882035,-0.197524819,-0.198035108,0.430712401,female,no,-0.511606642
26.09464577,0.058714503,-0.366351933,1.408045139,-0.403423297,-0.450073358,0.011890569,female,yes,1.253889698
