A,B,C,D,E,F,G,H,I,J,Response
47.24236575,0.567574779,-1.874955639,0.065690442,-0.744011387,0.034881555,-0.182949922,1.921891156,No,Male,0.118086055
-195.2607883,0.175863721,0.466483677,0.096314551,-0.567463414,-1.092774215,0.210922716,-0.13886397,No,Male,-2.040641924
271.5600018,0.947224271,1.039991785,1.310196517,-0.193537111,1.177232054,1.801449209,-0.292338676,No,Male,0.091436833
-39.08648198,0.945476184,1.387181436,0.178620199,-0.095959297,-0.896406884,-1.381096698,0.534987631,Yes,Male,0.781681153
-121.768597,-0.063864367,1.453053907,1.070991003,-0.885700371,-0.829679434,-1.39880997,-0.383120055,No,Male,-0.382995085
321.0135109,1.454035382,0.461485047,0.853688982,-0.561362001,0.459419348,1.251985327,-0.528627739,Yes,Male,0.661952164
59.26451452,-0.359673464,-0.528191399,0.755056714,0.387749575,-0.533150767,-0.17365951,0.321717889,Yes,Female,-0.406624114
76.23932966,1.150696004,-0.545972273,-0.048549383,-1.868102455,-0.294806865,0.362109736,0.601613251,Yes,Male,0.003071661
-3.827237923,0.695706587,-0.35996551,-0.164744853,1.045045618,-0.02753424,-1.082960287,-0.638426706,No,Male,0.372484387
-59.31114339,-1.832457327,-0.743207663,1.847729903,-0.381228999,0.158605826,0.536146923,0.56730066,No,Male,-1.457593996
56.89246601,-0.340090286,-1.240076932,0.833380286,0.772378341,-0.06484063,0.362545854,-1.295209417,Yes,Male,-0.129479903
42.47780764,0.278343677,-0.449198772,1.033348729,-1.686838286,-1.132299495,-0.050001402,0.407609135,No,Male,-0.392443474
8.23038356,0.756021176,-0.333458502,-1.044039651,-0.227693504,0.997393951,-0.00916277,-0.973617954,No,Female,-0.663366022
-157.4303164,-1.508588291,-0.574897309,0.35164035,0.122830716,-0.89464486,-1.523898501,-0.366800081,No,Male,0.774258678
255.5141272,2.037542508,0.877404037,0.371213237,0.659182109,1.250943828,-0.12126675,0.59443653,No,Female,0.128965266
134.0569191,0.783118617,-1.203291373,-0.01871156,0.174021231,-0.570848559,-0.26991932,-1.53552666,No,Female,0.453405527
65.23935806,-1.500328376,0.434788805,0.314025692,0.140495907,0.649829635,-0.055258996,0.818839373,Yes,Female,0.372876009
67.73447304,-0.300228633,0.412869393,-0.270977623,-0.296425609,1.454503505,0.108793722,0.414010658,Yes,Male,0.879808204
