B,C,D,E,F,G,H,I,J,Response
-42.49020015,0.90332391,0.562689997,0.08959128,-0.436385347,1.301931027,-0.729392204,female,unknown,1.038647503
65.37879117,-0.767978866,1.062630485,-0.855100881,-1.090121959,-0.211795458,1.308380994,female,no,1.312209251
-89.55458488,-0.365662488,0.250908316,-1.823107954,-1.609870541,0.910062698,0.845636945,unknown,no,-1.373408936
-129.0853611,-1.145337035,0.499274047,-0.514559449,-1.214243647,-1.228170221,-0.365760776,female,no,0.07767835
76.19115809,0.134240755,1.224704487,-0.500147408,-0.6040935,0.802814802,0.602122976,unknown,unknown,1.185806479
-65.43439789,1.231806844,0.588187498,-0.669793437,-1.001302892,-0.751603302,-0.035112848,unknown,unknown,0.424968466
-134.9375039,0.589214569,1.670966636,-1.103806389,-0.910284982,-0.42719496,-0.273774475,male,no,-0.29502077
-157.535904,1.271527161,2.010389428,-0.918991886,-0.595749753,-0.708425395,-0.607812688,female,no,-0.979642446
15.19331138,0.158026584,-1.526334195,-0.698535783,0.119767268,0.128811127,0.698326776,male,no,0.278817509
-159.2261976,-0.977364743,0.404710395,-2.522625792,-0.570962538,-0.928037894,-0.242168906,female,no,0.541343088
131.5575791,0.607251451,0.533247254,0.448835783,0.481111877,-0.224887775,1.276651311,unknown,no,-0.670373085
-15.31114104,-0.083947168,-0.051225612,0.090651221,-0.297606629,0.864573016,0.419921872,female,yes,-1.071145469
-114.7297217,-0.713244239,-0.682900857,-0.810428362,0.501441367,-1.089175643,-0.80641959,female,no,-1.445400948
286.8772954,2.186283313,-0.26405348,0.780400856,1.60084057,1.272744486,1.174430652,unknown,unknown,0.191161014
138.4794183,-1.188015104,1.695426337,0.547686628,-0.705808812,0.254101514,1.17064683,unknown,no,1.105457274
44.59786168,-0.210041404,1.263542988,-0.509198988,1.080075994,-0.846055757,-0.345104879,unknown,yes,1.825174519
16.83798513,1.481644823,-0.204752863,1.178981063,-0.108510658,-1.251136007,-1.004147114,female,unknown,0.255899068
-25.73349145,0.261872291,-0.040389002,0.419733278,-0.144471741,-0.936727297,0.508359493,female,yes,-1.310987045
-5.079459771,-0.669436726,0.423350123,0.031765836,-0.546385789,-0.99324978,0.515238997,male,yes,0.022238576
100.9758382,-0.440505032,-1.633613054,0.065260524,0.828184282,-1.204494662,0.0814243,female,unknown,0.479949106
-138.132818,-1.116548115,-1.131478719,-0.008415613,-0.857201654,-0.237757918,-0.258504143,female,unknown,-1.712485566
211.1413917,0.55044377,0.635862683,0.373646876,0.523115898,-0.691307373,1.766900223,unknown,yes,-0.199085743
177.5228503,0.265935807,1.378356281,-0.244604327,1.046880268,0.476852242,0.575299939,unknown,no,2.361603833
-26.91413915,-0.637832542,-0.433587778,0.494720051,0.393585535,0.117242627,-1.066257071,female,no,0.742184832
19.37264298,0.949873175,2.353909937,1.584397647,2.172200018,-1.548168253,-0.907622494,female,yes,-1.915306818
-257.5051314,-1.859478925,2.11949707,-0.550010952,-1.582952849,-1.2083678,-1.078571934,female,unknown,-0.83618158
289.703653,-0.420117255,-0.473090763,0.683112457,1.848955792,0.11742909,1.296958644,unknown,yes,1.243459634
34.27146402,1.602915172,-0.398699889,-0.344672668,0.501779731,-1.08184474,-0.214502356,female,unknown,0.262435794
157.766217,0.176516755,1.128660324,-0.756259266,1.55181474,-0.778921539,0.852130254,unknown,no,0.255665183
86.83940762,-0.974296318,0.036305314,-0.260503389,-0.12881903,-1.132679754,0.518279183,male,unknown,1.149588714
-188.8864558,-0.452077794,-0.065670359,-0.281234537,-2.157155366,-0.85520399,-0.80593168,female,no,0.016569692
-39.20962507,1.285271143,1.875003096,-0.761836653,-0.196403484,0.393037291,0.089841779,female,no,-0.279275535
-115.4675523,-0.654765422,-0.978897003,-1.381408701,-0.692816711,-0.106918012,0.666487753,female,no,-1.702197509
-86.19256493,-0.920768646,-0.201154518,1.169942245,-0.639118944,-1.639783075,-0.778290233,male,yes,0.408649569
182.3850108,-1.038783098,1.372365811,-0.797106872,0.417973239,-0.212524836,2.417844401,male,no,-0.844865905
-68.46610785,-0.751725433,0.607964297,0.149979644,0.535120622,-1.0037306,-1.446818499,female,unknown,-0.466613516
-143.7992865,0.512372147,-0.002583534,-1.806614683,0.450366276,-1.467248054,-1.015691057,male,no,0.229474886
137.0433634,-0.131772092,-1.076971046,0.864061604,1.611608194,-0.159909798,-0.000380025,unknown,no,-0.033431847
97.078297,-0.340847935,-1.532619554,-0.762052569,0.138338058,0.162570561,0.495777569,female,unknown,1.990428281
-38.00678016,-0.223329486,0.30024451,0.170940363,-1.654295298,-1.412334596,0.40165624,unknown,unknown,-0.576420594
-76.42969915,-0.496222653,-0.449823429,0.86126638,-1.549209636,0.279066961,-0.545191613,unknown,unknown,0.478862585
104.1600579,-1.921596048,-0.261691082,0.624404911,0.175687683,-1.196485646,1.059744554,female,unknown,-0.411537664
-72.14042631,1.10851781,0.540751259,0.556478394,-0.649535916,-0.77083049,-0.559145288,male,yes,0.582534288
12.11753474,0.498369355,-1.239668187,-0.841291199,0.535811832,-0.890428709,0.404848303,female,no,0.304642222
17.36758486,0.354582846,-0.787502593,-2.040639403,1.836426748,-0.218070625,-0.210501013,female,unknown,-0.976775746
-83.32930448,-2.106607152,-0.200226823,1.681926802,-0.972856749,-0.151710431,-0.780156932,female,no,-1.341046615
99.87181887,-1.674378271,0.291616118,1.379099353,-0.917457995,-1.400750866,1.563350561,female,no,-1.696158762
22.98541631,-0.330869014,1.3811238,-0.652678334,0.969436335,0.994717405,-0.346978327,unknown,no,0.12782201
145.9478867,0.063766155,1.960057281,-1.451570114,0.929049922,0.337055449,0.334553741,unknown,unknown,2.39440478
-211.5433591,0.625687634,-1.7567648,0.848472844,-1.322455698,-0.813780058,-2.290834873,unknown,no,0.77742052
162.0935432,0.207316935,-0.33874166,-0.278232655,2.315939188,0.681457496,-0.041467616,female,unknown,-0.134224923
288.2069454,-0.299442957,1.54388259,0.582166012,0.944794246,1.312663002,1.050016661,unknown,unknown,2.11533686
-136.3344389,-0.807425195,-0.033334304,0.422776216,-0.473274636,0.138024271,-1.25947627,unknown,no,-0.781926422
-66.00045625,0.765897689,0.355308424,0.862368707,0.184436209,-1.452348598,-0.944695108,female,no,-1.275382638
