A,B,C,D,E,F,G,H,I,J,Response
-3.556880828,0.460283329,1.101078873,0.837290328,-2.824843338,-0.07330931,-0.480610355,-0.999546627,No,Male,-0.90181304
70.32992551,-0.866743465,-0.145174947,0.042963675,0.161567003,0.760097336,-1.053373978,0.944572322,No,Male,0.544735527
38.26087305,0.374450492,1.156963356,-0.634526987,-1.810943061,-1.330079914,0.464127462,-0.495636797,No,Male,-0.434690567
-305.8957919,0.116342891,-2.263924058,1.276077088,-0.307377843,1.675402854,0.1727067,-1.004045501,Yes,Female,-2.213552268
-28.86328205,0.415108548,-2.397920329,0.410620146,0.440843146,-0.959519857,-0.012703872,-0.412966213,No,Female,0.688860409
13.40386823,2.141871151,0.009055306,-0.527023144,-0.059992263,-0.778452842,0.124903639,0.366812718,No,Male,-0.184229318
26.48721033,-0.818950195,1.177745555,-0.2733728,-2.643028087,-2.13567258,2.378279755,-0.332612736,Yes,Male,0.55402171
-34.45828513,1.340330397,-0.026689928,0.342472156,1.253301253,0.84400994,0.415334667,-2.907197062,No,Male,-0.584641019
-107.0637348,1.559277062,-0.917483118,0.141293729,-0.425947611,0.815167228,0.648029738,0.605849442,Yes,Female,0.045152607
-92.89707184,0.582694045,0.316600676,-0.311886138,0.236801593,-0.919596209,0.208200006,0.443350839,Yes,Male,-0.72247494
-213.5746165,-0.735250335,-0.016597895,0.837329883,-0.408011309,0.170605364,-0.596073494,-0.782053264,Yes,Male,-1.057780905
103.1694446,0.208233648,1.986231865,0.317391554,0.764377465,0.059607441,0.962634285,-0.253452192,Yes,Male,0.419926881
44.23996673,-0.131555792,0.629901581,1.125528359,0.144770223,-1.352255069,-0.440975871,0.335897208,No,Male,-0.517774152
157.5584795,0.417518125,0.517938861,-0.661769011,0.554463559,1.221768607,1.922029008,-1.833062954,No,Male,0.685769255
-31.13120439,-1.450348527,-0.598190786,0.103835043,0.702495632,-0.854606368,0.468733814,-0.20521997,No,Male,-0.86108393
49.3244418,1.580544617,0.653045414,-0.364508869,0.339473804,0.093948115,0.227257129,-0.519781047,No,Female,-0.155026091
-4.842464803,1.705967002,-0.640988368,0.61592201,0.584727586,1.366517113,1.154256831,-0.911631868,No,Male,-0.477117506
60.56836645,-0.347962171,-0.978049962,-0.238011076,-1.414889941,-0.233661869,-0.840790952,-0.902547519,No,Male,-0.596211271
-29.7585092,0.604991138,-0.613247602,0.45307255,0.169645969,-0.219776424,-0.163300511,1.544822661,No,Male,-0.469306318
-116.8327432,-1.429313663,-0.9196174,-2.205953993,0.658986804,-0.19618119,0.686955168,0.474256744,No,Female,-1.138537765
-14.98659756,-0.347555047,1.267623642,-0.887248519,-1.016710152,1.006479189,0.541749923,0.197880823,No,Male,-0.970624057
-58.44032706,-0.608067916,-0.263856747,0.779411159,-0.903217524,1.497443223,-0.546053181,0.862987017,Yes,Female,0.455269729
-121.5441487,-0.052309663,-1.616811292,1.041195585,-1.698376844,2.4662568,-0.41814809,-0.836710788,No,Female,-1.356884477
-81.77350183,0.131439733,-1.038113136,2.462767375,0.858073867,-0.593292148,1.202637366,1.646697962,No,Female,-0.817180355
105.1812506,0.002755636,-0.142875914,-2.448477968,0.990724332,-0.988642868,-0.051302904,1.412755894,No,Female,1.094350691
-168.8392116,0.971231018,-0.209175088,-1.460336869,-0.606379584,0.070256978,-0.112254412,0.631569619,Yes,Female,-1.355476846
10.24965484,-0.81785906,-0.418175972,0.584381463,-0.984471892,-0.205363906,-0.866958376,0.585964014,Yes,Male,1.799558937
317.4933043,0.99890746,1.6567893,1.140983023,-0.952609642,-0.882036486,0.136428105,-0.574283466,No,Male,2.097770377
98.96944367,-0.003725423,1.032734895,-2.06033164,0.479408382,1.333893747,-1.584070807,0.064634045,Yes,Male,1.54916893
-32.81020155,0.622891185,0.054875712,-0.66474985,-1.657208208,1.791103649,-0.939889669,-2.176514914,No,Male,-0.426657777
200.5879195,0.357746927,2.068710881,1.546338722,-0.09595827,0.245141985,0.453914584,-1.55394835,No,Male,0.630971562
-54.60558911,0.242939263,0.256104335,-1.081475853,0.582677708,-3.139070182,-0.438240526,-0.779107195,Yes,Male,-0.432144115
