A,B,C,D,E,F,G,H,I,J,Response
-184.6697434,-0.401393529,-1.632563174,-0.959616583,-1.310971136,0.659202221,-0.076553918,0.964677317,Yes,blue,-1.770393414
-28.72830496,1.469070561,-0.509749905,1.117190783,-0.372251429,0.87160328,-0.438522472,-0.977705783,Yes,red,-0.35346861
-18.43959669,0.483696626,-1.761320587,-0.692566508,0.819397643,-0.524125979,0.302299935,-0.282916178,Yes,blue,-0.258923551
-104.538764,0.444075106,1.227099427,-0.723295636,-1.964152789,0.925499248,-0.015683497,-0.073409048,No,red,-1.271010319
98.64866692,1.43201081,-0.157561621,-1.301902116,-1.309658776,-1.729436266,-0.279368074,1.068721578,No,red,0.282222629
-143.2608383,0.721898429,-1.799501023,0.771861753,0.524745303,0.345852342,-0.414055587,-0.21436221,No,blue,-0.844860541
24.61473879,0.253669292,1.267755558,1.673513045,-0.130555005,2.439386251,0.67128,0.627108124,Yes,green,-0.567535255
41.81346143,0.506140952,0.017968431,0.526426455,-0.478372933,0.435113775,1.874971491,-1.939004103,No,blue,-1.568477903
-107.3603359,0.469113968,-0.690631423,-0.884526724,1.076225239,1.70137971,0.161822351,-0.044848507,Yes,red,-1.781796605
196.5355686,1.738666436,1.915937328,-0.369494404,-0.737649947,0.676903352,0.869161506,1.86519219,No,green,0.390467583
-92.46551571,-0.420418728,-0.826829546,-0.040345882,1.134283032,-1.462528765,0.381226632,-0.293724442,Yes,red,-0.721027754
-135.6359726,-0.908525259,-0.299658129,0.226613944,2.068999723,0.504358581,-0.707091732,1.090009047,Yes,green,-0.030713042
249.5143117,-0.242449828,1.188318454,0.249516091,-1.401734412,-0.303041883,1.510526771,-0.626244224,Yes,red,1.751263825
32.90026835,-0.341157071,1.00389325,1.365149064,0.724595128,1.034240835,1.219188521,0.269116524,Yes,blue,-0.537683047
-205.1218067,0.258624831,0.155005127,-1.021429275,0.523787501,-0.237946051,-1.818616314,-0.100984543,Yes,blue,0.04288487
267.5271896,0.368371383,-3.042390939,0.823258059,1.613328035,0.380967959,0.416726611,1.547645584,Yes,green,1.592391303
119.0789554,0.422885013,0.340440496,-0.5207212,-1.89145892,-1.070185219,1.586324444,0.280958566,Yes,green,-0.334422036
-62.09719036,-0.834997096,-0.049132356,0.816322879,0.604628901,0.967389616,-0.041046706,-0.293288143,No,green,0.087487158
-120.8389822,-0.03227394,-1.116955622,0.055553481,-1.196801654,0.940981931,-1.382916984,0.764234166,No,green,0.249982499
-102.4886802,-0.652004859,0.44596179,0.687182158,-1.038084005,0.333832522,-1.264500199,0.836716184,No,green,0.698557453
-33.15395726,1.086176003,1.589674975,-0.144580888,0.988128237,0.698601494,0.219339997,0.3684049,Yes,red,-0.351711228
57.95584781,0.529461078,0.208281533,0.064223305,-0.982943315,2.729824857,-0.088820368,-0.588860415,Yes,green,0.046620388
207.832023,0.925574886,1.028720467,-1.574715318,-0.006347793,0.166883826,0.892828733,1.903479901,Yes,green,0.76912174
49.47833658,-0.790945387,1.132234722,1.391078496,-0.33907516,-0.804973252,-0.221376363,-0.999870514,No,blue,1.28918707
-230.3026146,-0.706028992,-0.962732731,1.474669117,0.038022538,0.856184556,-0.851796471,-0.698416034,Yes,green,-0.981962975
243.8974715,0.302783438,-0.646150237,-0.088935797,-2.015804308,0.223795761,0.90029278,1.287433303,No,green,1.319646515
-130.9627722,0.51779154,1.335799735,0.578044856,-1.661739585,-0.523283201,-0.767600546,-0.119345923,No,blue,-0.570763734
-202.7189061,-1.298850447,0.035589309,-1.216477552,-0.053047918,-0.774502308,-1.01390506,0.141676792,Yes,green,0.007562622
-11.65321142,1.038446703,1.37849979,1.232884216,0.540044359,-0.39782841,-0.418150392,-0.018151858,No,blue,-1.196296843
119.2174979,0.212164545,-0.100989999,1.34419399,-2.213967259,-1.119473903,0.568794747,-0.677787117,No,red,0.264913714
-61.81529342,1.335792781,-0.350460721,-0.549618636,0.732444409,-0.090561186,-0.328514995,0.544176964,Yes,green,-0.830718588
69.29363349,-0.724504373,0.081354536,0.55758847,1.240207241,1.097567478,-0.5383241,-2.299335843,Yes,blue,1.79079978
-5.054825379,0.011821316,-0.716433553,0.479011929,-1.326474914,-1.829895073,-0.868415608,0.54651968,Yes,red,0.56020627
