A,B,C,D,E,F,G,H,I,J,Response
99.22223884,-0.268897867,-0.084737628,-0.442995561,-0.907812691,-0.930791007,-0.508298742,-0.17825688,Honda,black,2.438078862
-4.956319789,-0.285758167,0.449442362,-0.221133406,-1.532847942,0.020727555,0.556504587,-1.780574484,Honda,black,-0.093209578
32.03900987,-0.528552289,-1.200053745,0.459283651,-0.549201916,1.53272635,-0.305013651,-2.555027042,Honda,red,0.703334601
-65.42727407,-0.118996951,-0.456542559,-1.031567187,-0.759172948,0.559478214,0.000849757,-1.884169533,KIA,red,0.117294677
117.2195911,2.261630054,0.949239316,0.1425337,-0.049552601,-0.53454592,0.769759247,0.753949883,KIA,red,0.845535065
-168.4922262,-1.544876513,-2.308678536,1.474875818,0.987959774,0.250669549,-1.041679183,0.45793365,BMW,red,-0.06575565
-9.456901894,1.249132892,-0.27499142,-1.325117884,0.410672658,-0.467632553,-0.365484973,-0.16791069,KIA,black,0.22866914
-70.97607694,-1.10065987,-0.619393911,1.424995041,0.206111831,0.412779075,-0.765174497,0.070438262,Honda,black,0.237332222
-3.92567417,-0.519402526,0.576680121,0.808364653,-2.214176341,0.187300351,-0.198429815,-1.899663963,BMW,black,0.976447801
46.51659046,1.572909617,0.704535424,0.302573545,0.40693102,0.336041888,-1.794749792,-0.718189601,Honda,red,-0.351920658
37.29200523,-0.27080215,0.64818322,-0.008853418,0.661678016,-0.618094065,-0.750447603,-0.970849808,KIA,red,0.143246404
62.78167417,1.228212842,0.988906445,0.218980578,-0.234548207,-0.31366048,0.410359932,-0.818870943,Honda,black,0.855308846
29.59600635,-0.377635763,-0.416760354,0.159863718,1.140443613,0.76654633,0.378091058,0.662474414,BMW,red,-0.27010421
-282.6871221,-0.125523756,-1.899277091,1.663169352,-0.210110813,-0.527948226,1.844647438,-0.08779123,Honda,red,-1.555057816
-241.4549826,0.872151789,-1.826009064,-1.961085141,0.795422027,-0.126301974,-0.140180714,0.197342786,KIA,black,-1.652339478
-14.33025749,-0.61625984,-0.736995595,0.665104805,-0.436900845,-0.756592101,0.111177576,1.272848651,KIA,black,0.600779443
-121.7948008,-0.801232513,-0.625271244,-1.073750217,-0.268760725,0.21722425,-0.502039183,0.976846717,KIA,red,-1.337978012
25.41598893,-1.475506415,1.31654952,1.368310331,0.849202838,0.235560333,1.47227561,0.71625689,BMW,red,-1.90510776
-12.00101555,1.140140843,0.033052709,1.161553507,-1.085102355,-1.38564694,2.407070214,-0.857057986,KIA,red,1.031373792
-64.41105783,0.466657887,-0.22420643,0.200785984,0.370874316,0.380879236,-0.840398351,0.72994403,Honda,black,-1.180854411
134.1015731,-0.867132171,0.386372644,-0.330111735,1.693029517,-0.759701944,0.451324012,0.358299028,BMW,black,0.356474873
3.690871268,-1.370222531,0.006351514,-2.409939634,-0.442705742,0.436807421,1.676381218,0.631191022,BMW,black,0.056734128
89.84722196,0.156075368,1.28526482,1.337429324,1.160052841,-1.483418467,-0.683057562,0.779711271,BMW,red,0.408150395
-231.1025996,-2.179393071,-0.607563734,-0.584544852,-1.272165882,-0.801583787,0.065332617,0.335190376,Honda,black,-0.50638476
33.03203302,-0.181552735,-0.69777999,-1.055254333,-0.875282109,-0.435087873,0.494928737,0.59787283,BMW,black,2.089539731
-58.10166287,-0.334141146,1.353538308,1.658453809,-1.657895895,0.223732373,1.302943644,-0.87013108,BMW,black,-0.848365974
-24.99405028,-0.560192612,-1.33179756,0.859417077,0.300313879,1.331643962,-1.384100472,1.472954061,BMW,black,0.405933831
-173.3010218,0.510543883,-1.615447188,2.391722793,-1.217375737,-0.905463847,0.675655156,1.448504555,BMW,black,0.497035056
-88.09073717,0.692757384,-0.00109513,1.112248442,1.299733264,-0.319909067,-0.229866237,-2.181576954,BMW,red,-1.193027068
-171.2304742,1.568632007,-0.44140954,0.272563729,-0.33441655,-0.854860676,0.779984254,0.783370279,Honda,black,-1.772177323
50.47131341,-1.347002892,1.396723696,-0.559290289,-1.246106449,0.18862626,-1.726887851,1.965552949,Honda,red,0.794202502
-97.11379837,-0.944442542,0.945133674,-0.712973571,-1.056986426,0.102175008,-1.389153989,0.00392446,Honda,red,-1.137236501
-29.46743471,0.811400774,0.619506641,-0.001802283,-0.550972581,-0.612082755,0.466716855,0.772649374,BMW,red,-0.010026757
-18.98588462,-0.728716709,0.486801619,-2.714524101,-0.236226414,-0.045181732,-0.471520097,0.161782317,Honda,black,-0.083903905
8.510170086,1.390181943,-0.520080776,0.481189324,0.503699067,-0.200840932,-0.843551619,0.824505471,Honda,black,0.76899888
-87.57505835,0.7188021,-1.807439043,1.104310363,-0.311157845,0.514523828,-0.279718433,-0.012853532,KIA,black,0.180925173
1.555988615,1.335223249,0.278037374,-1.082713171,-0.138886352,-0.405732235,-0.05758411,-1.519789512,Honda,black,0.476944911
-150.6855221,0.80051421,-1.578150399,0.011102801,-0.000359485,-1.319539623,1.017792727,-0.729101723,BMW,black,0.41853379
-3.091684973,0.133675348,1.142701395,-1.306317096,-1.40566968,-0.940234138,2.343733686,-0.127947525,KIA,black,-0.9659146
110.0291582,-1.264469297,0.972292929,1.039231706,0.772013174,0.301321381,0.102209431,0.280307138,KIA,red,-0.808277462
141.8550622,-2.647686801,0.231901067,-0.611315097,0.632694213,-1.068175347,0.164746179,1.275462436,KIA,red,1.091317798
99.54024582,-1.355983137,-1.1453382,-1.352481455,0.76279929,0.725240369,0.258299266,1.458982599,KIA,red,0.861938096
64.23411305,-0.074951676,-0.765655511,-0.848220615,1.217012693,0.446160345,0.522476192,0.676001095,BMW,red,0.855106225
-168.0156419,0.601207755,-1.600298561,-0.416010751,-0.574349616,-1.378290944,0.130199083,0.078900067,BMW,black,0.692940643
165.7702731,-0.510269404,1.14241912,0.799838388,0.854898939,-0.892477784,-0.346995625,-0.148014268,KIA,black,0.604701765
-86.47695976,-0.320101232,-0.570059001,-0.199626881,0.055929341,-1.18711693,1.091964301,1.093632332,KIA,black,-0.359993669
359.8239209,-0.533226564,0.831751656,-0.418175741,3.070763442,0.758848887,-0.822584199,-1.042646577,KIA,black,0.969621707
-204.5591661,-0.163304051,-1.515234125,0.229943442,-1.336307908,-0.582006576,0.44367266,0.683920239,Honda,black,-0.020303248
67.95243592,-0.902339528,-0.613339839,0.548568804,-1.094246181,0.497953124,-1.056278988,0.140454563,Honda,black,2.090628715
