A,B,C,D,E,F,G,H,I,J,Response
30.81070702,0.781165482,2.301931236,0.144298247,0.897945682,-0.799185184,0.040783932,0.283139685,BMW,black,-0.873909942
75.66941186,-0.159292534,-0.510923734,-0.846142229,1.656700288,-0.049097837,0.088361799,-0.55680686,BMW,black,1.628826071
-7.319981817,-0.8138217,0.361542394,-0.509570022,0.869801522,-0.460028677,0.406706565,-0.67169018,KIA,red,-0.488290126
-31.99300727,0.354112111,1.905575769,-0.382166923,1.857613695,-1.153112845,-1.112324683,-0.248257776,BMW,black,-0.495490417
-61.02866541,-0.232677507,-0.231499356,-0.762580566,0.938859335,-0.347060691,-0.789588315,0.310731996,BMW,black,-0.597076468
-181.780376,1.618101162,2.147947383,0.750848342,-1.320924987,-1.573299867,-0.424816691,-0.848527659,Honda,black,-0.044869983
42.87188643,0.87866444,-0.099376426,-1.084485074,0.62678895,1.719944288,-0.220819455,-1.10395217,Honda,black,-0.832707027
-98.57315356,-0.217596712,-0.832323969,-1.084748232,0.746128024,0.081879158,-1.703336673,0.96677638,BMW,black,0.35099971
29.42442996,-0.559807665,1.304603533,0.101305054,0.558544181,0.119656603,-0.289430626,-0.209686853,BMW,black,-1.378300174
210.0743104,-1.223161295,0.390318697,1.27446416,0.411555802,-0.10348157,2.445330796,-1.349262643,KIA,black,-0.7981726
-147.3208246,-0.258315596,0.746091042,0.920553661,-1.684535157,-1.522754009,0.574085017,0.532650067,Honda,black,-1.086700165
-46.11739562,-0.680495358,-0.530584341,0.800268533,0.209367329,-0.074487109,-2.259793727,-1.721190307,Honda,black,-0.336363555
31.51940224,1.147933382,-1.647308145,0.259647346,1.449065632,-0.958687357,-0.816731374,-1.081522813,BMW,red,1.243083443
90.09660964,-0.234250811,0.790363907,1.184108493,0.321966784,-0.56141711,0.632333639,0.326865486,BMW,red,-0.64972209
42.12125253,0.276866943,-0.027467153,1.212774182,-0.398560773,-0.647842186,0.219056985,0.520704531,Honda,red,-0.547550857
-7.608567018,-0.609272945,0.932801685,-1.0310504,0.435447753,0.436659624,0.152742456,1.122179496,KIA,black,0.065307275
16.58205688,-0.044542881,0.991026439,-1.504435817,0.720941224,0.471389399,1.047850283,1.88369304,Honda,red,-0.425882195
142.0483525,0.069513941,1.158291346,1.23237058,0.70514293,0.009278043,-0.398896614,0.038314929,Honda,black,0.321446472
-148.0896381,-0.374638635,2.851484661,-0.771653753,1.344615664,-1.31726551,-1.710967274,0.973604296,Honda,black,-1.054353528
-58.68660719,0.719708445,-0.034588476,-0.153347584,1.572319309,-1.405185567,-1.085765889,0.035729318,BMW,red,-0.641049253
-15.43088234,-0.244329583,-1.684295262,0.976159086,-0.769534729,-0.117294646,-1.191423426,0.340242791,BMW,black,0.758853273
-108.4749292,-0.008806246,-1.706596144,-0.888106776,0.543745343,-1.792580613,0.774557632,1.561530535,BMW,black,-0.031928496
-51.42536789,0.970366127,-0.447245385,-0.028883918,-0.483760458,0.228105982,0.155467705,-0.808243175,BMW,red,-0.547821244
-288.3700142,0.099204214,-0.602937726,-1.123971751,-1.548639122,-1.470624448,0.698497919,0.011224164,Honda,black,-0.573747372
-103.291379,-1.251870468,0.915556827,1.066305446,0.009337978,-1.029803545,-2.350720287,-1.495225491,Honda,black,-0.224597691
-71.34886523,0.95068754,-0.948718177,-0.823922511,1.311711368,-0.468194066,-0.367059458,-1.387982787,Honda,black,-1.14975563
96.39718082,0.565821482,0.260151213,0.757436268,-0.745947008,0.665385879,0.193603205,0.116968955,Honda,red,1.831349943
-279.6721164,-0.247083482,0.568925378,-0.599916096,-2.133692341,-1.146542772,0.290567807,1.108585554,KIA,black,0.459904963
184.783898,-0.466044831,0.241824788,1.021825321,0.129889924,1.514767542,-0.909055214,0.840695304,KIA,black,-0.05807483
-92.40886103,-0.271053305,0.350128766,-2.130452366,0.686218693,0.915255823,0.057869435,1.980590288,BMW,black,-1.50336941
166.442305,0.505995718,0.377304726,0.74433465,0.380028746,1.140823421,-0.789005371,1.436909192,KIA,red,0.248058848
-76.56867178,-0.043135556,0.643199292,-0.872133624,1.885018248,-0.406490193,-2.72707869,0.079446216,Honda,black,0.198785601
138.3015031,-1.181805134,1.33454429,0.522815237,0.330533623,-0.167924673,0.426286842,0.553855795,Honda,black,2.803318818
-57.82925791,-2.416089865,0.447278072,-1.975803567,0.866280134,0.817007032,-0.710769148,0.02382564,BMW,black,1.481785298
3.052107605,-0.626882958,-1.825834823,-0.632047561,1.474236327,-0.496632755,-0.309006308,0.907608903,BMW,red,0.017868498
34.75574253,-0.208852647,0.437365292,1.012820076,0.336481248,-1.088520834,-0.625087473,1.473045652,BMW,red,0.450547647
-109.7030567,0.161479058,0.64311823,-1.331316757,-0.147889716,0.430808476,-0.012139343,1.370910105,KIA,red,-1.370830873
36.60345048,-1.277436195,-1.20951272,0.327790823,0.203942329,-0.363046875,0.6551227,0.530843911,BMW,black,-0.45213141
-206.0709324,0.845348418,-1.22593186,-1.037462269,0.850521526,-1.600904365,-2.486814144,1.342786145,KIA,red,1.924518869
360.2196431,-0.893060771,-1.986277157,0.013372006,1.329899728,2.563515385,1.41388865,0.044878315,Honda,black,0.296029964
-24.98019338,0.668227754,0.188877534,-0.097217494,-1.84148748,1.654872172,0.239304385,-0.458978969,BMW,red,-0.073605243
-51.60221793,0.01360775,0.35736817,-0.100239728,0.016485115,-0.91983481,1.091450795,-2.683426296,BMW,red,0.209394079
-67.04321989,1.079973612,0.033036637,0.026190303,0.708419247,-1.679467333,0.047054048,0.869556421,KIA,red,-0.679019717
69.12311784,-0.557834747,-0.921183419,1.697232171,0.621519258,-1.007574096,-2.081341502,-0.473561277,BMW,black,1.81824481
-144.9064843,-0.378571323,0.835233442,-1.037182817,-0.344590291,-0.18446373,-1.707768272,2.069599299,BMW,red,1.890387098
159.3700257,0.220910397,0.965593382,0.78284591,1.726983024,0.685501617,-1.925629809,-0.1385858,BMW,red,-0.639841651
-48.05350739,-0.764646306,0.820887697,-0.690659078,-0.694359857,1.120846822,0.176597206,-1.210217861,KIA,red,-1.2813871
-154.950826,-0.562602391,0.528780719,-1.629378442,-0.129204923,0.368930396,-0.169094604,-0.230426832,Honda,red,-1.133674522
-39.50325544,1.960836908,0.835418556,0.166887838,0.561548262,-0.623851928,-0.856145105,0.186226963,Honda,black,-0.650049806
-240.3260492,0.071639841,-1.134145196,-0.728806116,-0.585846866,-1.994363862,-0.094352982,0.577947789,KIA,red,0.351625149
139.0710622,0.241562506,-1.070463598,-1.498195034,1.125252083,2.137379033,0.476469759,0.400052808,Honda,black,-0.26671285
-107.2025121,0.500324009,1.559646236,0.059256861,0.325829107,-0.932003207,-1.131041348,-1.683390482,Honda,black,-0.198479418
-21.28954089,-1.233305432,0.442412635,0.422994831,-0.667582557,-0.040190097,-0.209772027,-1.361442113,KIA,red,1.033252665
-155.5750368,0.681130616,0.175838687,-0.596493096,-0.590474596,-0.815325596,0.352115733,0.743051624,KIA,red,-1.152024009
9.949952122,1.169252647,-1.36319713,-0.460169518,0.175180291,0.072986361,0.564351935,0.051545799,Honda,black,0.130448669
87.12732559,0.136949984,0.565475033,0.490091749,-0.007668975,0.628071397,-0.686395892,0.720822938,KIA,black,0.639388621
-55.61167676,-0.340817854,1.924066501,-0.487700478,-1.196919381,0.291568656,1.152696454,-0.725266297,BMW,black,0.503140439
-136.9994071,1.447375116,-1.268059094,0.649004037,-1.71328265,-1.279536793,0.826741437,0.181902651,BMW,black,-0.724328349
-0.319785899,-0.361693365,0.101422375,1.232603311,-1.216980177,-0.062464288,-0.788292263,-1.824682851,Honda,black,0.86576461
-103.8615374,-1.011293999,0.300737203,-0.920879785,0.116722537,-1.058265687,1.106111238,0.09951296,Honda,black,-0.050287622
