A,B,C,D,E,F,G,H,I,J,Response
-71.74693571,0.084179498,-0.018448841,2.547122906,0.133762629,-0.268923742,-1.33215542,-0.217566964,Yes,red,0.1000247
199.3296498,1.168396174,0.619284314,-0.309779312,1.215919117,0.644935163,2.814380809,1.211253031,Yes,blue,0.735038176
13.11279113,0.144881003,-0.455326087,1.030622539,-0.350410923,-0.195209765,-0.454900311,0.1151932,No,green,0.595679514
-164.3357056,1.583327483,-0.925420106,1.962041132,-0.788393367,-0.997619563,0.333664079,0.184156557,Yes,red,-0.424591804
-67.31413353,-2.501675517,0.788383181,0.236525966,1.73850455,0.781888361,-1.163912904,-0.328629803,Yes,blue,-0.629505975
-92.70922418,-0.285157755,-0.178405427,-0.46362122,-1.011244632,-0.34532616,1.533669074,-0.916613776,No,blue,-0.652591059
-118.5058465,-0.418404106,-0.948522154,1.565624351,2.42880881,-0.422020781,1.588952446,-0.602608098,Yes,blue,-1.505993194
-21.39560489,-0.452890782,0.396323752,1.695502333,-0.263230695,0.626453178,-0.302646375,1.347219851,Yes,blue,-0.381326449
54.87303457,0.322709192,0.686992105,-0.338213399,0.884994803,0.400975673,-2.542231331,-0.598530492,No,blue,0.085964171
32.76274101,0.803646075,-1.482446174,1.341284572,-0.00431425,-0.454017359,-0.609937572,0.680698689,Unknown,green,0.429636934
185.1167577,0.392407668,-0.401326564,-0.055911231,-1.963053697,0.930222814,-1.384214041,-0.492555674,No,red,1.082346002
-246.2287339,-0.629295867,0.057021028,-0.234298056,1.414186718,-0.051752117,-0.319872748,-0.485669467,Yes,green,-2.477129171
-42.65676994,-0.101701315,-0.594955887,0.474219364,-0.557979496,0.612742902,0.905020123,-1.23631492,No,blue,-0.399403591
-40.57916723,-0.455359973,0.919578956,0.975781878,2.157267879,1.85093545,0.72065531,-0.763939296,Unknown,green,-1.466937575
-73.96317259,-1.05976066,-0.168587112,1.763464823,1.185791659,-0.048073228,0.356747152,-1.549638939,No,green,0.279546433
-141.9243335,0.711862768,-0.409677703,0.683243135,-0.657891611,-1.257370156,2.014851312,-0.183147307,Yes,green,-0.847767232
183.5829567,-0.181511537,-0.723055023,0.494464038,1.261414333,0.851157823,2.071326542,0.004775904,Yes,red,1.21359861
-115.8935131,-0.583803036,2.011225464,-0.446524529,-0.957915213,-1.326547068,0.112909004,-0.387311776,No,red,-0.28501491
