A,B,C,D,E,F,G,H,I,J,Response
26.27530559,0.781165482,2.301931236,0.144298247,0.897945682,-0.799185184,0.040783932,0.283139685,BMW,black,-0.873909942
74.98679096,-0.159292534,-0.510923734,-0.846142229,1.656700288,-0.049097837,0.088361799,-0.55680686,BMW,black,1.628826071
-8.247612447,-0.8138217,0.361542394,-0.509570022,0.869801522,-0.460028677,0.406706565,-0.67169018,Honda,red,-0.488290126
-33.9584301,0.354112111,1.905575769,-0.382166923,1.857613695,-1.153112845,-1.112324683,-0.248257776,BMW,black,-0.495490417
-61.8530924,-0.232677507,-0.231499356,-0.762580566,0.938859335,-0.347060691,-0.789588315,0.310731996,BMW,black,-0.597076468
-179.4966928,1.618101162,2.147947383,0.750848342,-1.320924987,-1.573299867,-0.424816691,-0.848527659,Honda,white,-0.044869983
43.00473393,0.87866444,-0.099376426,-1.084485074,0.62678895,1.719944288,-0.220819455,-1.10395217,Honda,white,-0.832707027
-97.11191122,-0.217596712,-0.832323969,-1.084748232,0.746128024,0.081879158,-1.703336673,0.96677638,BMW,white,0.35099971
27.46716872,-0.559807665,1.304603533,0.101305054,0.558544181,0.119656603,-0.289430626,-0.209686853,BMW,white,-1.378300174
210.6086626,-1.223161295,0.390318697,1.27446416,0.411555802,-0.10348157,2.445330796,-1.349262643,Honda,white,-0.7981726
-146.3132248,-0.258315596,0.746091042,0.920553661,-1.684535157,-1.522754009,0.574085017,0.532650067,Honda,black,-1.086700165
-44.29503391,-0.680495358,-0.530584341,0.800268533,0.209367329,-0.074487109,-2.259793727,-1.721190307,Honda,black,-0.336363555
32.54630781,1.147933382,-1.647308145,0.259647346,1.449065632,-0.958687357,-0.816731374,-1.081522813,BMW,red,1.243083443
93.07322607,-0.234250811,0.790363907,1.184108493,0.321966784,-0.56141711,0.632333639,0.326865486,BMW,red,-0.64972209
40.72694735,0.276866943,-0.027467153,1.212774182,-0.398560773,-0.647842186,0.219056985,0.520704531,Honda,red,-0.547550857
-7.580430466,-0.609272945,0.932801685,-1.0310504,0.435447753,0.436659624,0.152742456,1.122179496,Honda,white,0.065307275
15.29935862,-0.044542881,0.991026439,-1.504435817,0.720941224,0.471389399,1.047850283,1.88369304,Honda,red,-0.425882195
143.6808898,0.069513941,1.158291346,1.23237058,0.70514293,0.009278043,-0.398896614,0.038314929,Honda,black,0.321446472
-148.4718006,-0.374638635,2.851484661,-0.771653753,1.344615664,-1.31726551,-1.710967274,0.973604296,Honda,white,-1.054353528
-58.93482081,0.719708445,-0.034588476,-0.153347584,1.572319309,-1.405185567,-1.085765889,0.035729318,BMW,red,-0.641049253
-14.52765205,-0.244329583,-1.684295262,0.976159086,-0.769534729,-0.117294646,-1.191423426,0.340242791,BMW,white,0.758853273
-111.2806437,-0.008806246,-1.706596144,-0.888106776,0.543745343,-1.792580613,0.774557632,1.561530535,BMW,white,-0.031928496
-47.11704144,0.970366127,-0.447245385,-0.028883918,-0.483760458,0.228105982,0.155467705,-0.808243175,BMW,red,-0.547821244
-290.2007374,0.099204214,-0.602937726,-1.123971751,-1.548639122,-1.470624448,0.698497919,0.011224164,Honda,black,-0.573747372
-102.278173,-1.251870468,0.915556827,1.066305446,0.009337978,-1.029803545,-2.350720287,-1.495225491,Honda,black,-0.224597691
-69.07235533,0.95068754,-0.948718177,-0.823922511,1.311711368,-0.468194066,-0.367059458,-1.387982787,Honda,black,-1.14975563
98.37849049,0.565821482,0.260151213,0.757436268,-0.745947008,0.665385879,0.193603205,0.116968955,BMW,red,1.831349943
-275.4161353,-0.247083482,0.568925378,-0.599916096,-2.133692341,-1.146542772,0.290567807,1.108585554,Honda,white,0.459904963
183.7147378,-0.466044831,0.241824788,1.021825321,0.129889924,1.514767542,-0.909055214,0.840695304,Honda,white,-0.05807483
-89.10840496,-0.271053305,0.350128766,-2.130452366,0.686218693,0.915255823,0.057869435,1.980590288,BMW,black,-1.50336941
165.5143665,0.505995718,0.377304726,0.74433465,0.380028746,1.140823421,-0.789005371,1.436909192,Honda,red,0.248058848
-77.45009384,-0.043135556,0.643199292,-0.872133624,1.885018248,-0.406490193,-2.72707869,0.079446216,Honda,black,0.198785601
137.4288744,-1.181805134,1.33454429,0.522815237,0.330533623,-0.167924673,0.426286842,0.553855795,BMW,white,2.803318818
-56.58175778,-2.416089865,0.447278072,-1.975803567,0.866280134,0.817007032,-0.710769148,0.02382564,BMW,white,1.481785298
4.674158286,-0.626882958,-1.825834823,-0.632047561,1.474236327,-0.496632755,-0.309006308,0.907608903,BMW,red,0.017868498
33.64274967,-0.208852647,0.437365292,1.012820076,0.336481248,-1.088520834,-0.625087473,1.473045652,BMW,red,0.450547647
-109.3055626,0.161479058,0.64311823,-1.331316757,-0.147889716,0.430808476,-0.012139343,1.370910105,Honda,red,-1.370830873
