A,B,C,D,E,F,G,H,I,J,Response
160.0864245,-2.256016067,1.257487277,-0.812136176,0.509681864,1.595973334,0.416392063,2.219767596,Yes,green,1.176902543
-103.1934749,-0.46183557,0.072187771,0.289851176,-0.345423333,-0.478037456,-1.46195791,0.454500239,Yes,green,-0.391411956
-196.240849,-2.031236437,0.467128916,0.838911967,-0.888234913,-0.079543871,-0.002387523,0.092301155,Unknown,green,-1.402865632
-99.10019226,-1.028365855,-0.500984322,-0.291901238,-0.69870967,0.393797407,0.481272321,1.597866878,Yes,green,-0.7316505
-163.2555417,0.443641073,-0.58955479,-1.108180232,-1.867165648,0.015706221,-2.553652958,0.301300681,Yes,green,-0.360902743
-186.1511028,-1.48013994,1.099437223,3.038452774,-1.150264655,0.895787864,0.736075004,-0.678630071,No,red,0.28652787
182.6536852,-1.965202569,0.629393845,-2.042761597,1.32716126,2.360145492,0.263056819,0.220928734,Yes,green,-0.83912861
76.08097643,-0.278233951,0.534144336,1.794395371,0.295673732,-1.018132273,0.597128972,-1.178955598,Yes,blue,2.183224873
177.2348466,2.910663347,0.297894223,0.422026738,0.139087362,1.818444485,-0.118079109,-1.752752771,Yes,red,-0.548208159
-49.50087692,-0.793621681,-0.322527066,0.352023061,0.026713093,-0.605752915,0.705953763,-0.485960408,No,blue,-0.232814964
130.5974149,0.409078042,0.725417648,-0.89274272,0.396773955,-0.01486171,0.956661716,0.869210465,Yes,green,1.096172729
208.8510736,0.054635642,0.572013456,0.932375481,0.131695145,0.325997772,-0.676551925,-0.007715627,No,blue,1.133691126
-69.69364687,0.424859961,0.148942885,-0.274035551,-1.774770384,0.411284355,-1.065595398,-0.315252706,Yes,green,0.201936511
90.58635999,1.417820697,0.976839833,1.069795238,-1.241805434,1.733383357,-0.398381529,-0.504259369,Yes,green,-0.406797598
-70.56284644,0.433890776,0.485167811,0.14032396,-1.168662087,0.096587599,-1.169759037,-1.25581375,No,green,-0.40310579
18.8047969,2.352952309,0.063136573,-1.622126644,-0.335354819,-0.188933473,0.127097639,0.365913004,Yes,green,-0.962608713
-81.08547542,-1.301334059,-0.94264082,0.183660018,-0.933005066,0.689364942,-0.429492812,0.586663274,No,red,0.60709354
