A,B,C,D,E,F,G,H,I,J,Response
259.8216394,0.079198043,0.025854243,-1.342918712,0.594521181,0.74344611,0.66903076,0.914902722,BMW,white,0.617021682
-256.3189217,0.048845232,-2.504354826,2.289562488,-0.749395739,-2.002193307,0.701810522,-1.043850268,BMW,white,-0.739304554
-125.9906469,-1.162534296,-1.525206866,0.576497354,-1.868047288,-1.864947525,-1.051998313,-0.968962795,Honda,white,-0.039179893
-54.02348018,0.525192472,-1.635783895,-0.24455498,-1.808158734,0.578831964,-0.367108936,0.564041606,BMW,black,0.761568401
-14.54912614,1.230675392,1.261498159,-0.237269112,-0.404608733,-0.550149766,-0.235604702,0.617964917,BMW,black,-1.354122893
317.484102,1.883869487,1.719080702,1.300268757,-2.04999048,0.20862391,0.136057784,0.579995,Honda,black,0.986304448
46.48377317,0.048412621,-0.83898281,-1.24368127,-0.245812493,-0.852601405,-0.860527081,2.57076347,Honda,black,-1.983990511
-79.5254064,0.957795727,-0.34849681,-0.393773615,-0.047070093,1.457495754,0.462196086,-0.10494768,BMW,red,0.252002621
-14.77780623,0.139399985,-1.200235033,0.257146,0.459274197,0.307143076,2.070302272,-0.392687841,Honda,red,1.019989241
-111.5248415,1.288150803,-0.468453704,0.666064805,0.828652338,0.312020687,0.713636562,-0.737985699,Honda,red,0.235726878
61.92231098,-1.654125114,-0.28088251,0.439941469,0.174870929,-0.685474442,-0.143120073,0.488164873,BMW,white,0.08204038
182.2100457,0.046458765,-0.28997661,0.046535282,-0.552677629,0.246069018,1.66080991,-0.125083102,Honda,white,1.432399606
-32.5596733,0.228880919,0.553065435,-0.638667586,0.343723215,-1.305985244,0.48198126,0.780855786,Honda,black,-1.386305797
66.99134492,-0.480950318,-0.058891265,1.238248924,-0.665171224,1.205333513,-0.636166295,1.754955821,BMW,black,-1.046635373
256.9075735,-0.592658548,-1.28864441,1.483815412,-1.506725537,1.168052625,0.159387893,1.111957933,Honda,white,1.535991282
-118.1254777,0.940889675,-1.097332083,-0.641934146,-0.261808095,-1.085315664,-0.149513251,0.314893666,BMW,red,0.028239528
3.700509142,1.092206045,0.141598627,0.287284889,0.548139166,1.937526375,-0.466559197,0.155910696,BMW,black,-0.141670313
-291.6863289,0.196827365,-1.011166958,-0.68541061,1.588424422,1.586637295,0.153091602,-1.201375108,Honda,red,-1.821432891
74.49556843,0.327893107,0.110826469,1.65524765,0.220512227,-1.137193776,0.889326084,0.825615929,Honda,white,-1.651330761
-8.060095379,0.354398958,-0.934482521,1.024356228,-0.368626444,0.179166702,0.420201661,0.120897411,BMW,black,1.002326601
-79.70099505,-0.557235221,0.492916958,0.501342283,0.736813872,-1.096720413,-0.512265809,1.721576989,BMW,red,-0.478594875
166.9105068,-0.204273608,0.435209205,-2.314236342,0.260173836,0.640966603,0.507019026,0.303039782,BMW,white,0.31571612
-36.2059266,0.393950193,-0.994866577,-0.504851578,-0.358019968,1.267746384,1.265270204,-0.294118693,BMW,black,0.224524513
128.2175167,0.164567559,0.168243529,0.265532816,0.53610153,-0.395903832,-1.107837993,1.409196801,Honda,red,-0.344690415
-273.0316634,-1.644519425,-0.987343313,-0.04267557,2.656619885,-0.152687182,-0.24282702,-1.709188491,BMW,black,-0.754108027
-21.9718145,1.350405705,0.560495589,-1.058516258,0.802664076,1.630507925,-0.026276385,0.354475654,BMW,red,-0.136830252
75.83649383,0.892966149,-1.466172532,0.464075093,-1.304358451,-0.448940636,-0.355397063,2.158531333,BMW,black,0.194252229
30.6841768,0.140426162,0.919517748,-1.083157292,0.51485902,0.276282258,-0.126553785,0.284473623,Honda,red,-0.367917042
67.54501096,0.147998478,-0.315932781,0.845156026,0.780725753,-0.388161299,-0.089264225,1.289832564,Honda,white,-0.968020687
