A,B,C,D,E,F,G,H,I,J,Response
103.6737657,0.518178034,0.413853872,1.417024526,1.672911873,0.661737557,-0.110661998,-2.339743522,Yes,green,-0.226674239
37.39995523,0.236342775,0.146397597,1.160414089,-0.159861177,-1.224107477,0.525563671,-0.658607611,Yes,green,-0.605277735
-71.06857487,-0.35844214,-0.584790331,0.210065312,0.733929621,0.745565571,1.230615814,1.315151021,Yes,red,0.543539322
-347.5934164,-1.537300535,-1.81902986,-0.420029099,-1.561642652,-0.412396104,0.297393552,1.362654169,No,red,-2.078367479
148.9108741,-1.249209217,0.430356997,0.188486272,-1.609997134,1.907995284,0.090022274,0.019091315,Unknown,red,1.176317973
87.33674293,-0.335602046,-0.787939701,0.225979225,-0.287492748,0.809947344,-0.983089334,1.315028821,No,red,1.35640141
-91.24438852,-0.723431443,0.934117013,-1.706205351,-0.960856112,-1.036352314,0.205534201,0.582986633,Yes,red,-0.351336995
25.5872912,0.127435193,1.84593859,-0.14715778,0.83711057,2.769617607,-2.431136269,0.316956462,Yes,red,0.293574867
95.2655631,0.379738513,-0.736980817,1.09126898,0.082077696,-0.804360802,-0.999286895,-0.884220317,Yes,blue,-0.273338587
-42.08262475,-0.270145438,0.332856479,-0.598294375,0.040752531,0.85985087,-0.183095584,-1.842315344,Unknown,red,-0.457254268
-199.3524031,1.662506039,-0.068850563,-2.14087063,0.689937417,-0.462281566,1.459764065,-0.559750001,Unknown,red,-0.399519037
-151.5683667,-1.005288365,-0.853790591,0.701365819,-0.039524604,0.98458355,-1.329303447,0.943639066,Yes,red,-0.956335952
-58.44868582,-0.038034492,0.556799159,1.080911533,1.04443874,1.770459026,-0.833702306,1.969931517,No,red,-0.965732266
-109.4546325,0.659993571,-2.280227086,0.112521092,0.255288681,1.8967007,2.484967663,1.354378622,Yes,red,0.324198008
313.8615288,-0.802251622,0.012147537,0.568736608,1.013126803,-0.030905783,-0.684757546,1.119070011,Unknown,blue,1.055063996
-107.1823669,1.031596851,0.916544835,-0.477200066,-0.155391466,-1.563552276,-0.321200453,1.025363796,Yes,green,-1.49135174
-126.7159393,0.830699178,0.010303709,-1.073638205,-0.0977401,-1.071764395,0.329975689,-0.447019585,Unknown,red,-1.121118349
25.91101012,0.305533694,-0.160020491,1.85233547,1.169369045,-0.606616035,0.793044685,0.10080384,No,green,-1.121080328
178.9868697,-0.653648238,1.68732493,-1.053340938,-0.02935951,1.430029991,1.126387222,0.219422747,Unknown,green,1.237017593
-48.13258286,-1.018264625,-1.053367512,0.42328799,-1.083656049,0.420051475,-0.447251223,-0.598570202,Yes,red,0.380476583
-23.18510541,-0.137680936,0.728433284,-0.654406959,-0.689026387,0.792284175,-2.757255043,-1.361690908,No,green,-0.678182192
-40.48968086,-0.646751715,0.176520899,-0.117174871,-0.952904746,0.150603665,0.937275189,0.170068573,Yes,green,0.041989549
70.32586256,0.282415637,-0.62029921,0.621526358,-0.91470926,1.849519887,-0.678599941,0.389122386,Unknown,red,0.66181145
144.2660841,-0.864930453,0.07841281,0.782321022,-1.108619713,0.955764403,-0.108385117,1.643545711,No,red,0.88661843
-273.7042983,-0.439085368,-1.680933558,-0.522809612,0.092423375,-1.11836317,-2.119246274,-0.40672399,Yes,red,-0.171217956
-116.7781885,0.888019303,-1.110249487,0.161619337,-0.77595031,0.428201646,-0.803464145,-0.002641885,Yes,green,-0.727915168
-100.7847768,1.794460024,-2.070812045,-0.290851516,-1.51911571,-0.852316336,0.098092543,0.306188343,Yes,red,0.496483656
-113.4031428,2.5830039,0.259555717,-1.607581762,0.449777651,1.328370439,0.599109341,0.833009416,No,blue,-1.889187384
-198.0890954,1.310350643,-0.968237716,-1.583791098,0.839340046,-0.473947135,0.338427882,0.793910003,Yes,green,-0.788766643
-125.4469407,-0.01631608,-0.770936102,-1.129865433,0.407580692,-0.046515061,-0.626067304,0.880015518,Unknown,red,-0.002499999
125.0125139,-0.415298363,-0.173994224,2.261233589,-0.098740156,0.861965182,1.176277536,-0.611837407,Unknown,green,-0.410808634
129.2387844,0.259396301,-1.18116211,1.002189313,-0.835811567,0.057198833,-0.191632839,1.33785827,Unknown,green,0.673239298
157.6273284,-0.050901389,-0.245406555,0.620724142,0.063256893,-1.331991839,-2.416968893,0.865839675,Yes,green,1.115833486
-74.84425543,-1.307156538,0.717353157,-0.191151826,-0.655427498,0.608589164,0.047297593,-2.109061712,Yes,green,-0.849497391
-4.49136682,0.501373562,-1.013413587,-0.852949417,0.571912522,-1.687815515,-0.231699514,1.053556916,Yes,blue,-0.373153946
40.3368148,0.476320088,-0.344738056,-0.105486962,0.843098061,0.100476437,0.71217465,0.675108281,No,red,0.742408806
-29.96731803,-0.288083737,-1.373020512,-0.521910292,0.075165623,0.058416868,1.394306056,1.036368816,Unknown,blue,-0.291664345
-51.37239161,0.415020518,0.700681241,-0.929791251,-0.508786979,1.092853932,0.054351323,-0.274886418,Yes,green,-0.413643452
-82.54750062,-0.682384588,-0.316544007,-0.155240736,1.335101583,2.033857697,0.838763153,-0.681088608,Unknown,green,-1.033635029
-92.41023642,-1.088551175,0.657292687,0.666501245,0.440810133,-0.029638242,0.020504251,0.591333559,No,red,-0.351717174
-178.105795,0.815661904,-0.443682655,-0.644393241,0.101080011,-0.414179402,-0.939306874,0.364481194,Yes,red,-0.404265294
-100.819943,-1.704106261,-0.459828558,0.004435751,-1.34570789,0.044201057,0.920742008,0.088785111,Yes,red,-0.236208043
-252.2970095,0.402409313,0.298595253,-2.175285217,0.747954784,-0.00630132,-0.154351237,-0.614870696,Yes,red,-0.749290421
51.41942153,2.445236745,1.434574248,-0.344558142,0.707417907,0.39171778,1.224696992,-0.434812624,No,blue,-1.156658551
-203.5622091,0.798144829,0.447028698,-0.992652805,0.480039649,-0.325261435,-0.395895508,0.238579319,No,red,-1.017494875
-69.47280411,1.099444697,1.290809663,1.351717182,-1.863972892,0.855784032,-0.016530901,0.301864123,No,red,-1.792649474
71.4131938,-0.929063061,-0.881178181,-0.148791518,0.372963525,1.041013128,0.882509283,-0.77684778,Unknown,blue,-0.017042165
250.559508,-0.140671325,2.717558406,1.215861743,0.834330859,0.53194426,2.381992586,0.832940256,No,blue,-0.266961576
68.99620559,0.71233222,-0.412189863,0.316910285,0.563767165,-0.972303924,0.401006514,-0.391433711,No,green,0.243009969
162.024304,0.83308234,-0.794146166,1.585202506,-0.383901218,0.738024922,0.178990168,-0.814806229,Yes,blue,0.082414091
151.6505742,1.299040813,1.652646021,0.298260739,0.274907824,0.491552227,-0.69510867,0.681521838,Yes,blue,0.053595617
-37.74636973,1.480181131,1.071407084,0.666857372,-2.562090419,-0.584074915,1.635767704,-2.328888118,Yes,red,-0.871825761
6.951814425,-1.317116607,0.041284993,-0.0887574,0.102743972,1.17922929,-0.942523672,1.235056655,Yes,red,0.453201832
-74.25212373,2.174203523,0.246194415,-0.449951717,3.25616892,1.129334544,-0.259940122,-0.046327016,Yes,green,-0.467864742
-7.754508758,0.041871592,-1.028993538,0.314515299,-0.272263337,-0.613820012,-1.400226431,0.977023109,Yes,green,-0.090314355
120.2813968,-0.553751486,-0.015862049,-1.103238562,0.029902959,-0.640080257,-0.777067131,-0.630500946,Yes,red,1.912706351
-32.17192256,-0.377832605,-0.755977872,-1.165556444,-0.323365544,1.237856774,1.267359738,0.212697805,Yes,green,0.707597911
-74.43133809,0.43020016,-0.133872665,-1.38087876,0.350094571,-0.599090982,-0.145201121,-1.124414924,No,blue,-0.709566653
178.5010854,0.902486349,1.782539472,-1.644538015,0.45007363,0.707817638,-0.8621041,0.718432628,Yes,green,1.736153232
-77.20202821,0.712968566,-1.021885103,-1.181602281,-0.713535733,-1.415514704,1.218161301,1.481536666,Yes,red,0.88874336
-67.26471811,0.341464703,-0.716225782,-0.840482308,-1.133101095,0.325010317,1.016922114,-0.287423879,Unknown,red,-0.293956979
59.54804063,0.377318186,0.921439249,-1.40637343,1.120045187,0.481324443,0.268829542,0.821330965,Yes,green,0.93808947
-88.79488607,-0.48010415,-0.515107159,1.288090534,-1.400766089,0.019947993,-0.020145042,0.075413118,Unknown,red,-0.432978852
-48.33049143,-0.030683856,0.776443433,0.76440772,1.117030254,1.097462747,0.219383568,-0.535137449,Yes,green,-1.219836833
-165.5058868,0.676095467,-1.522570957,0.0035586,0.605537029,-1.121520069,0.161758356,4.020136638,Yes,red,1.196396988
258.4528684,0.972736724,2.039639483,-1.623400316,-1.78085263,-1.010687144,0.61732731,-1.169278481,Unknown,green,1.649048715
62.4048241,0.366518048,1.623513985,0.512488764,-0.537193517,-0.659263962,-0.956883847,-1.032721157,No,red,0.58892242
95.25793305,1.04453169,0.199219119,0.071882445,0.130719106,-1.381583152,0.884148256,-1.353478895,No,blue,-0.319081971
-81.5093762,-0.831503025,-0.535963325,1.13133112,-0.095782509,-1.028998442,-0.311205516,1.010613054,No,red,-0.046275352
-148.1144217,-1.392195381,-0.251732254,-0.380576905,-1.856443615,-0.918160458,1.46955729,0.17133885,No,red,-0.022729286
-261.6926449,0.700253126,0.143884722,-1.020248767,0.857050436,-2.168990683,0.630613802,-0.344268307,Yes,red,-1.619542523
36.55670006,-2.024842907,1.63456875,-1.894195739,-0.169441686,-1.971126855,-2.299380154,0.393578484,No,blue,-0.533543219
-15.06527522,0.625159164,-0.317503177,0.939119619,-0.683166688,-0.32061658,3.012288543,0.319601731,Yes,red,0.000696731
-197.0084474,1.684087291,-1.636284444,0.152398445,0.548403293,-1.798041409,-0.406255419,0.643443119,No,red,-0.780693506
-166.0684923,-0.016448576,0.444414471,-0.478797133,1.183676269,-1.495062522,3.73175134,-0.117949418,Yes,red,-0.898308643
338.064012,0.953754479,0.205824321,1.125195526,-0.575833895,-0.853013755,-1.262672836,-0.289729132,No,blue,1.831564276
-137.1889698,1.536552551,-0.468836806,2.154547168,-2.612417119,-1.23342801,1.645987812,-0.540130354,Unknown,red,-1.454683486
-127.4967337,0.676369155,-0.902352601,1.32168567,-0.281917073,-0.807420177,-2.087808739,0.470064809,Yes,green,-1.316669258
-250.4376062,-0.70188718,-0.283025151,-0.405297561,1.07278883,1.109892244,1.406043787,-1.201581442,No,red,-1.402277136
-55.74851203,0.348083992,-0.346239679,0.495065919,0.269857217,0.792726835,0.32780431,0.529628683,Yes,blue,-0.791068207
403.556556,1.060354838,1.328839579,1.574714294,0.21679888,0.91254139,-0.482721141,0.407925129,Yes,red,2.703731678
158.1942486,-0.443299517,0.575195279,0.151688328,0.428521743,-0.433048772,-1.583780065,1.147974217,Unknown,green,0.977334685
6.902603724,0.390175374,-0.470715723,0.563103721,-0.42607503,-2.298901722,1.743923617,-0.439280467,No,red,0.392525846
31.32885985,-0.484156306,-1.43950511,1.77019941,-1.164242357,0.101394345,-0.809726936,-0.324158031,Unknown,blue,-1.053699067
77.42248845,0.505291365,-1.738960734,-0.496070935,-1.885055076,-0.696114667,0.693607055,-0.166881435,Yes,red,2.377356518
-115.8355097,-1.169904167,0.704501332,-0.634357837,-0.22642424,-1.276562451,-0.547937168,-0.118090871,No,red,-0.703557116
55.11235349,0.568393708,-1.144897306,-0.38631146,1.723206082,0.324412792,0.645653105,0.306039744,No,green,1.128791875
78.76857836,-0.471767269,-0.281963077,-0.939625738,0.714510809,1.243944782,-0.287764624,0.586341646,No,green,1.181940931
37.90834681,-1.001849998,0.41260554,-0.741852207,-0.803485497,1.860559066,1.723963898,-0.333160703,No,green,0.110941093
-50.65862056,1.158511437,-1.650757827,0.417998025,0.112528475,-0.417350332,0.668114104,1.350800834,Yes,blue,-0.452141564
34.68727815,2.052493505,0.0936134,-0.327499732,0.376535303,0.906715195,-0.548688807,0.115713898,Unknown,blue,-0.754822515
-242.1535476,0.540731738,-1.04732324,-1.571521622,-1.340469063,-0.03726825,1.034866188,-0.203690539,Yes,green,-0.833899269
-195.3419344,-0.41644781,-0.445423061,2.259973811,0.449241728,-0.002750299,-1.554764319,0.493579012,No,red,-2.112840621
-72.87208739,1.114033074,0.057897341,1.328821446,-0.634649095,0.40938912,1.820437375,-0.077485787,Unknown,red,-0.995949723
178.9141096,2.207767905,-0.331051253,-0.323776281,-1.040055186,0.446371473,-0.950980209,-1.658247467,Yes,blue,1.463004476
13.97407856,1.189846957,-0.973043624,-0.725174309,-0.689181971,1.800479526,0.126133336,1.200183419,No,green,0.790110419
228.4869869,0.120113854,0.118547594,0.135227278,0.764752409,0.949668825,0.191241027,1.755917314,No,blue,1.142402144
19.4615317,1.199891061,-0.102047354,0.034350431,-2.555860774,-1.357150569,-0.355242692,-0.642120005,Yes,red,0.526294605
15.96672412,0.315869156,-0.027833206,-1.355485061,0.103127433,0.920528347,0.802610563,-0.379773512,Yes,red,1.408743123
228.5180393,0.305646576,0.51252595,-0.182909461,-0.031039602,0.3967678,-0.969351977,0.504442492,No,green,1.533713403
98.09615202,-0.615714008,-0.299909875,1.418877073,1.014542284,-1.257116841,-0.600303128,0.208161061,No,blue,-0.58747715
-230.0174789,0.59792294,-0.398801686,-0.140149634,-2.282269878,-0.667215043,-0.35807596,0.198142349,No,red,-1.617673726
174.2812152,1.480430464,-1.443179403,1.10119883,0.682496419,0.222327918,0.31710723,-0.04791155,Yes,blue,-0.161242226
-46.28480859,-1.566827799,-0.891478265,0.233799388,0.781445609,0.242348642,0.787534762,1.049381049,Yes,red,0.254734691
-130.9950926,1.494329849,-0.804793794,-0.957746944,0.617520144,-0.074594054,2.4566379,-0.12899498,Unknown,blue,-1.829496163
176.6540849,1.494000744,-0.8140943,2.003994259,2.141929318,-1.363720932,0.601164082,-2.90157097,No,blue,0.46062436
84.1657729,0.559535677,-0.105414948,-0.994657061,0.318895109,0.662017173,0.575240447,0.074306883,Unknown,green,0.960071672
-129.6859736,0.923712407,-0.162027713,-1.658402918,1.292310085,-2.103114783,-1.308219458,-0.28059471,Yes,blue,-0.97682238
-67.1452345,-0.150747464,-0.553120293,1.142391973,2.579674838,-0.053158855,0.102238431,-0.264757195,No,red,-0.484539924
195.9658362,0.172993335,-0.182935769,-0.802973797,0.237858721,-0.07623136,1.085669009,-0.696920692,No,blue,0.909833967
-7.717451667,-1.75445469,-1.090802761,-0.579774358,-1.766833942,-0.875111827,1.472158102,-0.040598628,Yes,blue,0.69884052
-59.08197313,-1.928672803,-0.883155039,1.136268049,-0.605720216,0.771517915,1.633396632,0.740108772,Yes,red,-0.313942657
182.3611623,1.031344677,0.23146272,1.276033177,2.364522939,-0.072858229,2.029496038,-0.347161476,Yes,blue,0.189131527
-90.80840925,0.97761986,-0.266307794,0.569721913,0.754796434,-1.032355911,1.762323426,0.460505609,Yes,red,0.037359299
-145.2928154,0.444404848,-1.72894213,0.38109478,0.094003353,0.595245747,1.381425514,-0.449220114,Yes,red,-0.636205687
189.3692503,-0.029902344,0.908256777,1.24692451,0.166823461,1.038200373,0.512542722,0.126525379,No,blue,0.24935694
87.12490999,1.019901327,0.569161711,0.213936557,-0.157126424,0.596090138,-1.346502958,-1.271292199,No,red,1.005204089
118.6977828,-2.696282333,0.079331737,1.167002031,-0.411187784,-0.859011261,0.432381947,0.234487264,Yes,green,0.537963852
-25.80271092,0.540918738,0.745655998,-1.43503727,1.381727979,1.142806142,0.966745566,-1.701652705,Yes,blue,-0.792915486
-162.5191945,0.15581776,-0.384727639,-0.623824639,-1.397160776,-0.479990479,1.307918891,-1.319863281,Yes,red,0.643267774
2.458807366,0.247641566,0.746359646,-1.52076787,0.660813629,-0.469052836,-1.149999615,-0.869080916,Yes,red,0.853090259
-115.0435802,-1.331071441,-1.309685949,-0.491343057,-0.958507519,0.182375348,-1.925946376,0.13321804,Unknown,red,0.149821745
278.3709809,-0.335547554,-0.119485506,1.424187084,0.46260102,-1.717496138,-0.199355642,-1.427670186,Unknown,blue,0.800387627
-102.8005624,-0.382401442,-1.12987206,0.2274921,0.293139473,-0.933592946,-0.470571471,0.016547527,Yes,red,-0.309335231
79.31013822,1.538347557,-0.238024004,-0.419842547,-2.109965032,2.248313344,1.967099276,-2.198409362,Unknown,red,0.998943657
-212.7250235,3.205889491,-1.343185683,-0.699007413,-0.623401592,-1.006710978,-1.1573335,0.291228157,Yes,green,-1.28405882
-172.5812212,0.194051666,-1.404660709,0.017152775,-1.816872229,-0.699664902,0.01758871,-1.836625181,Yes,red,0.850007025
-26.60433005,1.167036275,-0.845840477,-0.043406501,-0.863345744,-0.300897418,2.418062289,-0.021623836,Yes,red,0.402879237
-74.82697561,0.069851043,0.082376442,1.488538165,1.049796057,-0.841850934,0.001933216,-0.279571724,Unknown,red,-0.342719169
180.0138453,-1.165157444,-0.077603289,0.054903931,0.099623067,1.440718771,1.437410496,-0.380684602,Unknown,green,1.119582317
-102.5816028,-1.375022949,0.830880978,-0.785546316,1.165957028,0.655287992,-1.463912023,-0.826406191,Yes,red,0.337841191
-143.0833142,0.390397953,1.575638123,-1.330992594,0.67014734,1.912269767,-0.472864252,-0.048534089,Unknown,red,-1.811081901
-233.1348492,0.184666927,-1.166345784,-0.464181109,1.575648317,1.39329084,0.780931532,0.161722912,Yes,red,-0.464408387
103.6996402,1.375838735,-1.487678975,-1.988479365,-0.451460765,-1.759065902,0.12217643,-0.581300039,Unknown,green,2.290225809
-64.5369347,0.634241729,-0.161944333,-0.546302777,-0.580685913,1.736172629,0.809241017,1.099689695,Yes,red,0.750912059
-68.29332373,-0.737516996,-0.057063132,-0.252244034,0.071694763,-1.665137801,-1.737685604,1.347322644,No,green,-0.908578751
200.8503983,-0.327755536,0.609916088,0.822078805,-2.579191486,0.971716477,0.135157527,0.482834725,Unknown,green,0.638878477
66.33848107,-0.313962938,0.790781669,-0.491478708,0.340758369,0.40426091,-0.840446322,-0.492309525,Yes,red,0.772206714
-179.1309197,-0.25068865,-1.617837249,-0.114212375,-0.171550299,-0.912476227,-0.505452001,-0.15961154,Yes,red,-0.223142567
-68.39286411,-0.937656259,0.499477703,1.43854761,0.270678751,-0.17254443,0.162279439,0.258484033,Yes,red,-1.378450863
33.40161332,-0.413607958,0.137336446,-1.428466251,0.474473823,-1.978941513,-2.390876237,0.830862847,Yes,blue,0.587497369
49.10284722,0.426655997,0.345105429,1.732905925,-1.511402791,0.369719085,1.344309229,-1.56384959,Yes,red,0.29113534
79.65358583,-0.744223943,0.016861063,-0.870553718,-1.200388448,1.799030166,-0.660726613,-1.467036928,Yes,blue,0.045453773
-137.2255022,-0.042457189,0.368547439,2.59772694,-1.04585556,-0.064559448,-0.032048993,1.349995909,Yes,red,-2.050880538
-118.6794165,-0.355749797,-1.479155258,0.605723649,1.666030293,1.326484318,0.1096734,1.417819398,No,green,-0.877527581
