A,B,C,D,E,F,G,H,I,J,Response
-199.2801765,0.095079056,0.026150563,-0.538188182,0.226447039,1.594548768,-0.452715749,1.232591551,Honda,red,-0.607876238
-78.5570236,-1.835051553,-0.867785646,-0.237511429,-0.46117417,-0.150948354,-0.343791467,0.443314837,BMW,red,0.599592462
9.092348224,-0.793886108,-0.8616348,-1.526009673,0.16039419,0.019182299,-1.175534942,-0.388340319,BMW,red,1.172663111
9.099005722,-0.025441244,1.43414856,0.745093383,-1.24081014,0.21460519,-1.426039262,-1.140288792,BMW,red,2.192053385
-105.8551033,0.393300675,0.212898378,0.814905107,-1.06965019,0.204110691,-0.492030886,-1.251285843,BMW,black,-0.281564741
-209.8591938,-0.451917873,-0.35738513,-0.361108805,0.259160151,0.353123982,-1.804701183,-0.229241038,Honda,black,-1.449448677
170.26077,-0.052846838,-0.340066125,-0.400271369,0.889558702,0.418782768,0.005596765,-0.048169292,Honda,black,1.364252107
-4.077635527,-0.763332536,-0.124222229,-0.848238717,0.940306451,0.75115217,1.39796979,0.306146151,BMW,red,-0.567629458
95.2590711,0.01565758,-0.385263081,0.302546237,-0.405520479,0.596112361,-0.150611376,-0.295060742,Honda,white,0.18750888
-118.973494,0.670365901,0.335376273,0.952668385,-1.124367579,0.267977139,-0.761328274,0.407730061,BMW,red,0.693273513
-161.2935453,1.307224238,-1.040392673,0.676822044,-1.022099594,-0.409037365,-0.138432987,0.402919977,BMW,black,-1.225706202
-195.9365898,0.992596761,0.51931,-0.123723864,-1.951267045,0.529492264,-1.90951574,1.264132051,BMW,black,-0.283194309
156.7032199,0.601684427,-0.241162609,0.08893029,3.573134192,-0.50688131,0.959078586,-0.324790522,Honda,red,-0.018103214
68.76512341,1.263058088,-0.428273301,-0.628161028,1.85406018,-0.517885669,-0.482232209,1.091276911,Honda,black,0.121255518
-37.25262614,-0.390007826,0.881920768,0.923507181,-0.165730886,-0.842581779,0.746973669,-0.714576928,Honda,red,-0.511197585
-67.66678519,1.841265479,-1.724182203,-0.695523912,0.577497377,0.427064599,-0.927298053,0.355679794,BMW,red,0.437792205
292.8619861,0.321745795,-0.73024262,-0.362906141,-0.357573827,-1.55893416,0.384297211,-1.32032956,BMW,white,1.014812063
95.2363297,0.661963327,-0.519605751,-0.412171705,0.088496554,0.309167236,1.24584659,0.719215103,BMW,black,0.090300627
64.53446397,-0.071371939,-2.492163483,-0.677504634,-0.259759791,1.163927587,1.199320409,-0.291333969,Honda,black,0.311548802
-8.428043518,0.049341938,-0.825399951,-0.957088144,-0.147371846,-0.182603297,-0.843378981,1.288270769,Honda,white,0.008595226
11.12485798,-1.31770348,-0.086199454,-0.517129751,-0.836071741,0.571824837,1.07968526,0.035534681,Honda,black,-0.284801017
-85.11250239,0.536632704,0.039130738,0.255108356,0.0750466,-0.217341716,-0.485024538,1.495705283,Honda,red,1.566513031
-54.40181833,-1.071534899,-1.312651665,0.284647399,0.205701944,0.162929917,0.034731445,-1.243135136,BMW,red,-0.060461092
-150.7406215,-0.36836164,1.336369468,-0.16467523,-0.659204071,0.183127018,-1.770816896,2.246886403,Honda,black,-0.32508592
179.3505575,-0.498805038,0.840121378,0.13968383,0.833906948,-0.027888717,0.080838307,-0.165619809,Honda,black,1.83284001
405.755067,0.197293431,0.606437578,-0.832133131,0.845587042,-0.486314414,2.110896598,1.216738504,BMW,white,0.594905207
67.61872233,-0.066323486,0.133942132,1.570538436,-0.614351158,0.92573283,1.594476823,-0.37832789,Honda,black,0.217095689
68.95666707,1.645940562,-0.007469752,-1.367588074,-0.578144036,0.448272345,-0.115789019,1.008775917,Honda,white,-0.350053275
215.2263848,0.357270735,1.22959546,-0.849518855,-0.690702206,-2.176390031,0.136467667,0.220895753,BMW,white,-0.218711225
27.72819336,0.471644221,-0.72149026,0.342906657,-0.46434246,-0.72914611,-0.753158203,0.193924881,BMW,white,-0.396824284
-156.8299758,-0.34751194,-0.602810535,-0.849221589,-0.388568134,-0.831826369,0.403956478,1.10983217,Honda,white,-2.48581243
-147.6681996,-1.566643308,1.218514114,0.946232458,-0.918226542,-0.238634873,-1.43727923,1.234468623,BMW,red,1.261925059
-43.05187412,0.334352688,-1.377124511,-0.325430742,0.658629777,-1.321772606,0.218460371,0.226624064,Honda,red,-0.80390009
4.577481575,1.086906224,-2.238042545,-0.579065943,-0.975021612,-0.769270164,0.734569594,-0.916286926,BMW,red,1.27842625
-242.2612886,-0.081890442,1.313723385,-1.062984276,-0.440873238,0.622244942,-1.530845109,0.530038749,Honda,red,-0.062884307
54.25977259,0.377599779,-1.344002557,1.109465365,0.810319104,-0.799869002,-1.357891688,-1.438427522,BMW,white,0.031790363
202.1032599,-0.001797533,2.221790542,-0.025684742,0.824970743,0.468764085,1.012730982,-0.736343192,Honda,white,-0.791793789
-139.0966923,1.020144944,0.03470709,0.37507363,0.912332883,0.392548514,0.778411696,0.739581507,BMW,red,-1.323848781
-291.832091,0.467847939,0.576335706,1.217756197,0.436913417,0.964874534,-0.110824372,-1.342756474,Honda,red,-2.178272159
58.31804233,1.255056998,0.798474326,-0.289984811,0.496943695,0.638066341,0.505326654,-0.306390852,Honda,black,0.130058239
-136.0154044,-0.210153789,-0.136608493,-0.055408377,-0.40058437,1.07217301,0.103844576,0.452578819,Honda,white,-2.162587276
191.532501,1.541371667,-1.14202194,-1.755679733,-1.273501718,-0.024136735,1.353942198,0.211511024,Honda,white,1.508514479
-49.44472859,-0.291059106,-0.693179276,-0.45264784,0.267828956,0.145088832,1.259585183,1.031844791,Honda,white,-2.153160187
158.5546222,-2.600070797,-0.544991884,-1.203122758,1.745716506,-1.335257053,-0.025577954,0.131844283,Honda,white,0.189589436
32.64805546,-0.689582854,-0.361643629,1.257846162,-0.424633316,-0.361245389,-0.801738938,0.61139655,Honda,black,1.335901777
189.7159657,0.299181797,-1.774506251,0.555634429,0.572298195,-1.115477981,-0.380015581,-1.387100298,Honda,white,1.327428945
3.773326987,-0.542929602,-0.267281734,-0.016556862,2.466164978,1.185801803,0.019670347,0.828961177,Honda,red,-0.318786851
74.080462,-0.772155852,-0.950879,-0.09785062,0.101821396,1.148356352,-0.410298073,1.178257309,Honda,red,1.968946752
-28.25329674,-0.951254869,-0.048582576,1.520975785,-1.416933107,-0.216143093,1.490811581,-0.647065669,Honda,red,0.729582095
-232.4571767,1.75019193,0.915703906,0.991432746,-0.614993269,-0.180471334,0.24278535,1.094198186,BMW,red,-1.636169138
93.1679672,-1.014602617,0.021798818,0.035797212,-0.225402516,0.794044975,0.95034116,2.018853966,Honda,black,0.506087319
-202.9613824,0.289984569,-0.317367195,-0.221217104,-0.133598466,0.739751913,-0.912136648,-0.417405149,Honda,black,-1.956059488
169.6087085,-0.519207303,-0.370475186,-0.47487242,0.427045421,-0.00930239,0.290505748,1.538294835,Honda,white,0.62288391
158.4380095,-1.002091548,-1.366710178,-0.08378664,-0.627808928,-0.102076537,-0.063604317,0.018145378,Honda,white,1.667013355
-57.72994719,-1.435156937,-0.031093853,0.001632369,2.038457089,-1.701999392,-0.474954239,-1.107297965,BMW,red,-0.448718256
-181.361221,0.657216455,-0.112688778,0.302793905,-0.455817407,-0.344351327,-0.279969544,-2.10819491,BMW,red,-0.435032254
188.1651639,-0.003815452,-1.612904964,-0.002165329,0.179584452,-0.492096915,0.331932629,0.735676939,Honda,white,1.045620811
-181.8066194,0.05325815,-0.108442185,-0.174993369,1.853644238,0.318169084,-1.120368877,1.806007299,BMW,red,-2.24069407
-97.51602158,1.338641916,-0.406522154,-0.808304058,0.144523341,1.500545174,-0.186092535,1.826844128,Honda,red,-0.927449376
171.9778551,1.093744827,0.305683646,-1.635926014,0.652481334,0.996021292,-0.749689562,-1.118474267,BMW,white,0.86845745
-83.56395534,-0.073255303,0.382333774,0.22313797,-2.075598705,-0.759216626,-0.981740235,1.308701836,BMW,white,-0.812309066
64.11466301,0.390037008,0.72827083,-0.148772172,-1.448730647,-0.098334731,1.010828165,-1.582146155,BMW,red,1.472135269
230.0897104,-0.218351286,-0.965997248,-0.904120083,1.106217446,-1.000961188,1.583631939,-0.110547743,Honda,white,-0.295962655
6.944031248,-0.627096856,-0.999136135,-0.59386418,-0.502461068,-2.068293704,-0.084717567,0.005839944,Honda,black,0.23766764
4.921978038,1.831244971,0.653231201,0.231030626,0.996631206,-1.293947097,-0.970851255,0.279640426,Honda,black,0.143011826
-178.7596066,0.603560812,1.113675612,0.549719348,-1.009052703,2.039399501,0.624375514,2.301032382,Honda,red,-0.859479157
-219.6178812,-0.465713252,0.351921171,2.012644711,-1.101622265,-0.077416876,-1.456707745,1.447558602,BMW,black,-1.064509864
178.3734264,0.062076777,1.378770353,-1.348146925,2.09369742,0.498050336,-0.59312126,0.59651589,Honda,white,-0.203685023
-33.34967511,0.511276229,1.573042331,-0.810311491,-0.432030994,2.573218809,0.945513576,-0.381261507,Honda,red,-0.488817043
46.67401581,-2.392561165,-0.071340193,1.314477744,1.107414214,0.309298258,-0.38411895,-0.935117232,BMW,red,1.53088618
158.0064848,0.756158324,-0.292264644,1.268231555,-0.284650051,0.943557778,1.065157323,0.026985284,Honda,white,0.881219311
-12.20917835,-1.536994241,0.447925132,0.44785835,-0.578578739,-1.137978321,0.946611137,-1.389612143,Honda,black,-0.104548878
324.454226,1.549999301,-0.34709332,-0.809551111,-0.465146434,-0.834956867,1.254854806,0.586773151,Honda,white,1.267544576
196.0887119,-1.136729195,-0.993986182,-0.162813908,2.159252608,-0.864172694,-0.253092979,0.570023119,Honda,red,1.64198594
-5.216588953,0.92535993,0.474109673,0.864940048,-2.34575605,-0.021545039,-0.524842513,-1.000009839,BMW,white,0.258835676
-94.14334892,-1.538186293,0.623271581,0.029986,0.539883599,-0.427788025,-0.651735674,-0.344029225,BMW,black,-0.974636124
-18.57942653,-2.359650083,0.821029318,-0.353106161,-0.155231259,-1.241993988,-0.776700969,2.351889654,BMW,red,1.411671861
-15.76020813,0.750272421,-1.661747011,1.201598017,-1.022058556,1.086402442,-0.036002725,-0.993316481,Honda,red,0.850298346
59.06975348,1.420905076,-1.248395603,-0.701457667,0.648410323,0.717368836,1.189613077,-1.178220074,Honda,black,-0.417145725
-68.71744875,-0.037586558,1.206362886,-1.352946956,-1.861106411,1.256643531,0.605927267,1.116205559,Honda,black,-0.149722231
-180.051681,-1.001456052,-0.654085824,-0.969160343,0.242655375,0.084754539,0.164732923,0.754005821,BMW,red,-1.562420033
61.84718085,-0.478413929,1.688757187,-1.074131086,-0.138049723,-0.45657231,1.767711013,-0.107650445,BMW,black,-0.302408847
-35.03407428,-0.284244463,0.03567233,1.791048911,-0.911642263,-1.939357501,1.340682711,-0.633478953,Honda,red,-0.258176814
-102.6357186,0.455576168,-0.076832174,-1.294998592,-1.047321084,-0.513790039,-1.396750827,-1.413813091,Honda,white,-1.121826018
