A,B,C,D,E,F,G,H,I,J,Response
187.3553932,1.337770561,0.521709187,-0.281488496,0.775899485,-0.758932496,-0.077788729,0.667762964,white,female,1.077562137
-110.3178194,0.404775796,0.195230406,-0.483634133,-0.741716795,-0.364870704,1.20305498,-0.469062838,white,male,-0.731707729
119.705209,0.385274847,-2.118872093,-0.62557554,-0.670665598,0.580008141,-0.82238801,1.175625203,white,female,-0.192199336
49.70344543,0.405131923,-0.933568769,-0.816128718,0.147653823,-0.072686021,-2.248692881,0.573435671,black,female,-0.111632817
32.80366415,0.695917955,-0.321756113,1.374085997,0.504398664,-2.355776768,1.857404106,0.478067798,white,male,1.754586551
-36.79603093,-0.389403255,0.279859948,-1.66855198,-0.691490149,-0.847643865,0.367293694,-0.432689759,white,female,0.101571028
-181.4852015,-0.824111298,-0.063828475,0.477000922,0.129153237,-0.537852445,0.718841451,-0.683844694,black,male,-0.57177457
117.0113313,-0.735851193,0.791339684,0.227682539,-1.445758235,1.108121722,-1.356278453,-0.034755867,black,male,1.154434475
-162.0203763,0.221991848,-0.808312857,-0.254777929,0.061505037,-0.314979143,1.597646727,-0.995986997,black,female,0.209107763
167.3355051,-0.762387424,1.955788775,0.819430444,-0.675539031,0.387820022,0.811758437,1.030640105,black,female,0.993400537
-99.82300613,-0.979425598,-0.021819732,-0.009622259,1.42941345,-0.731760235,1.252007936,-0.053537695,black,female,-0.602450322
285.8413358,0.648297015,0.407839004,-0.608194822,1.200878068,0.084046031,-0.560778324,1.843755657,white,male,1.162874188
107.9488362,1.534075977,0.536870838,-0.693439379,0.074605398,-2.207566307,-1.556637676,1.036918081,white,male,1.007919918
205.1726633,-0.172084427,0.726967099,0.34000831,1.295378887,3.234150171,0.190049422,-0.357969262,black,female,1.085233277
-9.905947742,0.750543946,0.788610605,1.105176021,-0.400687558,0.881568421,0.509688438,-1.186592342,white,female,-0.378644095
316.8385913,-0.40613186,-0.638289428,1.420889209,1.692117616,1.314395068,-0.390722607,1.07160879,white,female,1.721526675
-15.30840991,-1.296459048,0.468692184,-0.552820472,0.437719275,-0.076867803,0.005946818,0.61218549,white,female,-0.591266869
-124.2759987,-0.444316551,-1.061934655,2.324125333,0.046406707,0.507894028,-1.526708331,-1.889797905,white,male,-0.401566737
48.43028932,0.200048381,1.431136249,-1.093828051,-0.029649358,-2.217114413,0.510759281,2.021002276,black,female,-0.159392216
94.62190495,0.738566149,0.725470733,-0.269828514,-0.872117835,0.715091195,1.481098378,1.056257762,black,male,-1.107372325
-199.5436093,-1.162368214,1.803400987,-1.823454197,-0.838133798,-3.172622267,0.366099802,-0.199281601,black,female,0.298146539
-155.2609354,-0.057589388,-1.241098916,0.841392938,0.350338673,-0.046911332,1.25776274,-0.785036649,white,female,-0.777314427
-50.61773544,0.366701225,0.764565697,1.0450468,1.181735812,0.14818873,0.460602398,-0.7882139,black,male,-0.153786158
-8.877405741,-0.814755164,1.200311901,-2.651077883,0.786432233,-0.250960971,0.824234095,-0.837770444,black,male,1.903543158
34.82508665,0.578465355,1.285536452,-0.410496421,-0.022238128,0.785877326,0.21659553,0.220995416,white,male,-0.375377567
79.9573855,0.640529546,1.389924231,-1.328787829,-0.372219622,1.911857611,0.258477851,-0.415171587,black,female,-0.030638324
58.10565424,-0.404264065,0.096291026,-0.717169269,0.377940555,-0.85806445,0.443361936,0.569750384,white,male,1.071671345
74.39253602,-0.049824917,0.368573776,-0.039452259,-0.04660086,-0.678943267,0.095385635,0.022422546,black,male,1.200057116
36.92292902,0.458497867,0.020012069,-1.358922453,0.037801589,-0.241505274,-0.345726871,0.644408738,black,male,-0.643141488
-26.59284193,-1.38239433,0.107067763,-0.302502773,-0.409019934,-0.949215807,-0.80772756,0.026198024,white,male,0.550238551
117.4885986,-0.6280957,-1.333752362,-0.176276163,0.79015336,1.238756487,-0.500168866,0.626438013,white,female,-0.102769342
-71.26623909,-0.763824849,1.333403234,0.508550664,0.865498213,-0.831680791,0.78199534,-0.269198054,black,male,0.105632937
-9.465803819,-0.444751523,0.514729269,-0.417134738,-0.591541433,-0.18111154,-0.825359125,0.800778178,black,female,-1.485769572
28.84740716,-0.029925319,0.050242346,-1.863379641,1.946769783,0.97394901,-2.595069259,-1.653564182,white,male,1.583077051
-18.10286638,0.217845179,-0.46057733,-0.693946991,0.029560275,1.018766855,0.60521729,-0.209816541,black,female,-0.82372375
-211.208754,0.180088422,-1.427951778,0.529444667,0.72117783,-0.700374032,0.572869559,-1.828417151,black,male,-0.038082547
-93.24508666,-2.24162253,1.216953838,-2.098187355,-0.393797125,-0.839000872,1.206368129,0.270693155,black,female,-0.16936854
-71.34825275,-0.407800494,0.044521959,0.209621969,0.202746172,-0.386513721,0.321065924,-0.467095723,black,male,0.047721611
20.76595362,-0.109061934,0.613061355,1.394211554,0.023474626,0.816376169,0.58841924,-0.862182038,white,male,0.961876659
130.0115944,-1.54178853,-1.337950311,-0.554632527,-1.09644542,0.903520336,0.053581625,0.728843943,black,male,0.810256714
-0.248079322,0.507552423,-3.096227041,1.242270867,-1.595516796,-0.369435027,0.435704616,-0.218777373,black,male,-0.076699153
-6.172954011,0.957854027,2.237169762,0.167484997,-0.124942248,-0.634694544,0.771694778,0.139817171,white,female,0.050032973
82.87862564,0.310823407,-0.510953084,-0.220940472,0.684063797,1.606999428,-0.019249471,-0.442752929,white,male,0.046190158
-95.79655953,0.004746606,1.078219353,0.3469345,-0.048813034,-1.334365264,-0.046287404,-0.474232376,black,female,0.240011176
8.918560008,-0.458937076,-2.359003906,-0.944050016,-0.174120926,-0.849590865,-1.313714987,0.528928743,white,female,0.522372758
8.939562828,0.170266458,2.063750358,-0.098587902,0.40457871,0.355339245,-1.13957324,-0.127060821,white,male,0.513398588
266.7370333,0.818416998,1.27871558,1.134950354,-0.333456422,1.815681219,1.016638985,1.017401197,black,male,0.205763639
231.737068,-0.697690285,-1.925162234,-0.177575461,-1.835883227,-1.838873844,2.024237531,1.605256498,white,female,1.618120366
