A,B,C,D,E,F,G,H,I,J,Response
-112.9394467,-1.194671534,-0.953711843,-0.826904193,0.01015792,0.562792883,-1.640991874,-1.172658123,yes,orange,-0.443356531
-179.9928968,0.309747827,0.236635818,1.058455443,-0.288198673,1.032917258,-1.258013998,2.376154727,yes,orange,-1.135989025
49.18957434,-0.186857984,-0.080932079,-1.39260185,0.90979436,0.264919422,-1.201982238,-1.632156896,yes,apple,0.804354249
57.33018999,-0.690329459,0.291986238,-0.128524389,0.111885985,0.122067154,1.131016682,-0.559117134,yes,orange,0.694652221
50.17052719,1.133043099,0.135522046,0.390712791,-0.190736727,-0.543031666,-0.098343781,2.057595986,yes,apple,0.89484734
-79.95180397,-0.565257349,-1.188427651,0.167645723,1.225178449,0.5749999,-1.129190503,-1.132061366,yes,apple,-0.786021015
32.00388801,-0.30696561,1.067531543,1.024050136,-0.700698222,0.333527939,0.091209457,-0.753404773,yes,apple,0.589757079
-119.5536544,1.614067908,0.714625128,0.878277005,0.141486226,0.440854254,1.441049958,-0.155676267,yes,orange,-1.73649796
196.8764664,0.524201479,0.814494256,0.34301631,-1.012313679,-1.692503449,1.280627641,-0.459814449,yes,orange,1.503691537
-105.3318857,0.000486047,-0.710975633,-0.802464246,0.887400442,1.485956594,0.72537177,0.61388987,yes,apple,-0.019064035
133.0137229,0.323168092,1.696181466,1.121173882,1.870307724,-0.903909902,-1.089032388,0.363141502,yes,apple,1.205865353
78.09798415,-0.182278334,-1.177248645,0.752253622,-0.016099813,0.462820414,0.270034117,1.748794652,yes,orange,1.909350828
-40.14378528,-1.495974328,0.807343634,1.116573195,-1.512511365,0.064048843,-0.99234647,0.232987031,yes,orange,-1.039601851
29.65048499,-1.20013685,-0.158785171,0.868994912,0.342185999,-0.318868278,0.609085024,1.037420022,yes,orange,0.551291703
153.3970555,0.521435709,0.015394294,-1.025558804,-0.172958005,0.512602984,-0.287651812,-0.081203207,yes,apple,2.149482567
150.1412689,-0.926872939,1.783427753,0.925090395,-1.106517704,0.556310881,-1.031403405,2.894094523,no,orange,0.401818556
-85.26227366,1.368554028,-1.144483284,0.056628783,-0.866436149,1.626678375,-0.543985103,-1.57060746,yes,orange,-0.609609329
-83.46741213,-1.106191309,0.026297046,-0.086714616,-1.884911565,0.18835072,-0.949181592,0.614556249,yes,apple,-1.03380486
101.6278833,0.337074078,-0.124931922,0.910581118,0.490209661,1.099149697,1.536688129,-0.889643032,no,orange,1.19756277
-121.0961685,0.02430227,-0.258647234,-0.90224517,-0.555903518,0.787965575,1.983850437,0.673629767,no,orange,-1.81510649
86.95500283,-0.561756139,1.094836697,1.136855165,-1.255002018,1.556194812,-0.365854143,1.293384079,yes,orange,0.317592186
-110.0323873,-0.220830477,0.172802247,-0.323693067,0.15248054,-0.19252731,-0.704573664,1.13520672,yes,apple,0.025887469
12.42163857,-0.606936252,1.952951439,-1.747682006,1.042552885,-1.809590145,-0.232046064,-0.820384383,no,orange,-1.141076527
-73.97370876,-1.326777741,0.455837043,0.322310682,-0.845288427,-0.132961248,-0.402085681,0.059465043,yes,apple,-0.87915
