A,B,C,D,E,F,G,H,I,J,Response
-59.61344723,-1.281195429,-0.346096078,-1.007822277,-0.40923475,-1.619060172,-0.540166429,0.938189864,medium,black,1.588358849
-97.86748568,0.075647994,-1.623738223,0.029433382,-1.053614148,-1.327092284,-0.523482276,1.85391144,medium,black,-0.949927877
113.2071992,0.901402287,-0.409554565,0.184871917,1.222152061,-0.2575692,1.220052157,0.071979661,high,black,0.204528422
-54.65272433,0.183529496,0.963944266,-1.222915035,-0.312928185,0.105259925,2.217603094,-1.090587188,high,black,-0.898165053
153.4054151,-0.679130502,1.137787309,-0.019851126,1.384583285,0.165252405,0.263581524,2.058770292,low,white,-0.09384874
-9.082420644,-0.7175895,-0.750783859,0.691486769,-0.147836423,-0.625839236,-1.086843743,0.749164139,very_high,black,0.025292996
-85.50067336,-0.51416927,0.641038823,0.730981448,0.059825766,0.192418145,2.373182409,-0.776020685,high,white,-0.600429105
233.6605011,-0.397995913,2.170387208,1.159735194,-1.003260436,0.055290706,-0.268455443,0.603301291,very_high,white,-0.359908053
269.9679194,0.939071739,1.566398497,-1.880758183,-1.524953687,-0.616030785,0.553893615,-0.115714712,very_high,black,0.077049762
-269.3612119,-0.856673513,0.195703197,-0.486028715,-1.436241887,-0.262493616,-0.259527905,-2.241619594,high,white,0.018605731
-85.56996245,-0.607002095,1.028169125,-0.907108034,-0.357843664,-0.137937715,-0.331483128,-1.447630898,high,white,0.120219262
-404.4624144,1.046640716,-2.195392874,0.230372862,0.874414389,-0.01950512,0.393595642,-1.226256667,low,black,-0.990572865
8.192118719,0.007388791,0.952872043,-1.453368379,0.071191759,0.191989328,0.9156412,-0.918586225,high,black,0.035454591
460.694479,-0.026188165,1.731337821,-0.231226921,-0.700988231,0.829937906,0.037287891,1.035832558,high,black,2.017113834
-10.81841961,-0.304256181,-0.599437761,2.065901227,-0.451131202,1.01567574,-1.08571541,0.227565686,high,black,-0.619908451
-58.78772629,-0.368010489,0.274882087,-0.155008285,0.176604234,-1.03351519,-0.648917548,0.072862453,high,black,-0.010340244
24.20211037,-0.027700184,0.135668212,-0.987106836,1.714620437,-1.167259266,0.520219842,-1.489775127,very_high,black,1.302940662
65.82026836,-0.372142044,0.32277428,1.363835203,-0.326990089,1.573001978,-1.048277696,-0.531161289,medium,black,0.801577216
131.789515,1.347800153,-1.455260478,1.028684613,0.922933574,1.748638433,0.702767299,-0.427411867,very_high,black,0.222240355
-82.21143503,-0.127795578,-0.690370326,1.20481482,-0.408578698,-0.807572294,0.058145681,0.98703622,high,black,-1.060997278
-66.69987585,-0.91207412,0.771560883,0.577821323,-0.833564555,-0.213938394,-0.643476382,-0.130764761,medium,black,0.062378317
235.5303904,0.841895141,0.849076704,-0.491860935,1.767316223,0.815699092,-0.136967631,-0.178500967,medium,black,0.784862955
131.0424534,1.255996039,0.15317774,-0.67577247,1.035563221,1.756706,-2.619081189,-0.192293418,low,black,-0.049324566
194.3301246,2.126521085,0.928839325,-2.950191235,-0.064891829,0.602900376,-0.802231674,0.00443937,low,black,-0.007600344
23.74715199,1.489409093,-0.702240404,1.381648429,-1.037022308,0.278889798,0.140598636,-0.588818292,medium,black,0.03962937
71.44532446,0.68704161,0.314622352,-0.612472568,0.346774455,0.44631608,0.408805007,-0.264656696,very_high,black,-1.547002789
-217.0077495,0.117682031,-0.299744887,-0.113263695,-1.221623139,-1.13896436,0.138627818,-0.918850733,low,white,-0.024362542
28.1551793,1.235010048,-0.1247273,0.65993289,1.665583853,-1.330302563,-0.493778199,0.657593105,medium,black,-0.952424969
230.3650065,-0.296521146,1.066266915,-0.679401988,0.343639631,1.315108089,-1.764323505,0.011723668,very_high,black,-0.245172431
56.21328088,0.222180432,-0.308418943,0.25403496,-2.367703593,-0.476890936,0.34340493,0.455683485,medium,white,0.980235222
-251.7569359,0.058386136,-1.434731907,-0.06449557,0.825585323,-0.711083273,0.225543217,-0.215966523,high,black,-1.2722856
87.09194406,-1.454354438,1.200321375,-0.067273304,-0.794220679,-0.233197091,0.139292896,0.174761797,very_high,black,0.529279106
-320.2606747,-2.295350049,0.52325075,1.760519669,-0.058632079,0.766826832,-0.682770894,0.693043212,low,black,-2.04566359
-200.128259,-0.519065786,-0.032319676,1.014840563,-0.204437714,-1.294699278,-0.581139415,1.05283901,high,black,-2.559343959
