A,B,C,D,E,F,G,H,I,J,Response
139.9730961,-1.983017175,0.14302261,0.94830402,-0.671254223,1.118254772,1.66581913,-0.258719072,yes,apple,-0.022469215
-95.95191585,-1.718739148,0.665656526,-1.06745858,0.689423938,-2.449781817,0.753210276,-0.601472349,yes,apple,2.082906304
234.2795652,0.826044021,0.105746032,0.95631563,-0.833858296,-0.231958534,1.640563033,2.154260985,no,orange,1.707004271
249.1239911,1.709299013,-0.526079543,1.89109311,-0.580230355,1.548893276,0.78838049,-0.065997585,yes,apple,-0.214407688
78.58445349,-0.175611807,-0.685697382,0.144408042,-3.014747595,0.423926552,0.876015235,0.176177988,yes,orange,-0.206151788
64.21420574,2.03855452,0.437177729,-0.481248996,1.90558351,0.847650319,1.499172629,1.274362434,yes,orange,-0.803941284
101.0789511,-1.420386584,0.80190366,0.63951819,0.465167835,0.572099667,-0.284414173,0.815248644,no,orange,-0.103083756
-38.19717577,-1.026127505,0.829310759,1.016641451,-1.534609593,-1.169812828,-0.60169691,0.162120015,yes,orange,0.983846162
181.443279,-0.228960942,2.677840036,-1.209853874,-2.19335386,1.847265002,0.73498689,-0.639702678,yes,orange,-0.534970194
144.0306425,1.812698851,0.965512011,0.222298992,-1.0739846,1.752525406,0.437825154,-1.500121455,yes,apple,-1.037139071
1.898467162,1.161250551,-0.203489604,-1.609099658,0.625922093,1.072022508,-0.866698591,0.605735539,yes,apple,-0.592749157
22.25010332,-1.471904175,2.972403211,1.102113271,-0.329397514,-0.280704109,0.816091854,-0.61867528,yes,apple,0.425552628
-258.3634653,-0.603880967,-0.057367385,-0.534702545,0.068308711,-0.498887604,-0.863532199,0.391047258,no,apple,-0.518593609
-194.8166966,0.693119748,0.67156481,0.569961198,-0.174548151,-0.730633807,0.431522074,1.283601236,yes,orange,-0.967045187
191.3316477,0.536041329,0.620776198,0.060160109,-0.515750398,0.193947507,0.610582993,0.472750175,yes,orange,1.457081914
98.08362862,2.147317293,-1.240441785,0.467338356,-0.633958924,1.422507704,-0.979216396,-1.055834364,yes,orange,0.284539526
203.2995083,0.30939232,-0.458707187,0.074027617,-1.091493425,1.879244136,-0.481419378,-0.491964411,yes,orange,0.563085372
42.99723615,0.401801755,-0.469972984,-0.529025342,0.067232429,1.838384101,0.593908347,0.449249737,yes,orange,-1.750100266
93.65967437,-0.845208695,-0.801919577,0.891190431,0.602826153,0.286885368,-0.122014865,-0.337705965,yes,apple,1.12117054
-185.2732298,-0.394163547,-0.495947971,-0.895031754,-0.121236026,-1.724473463,-0.0222557,-0.17619867,yes,orange,0.040770611
103.7740484,-1.075756178,-0.573973825,-1.077355467,-0.039009244,0.931426963,-0.456438352,0.198166245,yes,apple,0.744536244
