A,B,C,D,E,F,G,H,I,J,Response
-141.9312592,1.572562482,-0.175843517,-0.728555745,-1.416660463,-0.658779371,1.614904898,-2.189311101,black,female,-0.139159179
-85.81704102,-0.534772421,0.434421865,-0.435852714,0.467768755,-0.464171678,1.556916231,-0.578536943,black,female,-0.944367783
-86.46049019,0.173732528,-0.80699701,0.503923066,-0.79416557,0.336590373,0.780464056,0.039109745,black,male,-0.381916328
271.9072237,-0.524075693,2.34568803,0.335603505,0.445326243,-0.471690137,-1.028506966,-0.194566423,black,male,1.098129619
-26.67691591,0.488837339,0.549827068,0.285358072,-0.894530671,-0.283444593,1.152250975,-0.346903261,white,female,-0.735576393
-49.89027088,1.271654959,0.272782004,-1.241832289,-1.625923261,-0.440735843,0.119037227,0.300114867,white,female,-1.381535167
-91.52986623,-0.36827747,0.69307941,0.969120251,-0.631334925,1.103843576,0.98317396,-0.251511764,black,male,-1.623834857
-140.7024,-0.605107554,-1.402729882,1.600317916,0.586167693,-0.266286177,1.275017587,-0.592993659,black,male,0.427201872
-53.29874661,-0.237314581,0.711689127,-1.207615795,0.253242239,0.296997259,-0.325647098,-1.068674965,black,male,0.134028612
100.0053567,1.480151828,-0.167686055,-0.40065934,1.015377809,-1.274257943,-0.30246802,1.065896668,black,male,-0.043562827
-117.7566351,-0.862208386,-0.398431408,-0.669893532,-0.282991698,-2.122182931,1.234404557,-1.38064425,black,male,-0.082513478
-22.23219103,-0.695455482,1.254527612,-0.434768492,0.107434711,0.417654462,-0.347923656,-0.931146948,white,male,-0.953842275
-111.3195841,-0.983149834,-1.210802767,1.781366476,-0.105444464,-0.740758022,0.797382427,0.576237658,white,male,-0.08019416
20.8015669,-1.248439446,0.149939542,0.172254649,0.084225954,-1.236868496,0.013570666,1.153936526,white,female,-0.33395012
229.6321802,-0.079598516,1.125182407,0.539260156,3.236170495,0.580685729,0.550981276,-0.405252664,white,male,2.179269988
169.5096759,0.550856371,0.652906183,-0.097616001,-1.189840756,-0.281835039,0.492294327,0.155529676,black,female,0.791684811
29.95369253,-0.504324608,0.052531077,0.665768204,-0.714605417,-0.075667701,0.880168009,1.240721411,black,female,-0.256066298
-282.4607702,-0.304958497,-1.410722401,0.355844063,-1.059825454,0.420055896,0.285922995,-1.313022102,white,female,-0.456740015
-12.56232817,-1.516777498,-0.134043706,1.802031713,1.740630553,0.692952315,0.782474629,-0.367285073,white,male,1.189807572
-129.7943957,0.162780812,0.239973768,0.142763428,0.301624313,-2.131052016,0.595767324,-0.563535439,white,female,-0.833028065
3.654916435,0.102240504,0.405628358,1.600944937,-0.749788105,0.01888571,1.204864528,-0.170155567,white,male,-0.955190175
-145.7480976,-1.158077191,-1.000318055,0.709593946,-0.145227622,2.840558194,1.572775321,0.882115357,white,male,-0.812154619
3.475815105,0.175211469,0.026680496,-1.020198566,0.063513662,-0.066578756,0.430304682,-0.277269836,black,male,0.462106648
-94.88517814,-0.93983877,-0.267112599,-0.165783129,0.488504593,1.819060214,-0.258008282,0.063631364,black,female,-1.028379179
118.2605158,-1.539372458,0.11346799,-0.053924457,0.197880207,-0.45210414,-0.307208957,0.908493045,black,female,0.650960132
204.5339843,0.046559696,0.77585043,0.029177137,0.781600304,1.020584476,0.978516524,0.679153366,white,female,0.563978878
505.4425646,1.007425348,1.739756676,0.337752338,0.706819929,-0.730265029,-0.8845741,1.623079086,white,female,2.49698519
-108.2504005,-0.529928305,-0.615411931,1.053559535,-0.65327548,0.898471683,0.039812119,0.676775143,black,male,-1.600622589
185.0118667,-0.400385405,0.266082898,0.03883091,0.236572804,-2.201815426,1.07761934,2.40422925,black,female,0.150501632
153.0116677,0.806821711,0.10565237,0.909479409,-1.455675785,-1.753436169,-1.919656309,0.863520562,white,male,0.304163873
-108.9560417,0.889124732,-0.740322265,0.724562287,-0.427816209,0.429370541,0.539255669,-1.313418459,black,female,-0.579635596
-390.7807159,-1.37356894,-1.994946252,-0.842740244,-0.005954959,-1.062010019,1.052455157,0.336904308,white,female,-2.94367508
-114.694468,0.627932338,-0.174411361,-0.018459046,0.369462978,-2.676640787,-0.125786134,-1.262655695,white,female,0.049862861
47.32664127,0.99910939,1.816659155,-0.084899773,-2.333561348,-0.47477164,0.84222252,-0.867082283,white,male,-0.247633066
82.91576998,1.385540226,-0.645061184,2.496360712,-0.576905096,-0.825382757,0.007894772,0.87222131,black,female,0.846902454
-190.7659682,0.781182699,-1.27367138,-0.765196165,-0.285292248,-1.943895413,1.09804258,0.277532205,white,male,-1.130672171
59.6774401,0.133644045,-0.39451239,0.848208065,0.247789764,0.827618463,0.414062055,1.238307405,black,female,-0.499231242
40.00747923,1.784222528,0.048492629,0.670069437,-0.681627972,-0.397235162,0.973459423,-0.458852278,white,male,0.812151235
-145.6060798,0.393990493,-0.399809789,0.163297267,-1.648245166,-1.528173013,2.256401692,0.176609615,white,male,-1.567819169
-122.7247123,-1.042496726,0.578356734,0.442630051,-0.711110775,0.287773685,0.558114757,-0.947004482,black,male,-1.167242109
18.76097912,-1.287569529,-0.306475812,-0.201804621,-1.085339244,-0.427529504,0.565319646,0.299322879,white,male,1.115088077
-5.016108376,-0.651413067,1.412123232,0.29516595,-0.031082845,-0.82430164,-0.531394297,-0.823236643,black,male,-1.254696835
456.5148432,1.445911086,3.020535417,-1.227759756,0.288604412,0.581059964,-1.330579456,0.541632205,white,male,1.751194263
-63.51774721,-0.024582866,-0.224304025,0.095782213,-1.546284213,-1.569307213,-1.062830317,-0.247637782,black,female,0.268237131
194.8215148,0.206965618,1.137813686,-0.824778851,0.510207309,-0.04380623,-0.416783601,-0.484706516,black,female,0.874951079
227.4028908,1.444099398,1.180832613,-0.600522266,-0.573228096,-0.052673663,-1.160922951,-0.699124773,black,female,1.716245789
-70.66571853,1.136098988,-1.718559633,-0.040911695,2.020725199,1.373172047,0.2293684,-0.300068814,black,male,1.362428943
41.54304186,0.885514022,1.265801662,-0.361860183,-1.057492409,-0.192952681,-0.744507385,-1.150128199,white,male,-0.441109037
-59.87244438,-0.804361174,-1.06452928,-0.52377055,0.824833937,0.232552405,0.782244271,-1.029938867,black,female,1.782827196
-163.7432562,-1.388699338,-1.208009191,-0.855719806,-0.501665089,0.932390433,-0.739109423,-1.956654387,white,female,0.871228752
59.87914536,0.035185249,1.501931603,-0.714378431,-1.047885262,-0.60160957,0.460733619,0.967675962,black,female,-1.881803326
-57.80376013,-1.245525726,-0.440395162,2.255956044,1.492872108,0.345827972,1.569836531,-0.542835552,black,male,-0.143853441
-126.1591042,-0.737010066,-0.207355473,-1.031856181,-1.479827563,0.287588638,1.97297185,-0.918495871,white,male,-0.885056554
-106.227533,-0.573188753,0.145835662,0.869235133,-1.786594887,-0.072642302,-1.598705149,-1.445139837,black,female,-0.209413257
46.66241231,1.409100654,1.158011847,-0.652751585,1.176125383,-1.407601224,0.406243643,-0.499382035,white,female,-0.42709735
-205.0670146,0.807641379,-1.017578709,-0.603926472,0.821513341,0.418288162,0.313259479,-0.941775485,black,male,-0.637217453
-163.4320931,-0.669689239,0.491872024,-1.110684226,1.137145525,-0.455451939,0.331114123,-1.315955401,white,female,-1.619774818
-40.1370912,-0.187816504,0.168094991,-1.168754673,1.933849733,-2.395352161,2.28836109,0.342830397,white,female,-0.902120882
77.09485665,-0.207513966,-1.143720907,0.155672305,1.5229947,-0.430929218,-1.233019737,1.289517264,black,male,1.873647202
176.5796111,-0.645263006,0.39728256,-0.166450698,0.62890457,1.321008193,-0.710165905,1.116536933,black,female,0.752723809
111.8249892,0.656802115,0.020203077,1.091533768,1.482404203,-1.638564982,-0.500956071,-0.609996988,black,male,2.150515232
-219.8394853,0.449132523,-1.107065089,1.183792429,0.796212085,0.249647278,0.46148561,-0.895804635,white,female,-0.185431166
38.42587968,0.258765378,0.964614953,-1.872437677,0.51849481,-0.145758689,0.698028768,-0.184744192,white,male,-0.460677219
190.6963634,0.712435917,0.67367104,0.496754299,0.147139679,0.495585856,-0.109923971,1.057958872,white,male,0.179379079
-133.7425337,1.032607855,-0.687027247,0.454964371,1.85496794,1.311235395,0.408559144,-2.088556112,black,female,0.974175433
-19.4612272,0.747720937,0.621714051,-1.609589535,-1.274499293,-0.130548778,0.163098267,-1.769681632,white,male,0.669535033
169.4533199,-0.543129056,0.600616201,-1.025026685,-0.206910157,-0.267764999,-0.255533814,0.342940693,black,male,1.218597614
45.99758367,-1.000033587,0.915308305,-0.222519437,-2.603678329,-0.261565553,-0.163907185,-0.17018163,white,male,0.551532257
63.0965024,-1.109014459,0.816038568,0.641031535,0.231472497,0.658571106,-0.321100367,-0.860204885,black,female,0.291399674
72.72152751,-0.460807549,-0.248734766,-0.580566529,-1.609265147,0.847099751,-1.206121462,2.395554315,black,male,-0.85088804
-78.45495771,-0.869788417,0.419255233,0.952408337,-0.581036964,1.064137631,-0.172629502,-0.916280765,white,female,-0.773104514
213.0500904,-0.000693967,1.880360345,0.339253521,-0.740693656,-1.701789553,0.96954338,-0.077595966,white,female,0.202692014
145.8399898,0.150214246,0.188498429,0.703412707,-0.382351261,-0.872627569,-0.089001359,1.243998133,white,male,0.535223099
-108.7566187,0.083383239,-0.129691765,0.365294295,0.891699349,-1.218109159,-0.002130277,0.630965906,black,male,-1.23555081
145.6085542,-0.143210059,1.153203218,0.790490923,0.05697016,0.915929436,-0.812668643,1.061600975,white,female,-0.495379334
128.4061628,-1.107422047,1.524520254,-0.627846283,0.429700079,1.934473085,0.81124762,-0.189395424,white,male,0.280028442
-119.2993495,1.593386851,-0.072468551,0.605921839,-0.567495665,0.16834084,-1.436648716,-0.551911199,white,male,-1.538884401
120.6446789,-0.156987824,1.608326222,1.679714145,1.277792218,-0.116034947,-1.639819709,-0.619155449,white,male,0.081573925
-98.13791331,0.040142559,0.18730876,-1.645020446,-1.164290439,-1.146314576,2.422315052,-0.989120532,black,female,-0.76336046
6.001083518,-0.225525958,-0.431743123,0.08015462,-1.223607683,2.181646914,0.629586584,-0.133291805,white,male,0.17171528
49.59646626,-0.438886459,-0.429715943,0.691071083,-0.187065549,0.58428643,-0.841085713,0.009902889,white,male,1.47079772
-115.0093444,1.257534655,-1.618320596,0.514553683,-0.615498307,-0.191730392,1.011213406,-0.358855788,black,female,0.49749902
92.65619716,-0.086178424,0.09096054,-1.378523922,-1.808961378,-0.624044816,-1.841318961,0.191716328,white,male,1.127725334
95.30225473,0.748900284,0.539463506,0.76132288,-1.620008646,0.769410888,-1.883782624,-0.209514417,white,male,0.968439893
34.75844006,-1.757665674,-0.090997366,0.032191508,-0.976041114,0.125197242,0.444473307,-0.082982684,black,female,0.202093342
255.938695,-1.21581102,0.173534928,1.201258903,0.640295663,-0.138178326,-0.734535834,0.591432095,white,female,2.240735349
-261.8345245,-0.706004074,-1.159807624,1.398911609,0.894910247,-0.581156321,0.961858439,-0.990681751,white,male,-0.868914912
189.0008323,-0.956285077,0.610850927,-0.924115389,0.188768752,-1.587286406,-0.532527081,1.21628545,black,male,1.082729199
114.6531723,3.451727063,-0.05259888,-0.625435616,1.602643592,1.053454978,0.987765558,-0.548562093,black,male,1.25424421
-268.9313671,2.298819556,-2.009406009,-0.425454069,0.273311991,0.175290252,-0.914460134,-1.609298366,black,female,-0.444386824
-129.4621871,1.891548651,0.392046887,0.124604933,-0.024286483,-0.175805163,-0.680265488,0.004538456,white,male,-1.944328448
-22.84167637,0.441735112,-0.654220584,1.497296211,0.660656955,-1.78345099,-0.39809141,-0.063034573,white,female,0.443084813
-150.5147152,-1.369939409,0.205935476,1.506195419,0.52102877,0.03249335,0.158309918,-0.369213122,white,female,-1.555840528
-80.28883961,0.623931318,0.143364901,1.146780477,0.643208793,0.535812745,0.813825307,-2.181678497,black,male,0.645806786
-50.69222945,-0.24865925,-0.832959639,-0.527791278,-0.569564763,0.817715691,0.202669148,0.863943437,white,female,-0.41077672
17.46938597,-1.053157783,-0.841559029,-0.797749882,-0.782505431,0.512908085,-0.236517384,-0.767298947,white,female,1.764841726
138.7192381,0.602819664,0.942067576,1.623549339,1.56276515,0.254183428,-0.035702635,0.103368885,white,male,0.568023799
-104.425732,-0.582599228,-0.6872045,-1.71951645,1.107083041,-0.787021711,-0.474242066,1.260003112,black,female,-1.439532476
87.25428463,-0.336327853,-0.178581134,-0.512949541,-0.210274266,-1.556034941,1.06420848,0.352725578,white,male,1.192549927
155.0838049,2.248857682,-0.473526387,2.155048062,0.45321224,-0.019325094,-1.586589096,0.3759077,black,male,1.274868273
-64.25743914,-0.355506405,1.054068151,-0.217074653,-0.770517483,-0.125008469,-1.249154889,-1.203672906,black,male,-0.637232104
-23.39965546,-0.71686389,-1.104808801,0.290064398,-0.199874915,-1.26215045,0.027410013,1.282738729,white,female,0.332709247
41.28887736,0.608651293,0.431758809,-0.365470117,-1.13672242,0.000726576,-1.652357726,0.702298928,white,female,-0.143463032
36.46766466,1.055656922,-0.790507583,-0.505730525,-0.910828198,0.432106609,-1.352865613,0.033222269,white,female,1.486550927
-200.0092466,0.892829277,-0.357893685,-0.416503932,0.966914657,0.953946014,0.312596291,-1.169329595,white,female,-0.602303471
35.82269279,0.091193496,0.315615895,-1.363883687,-1.467923894,-0.718598437,1.172385004,0.035014095,white,female,-0.340201132
-202.7063005,0.276919892,-0.388459614,-1.344252069,-1.039943993,-0.536627866,-1.388317709,-0.82745743,black,female,-2.299052937
-21.6058466,0.518348781,-0.921590397,0.431177858,1.498084848,1.516181249,0.466513683,0.735030471,white,female,-0.20618805
