A,B,C,D,E,F,G,H,I,J,Response
60.0573712,-1.309233484,0.042534346,-0.210295426,0.005547813,0.338459301,0.669103708,0.107972987,yes,apple,0.625834042
140.9785219,-0.692535348,0.662650691,0.597223305,1.528923073,-0.07265672,-0.541860074,-0.529064108,yes,orange,0.266113277
157.7536571,-0.086735213,-0.330496975,0.002030951,1.056700049,-1.519126965,-1.256925253,-1.833350335,yes,orange,0.395335383
145.1521467,-0.55757506,0.647649908,-0.172073963,0.993687095,-0.09211478,-2.287860452,-1.331805833,no,apple,-0.397614985
68.14044562,0.28415066,-0.951957585,-1.306673853,0.563105877,0.141551795,1.055686847,0.959446413,yes,orange,0.860631995
15.05440078,0.30570108,1.419648742,0.589116886,-0.178929267,0.56951958,-0.319059266,0.043523483,no,orange,-1.353338864
-37.64480068,-1.030615187,-0.040359905,0.351865978,-0.222108271,-0.560924398,1.287138037,-0.081822106,no,apple,-1.039911781
-26.35316941,0.672105396,-0.34167705,-1.039162561,-1.252729108,-0.075533691,-0.679284233,0.36989673,yes,apple,0.362313567
-49.799116,1.814918114,0.923100727,-1.698995964,-0.395307181,-0.583211324,-0.828931959,0.950910775,yes,apple,-0.575135355
-140.8492831,0.7913001,-1.647622029,-1.587306843,-1.631576673,-0.582151288,0.956205766,-0.025552814,yes,apple,0.66577764
-41.70351855,-0.455269671,-1.646601174,0.552348268,0.088240186,0.219253395,-0.047932178,1.532658504,yes,orange,0.680129867
-56.88277755,0.78851191,-1.047501312,0.383809394,-0.161916393,0.501070988,0.069308456,0.754808052,yes,orange,0.645636149
57.82162984,-0.448189151,-1.825714645,2.495527406,0.135129803,-0.150150689,0.538899059,-0.784753182,no,orange,1.250323367
119.1379733,0.830734804,-0.337474383,0.271710771,0.307371441,0.809510874,-1.030798965,-0.13625554,yes,orange,1.050548201
-183.108193,1.142889212,-0.651042951,0.987391254,0.193416794,-0.192888142,-1.818742374,-0.077279858,yes,orange,-0.74975751
93.63961522,-0.145163824,-1.198413144,-0.067164283,-0.397826933,-0.237569256,0.56100772,-0.022822377,yes,orange,1.449715494
143.5361426,-0.66843303,0.569801213,-0.865657542,0.253900631,0.593014152,0.797025977,-1.00731334,yes,orange,0.588008583
55.84477565,-0.892140346,1.378402999,0.498993901,1.42510927,-0.086213525,-0.737387034,-1.617907344,yes,apple,-1.304109541
-356.9499584,-0.442387363,-0.086069556,0.747088933,-2.349123289,1.49550979,1.425096674,0.619050736,yes,orange,-2.540267981
-192.2604478,-1.236948469,-1.790881025,-0.487645784,0.351813803,0.383054225,1.453737318,-1.587477433,yes,apple,-0.219608433
124.5056784,1.717536216,2.244798005,-2.067652961,-2.071227317,0.679813079,0.131429815,0.852651523,yes,apple,1.31049886
-47.21249125,1.629297364,-0.836676949,0.783096677,-0.035892022,-1.034615815,0.511668769,0.811019999,yes,orange,-0.290273404
195.8213159,-0.592842386,0.787908391,0.674508869,0.61264886,0.535756096,-0.983018551,1.487558003,yes,orange,0.244741315
211.4263204,-0.949259368,1.924639638,-0.762474722,0.599907512,-1.447561732,0.38429844,-0.870475175,yes,apple,0.210999659
1.426642162,-1.719673541,-0.619094077,-2.526329217,1.346560646,-0.395594292,0.888056782,-0.789271702,no,apple,-0.941245514
50.65004594,2.712113833,-1.193347259,0.436513033,0.925918384,0.548680107,-1.344267023,0.694630454,yes,apple,1.019584447
173.3945331,-0.181799301,1.337819036,0.828397049,-1.276402127,-0.372375898,0.171373128,-1.603041142,no,orange,1.093344018
47.71519477,-0.607668509,-0.459703433,-0.535745448,-0.896876045,1.898813373,-1.310481409,-0.971873945,no,apple,0.699956894
-79.68793741,0.369221449,0.765437823,0.028224271,0.660411785,-0.231194667,0.009349893,-0.489454702,yes,orange,-1.956154364
-167.3703858,0.846346517,-1.906691908,0.250957494,0.484127042,0.86246153,-1.158883484,-0.85671546,yes,apple,-0.603130254
100.7432466,1.814018348,-1.660786253,-1.150091827,-0.453993551,1.639549259,-0.462422799,0.558083073,no,orange,1.66837555
2.633354636,-0.003464876,-0.320504169,0.45205025,-0.225320344,2.123767351,0.62806689,-0.734479901,yes,apple,-0.330091627
154.8651218,0.174517162,-0.300933117,0.728964353,-0.739746289,0.464712281,-0.060158063,-1.137723412,yes,orange,1.119316064
10.47746017,-0.638967666,-0.8321198,-0.196939132,-0.950698621,0.093809867,-1.325043496,0.099492256,yes,orange,0.636352242
147.5411042,0.163505916,0.199618707,-1.229901295,0.491943175,0.103915433,0.365027756,-0.241659814,no,apple,0.646650135
-72.90532151,1.598528841,-0.360391613,1.851112797,1.097057719,1.674890539,-0.646404608,0.127081026,yes,apple,0.189449116
-23.32995662,-1.455339519,1.026897954,1.215837578,0.241431911,-0.891861349,-0.367662541,-0.29340573,yes,apple,-1.488977216
-36.37229096,-0.486784942,-0.74424236,0.489694365,0.851956608,0.769513718,1.196435747,0.532185607,yes,orange,0.838763227
151.3612874,0.288600155,0.227002417,1.509239318,1.148069678,-0.009202794,0.581587021,1.14732321,no,apple,0.451991605
-37.35313587,0.441004895,0.042776853,-1.394946377,0.711857966,-0.936505253,-0.230649662,1.956971827,yes,apple,-0.168341154
-72.82670832,0.229997183,0.222440178,-1.856228143,-0.398849981,0.619611682,0.53027738,-0.130113235,no,apple,-0.967843379
-221.5219735,0.160498186,-0.538876904,0.272678227,-0.704468316,1.274323169,1.050680644,-0.961692668,no,orange,-1.820916473
-134.4381193,-0.558951408,-1.941909631,-0.187386494,0.202475555,-0.58496857,0.297663724,0.176062101,yes,orange,-0.386656805
97.53923452,-0.349906059,0.457045116,0.578289043,0.856418344,0.877306721,1.038714847,-0.256940952,no,orange,-0.852912949
20.99940411,0.57677049,0.367217971,-0.978336095,-0.801090612,-0.53136966,1.479694361,-0.788790892,no,orange,0.677359294
-84.64245196,-1.714478519,-0.905241422,-0.494723478,1.336944837,-0.84848658,0.535769609,0.361763192,yes,orange,0.337987527
-116.9587603,1.069575441,0.114460636,-0.670558438,-0.612198026,-0.887417052,-1.728115984,1.288420543,no,apple,-1.282884873
117.9806115,0.729978045,1.507787996,0.340748773,-0.647668752,0.051160272,-0.448991871,0.92498582,no,apple,0.402814346
231.7116374,-0.871240652,0.201518423,-0.307037451,0.295659455,-0.36729554,-0.761550796,-0.049076034,yes,apple,1.324815699
-93.504768,0.097282063,-0.454567973,-0.159610247,-1.499102045,0.058151464,-1.314041577,-0.574537231,yes,orange,-0.319587889
-5.002015947,0.127136205,0.731226632,1.311268177,0.477475946,-0.95849308,1.265125901,1.095390521,yes,apple,-0.363317653
-190.6709331,0.818514777,-0.652180579,-2.073074185,-0.79174616,0.917412282,-2.230982311,-0.036056367,yes,apple,-0.029249493
38.24631453,0.81637823,0.855222191,-0.374674374,-0.43580732,1.444536906,-0.543266161,0.226244697,yes,apple,0.437817677
30.79311113,-0.19201597,1.327029192,-0.552774487,-1.707995794,-0.700009663,0.877625152,0.064968815,yes,orange,0.069019847
7.471477029,-2.008264226,1.407526266,0.65173922,-0.424906477,-0.457789705,1.000427104,-1.374852545,yes,orange,-0.873141534
-70.64191178,-0.69032749,1.044840492,0.004121066,0.292456466,-1.242280768,0.089585918,-0.20467737,yes,orange,-0.783325672
127.4633487,-0.919010764,0.571991698,0.11702215,-0.111475534,-0.240627311,-0.442606481,1.944109538,yes,orange,0.888668111
-94.92807055,-0.512046379,-0.666782668,0.298346061,-1.067790503,-1.717467051,1.126875116,-0.905542432,yes,orange,0.127575636
