A,B,C,D,E,F,G,H,I,J,Response
-76.2928295,-0.401718879,0.837617272,-1.029616935,-0.395567093,-1.362213736,0.526422525,-0.64316696,high,black,0.774780148
66.53863083,2.075631478,0.132838805,-0.805299795,-1.729334186,-1.323200143,0.734970335,0.147697758,high,black,-0.31092568
43.41641682,-1.427711854,-0.296179049,1.44381308,2.061753767,0.039602398,1.101356455,1.814036236,high,white,2.095954951
-88.92570182,-0.749549408,1.759300691,-0.842465159,-0.531200948,-0.071414356,-0.874828967,-0.779412685,low,white,0.702950779
53.59601152,0.061227424,0.665587083,-0.570986467,0.69811817,0.658042815,-0.1902977,0.838751669,high,black,-0.402114374
-160.9835164,-1.898902278,-1.58647976,-0.271074755,1.692846808,-0.168886212,-1.083778399,1.235612807,high,black,-1.044753272
-136.422717,1.346534444,-1.091305948,-0.203803932,0.237484183,-2.282780904,-0.906117545,-0.472899468,high,black,-0.460063751
-18.23328313,-1.63932991,-0.792287817,0.454204811,-2.030032862,1.491719918,1.011023682,-1.739916395,high,black,-1.479627031
-97.10725738,-0.311957188,0.83668898,1.976735282,1.872495749,-0.725673584,-1.075153709,0.299877565,high,black,0.133843549
-72.32121114,-1.810495699,0.745383712,0.113728142,1.097217206,-0.610772484,0.972535397,0.180271688,low,black,0.433319365
-63.25147656,-0.84905662,-1.412692585,-1.225475431,0.766176456,-0.127619099,0.270636232,-0.383843237,high,black,-0.481055253
-102.1713481,-1.286676194,-2.372405913,0.439995015,-0.181981799,0.217770298,0.298868523,-1.190351227,high,white,-0.316445193
25.82359311,-1.063624691,1.754715534,1.077255956,-0.193507343,-0.145556412,0.847333837,1.306168172,high,black,0.134815052
-5.910489013,-0.253379131,0.959766736,-0.079051525,0.271971371,0.39901429,-0.613062588,-0.636067858,low,white,1.91437598
-29.27198982,-1.536573507,-0.260381814,0.295479152,0.127389326,0.658894936,-0.003803209,0.503500573,low,black,-0.108016824
178.1629387,0.121401568,0.008324896,-2.447780056,0.706365463,1.505279652,1.109468639,1.682900485,high,black,-0.822271083
-143.129821,-0.015812678,0.006361195,-0.031911054,1.547485972,-1.798698115,-0.316305902,0.065523461,high,black,-2.100564584
-144.6501715,-0.890913207,0.526688127,-0.387891713,-0.070211278,-0.25906212,-1.450445407,-0.708974002,high,black,-0.416181693
128.4904355,0.916223744,0.346777364,-0.025400525,0.845303293,-0.467179008,1.521064908,0.582790709,high,black,0.212002709
-83.6933599,-0.648510093,-1.50665093,-0.796388577,-0.282089626,-0.022003415,-0.298189318,-0.097109274,low,white,-0.902195356
