A,B,C,D,E,F,G,H,I,J,Response
28.64684355,0.419450472,0.358986103,0.892456793,-2.11315852,-0.447929959,-0.296419278,0.723533068,yes,apple,0.658024916
-31.71375667,-0.52794422,-0.910510885,0.839615189,-0.894442803,1.812090047,-0.639283384,0.959430543,yes,orange,-0.577247328
369.9894096,1.115939614,0.283007218,-0.438245675,-1.251965946,0.470983855,0.900833639,-1.045467265,no,orange,2.610259382
49.74693106,0.798160295,-0.708469287,-0.129720541,2.035782248,0.254452938,-0.466352367,0.385980127,yes,apple,0.406414445
-27.28453441,0.646469813,-0.801778342,-0.159769535,0.513331303,-2.039853985,-0.497781458,0.246724132,no,apple,0.233249919
175.4740149,0.518718798,0.53402266,0.652851532,-0.268274572,-0.51666765,1.307614299,0.315625097,yes,apple,0.246593141
-54.15988051,1.510394561,0.107218828,0.789839896,-0.881247858,0.938749454,-1.679338473,-0.405058758,yes,orange,-0.258704511
195.2429668,1.102317423,1.532476125,-1.153200338,1.35970625,0.539097565,0.560529549,0.044992576,yes,orange,1.834554305
21.53668037,-0.767800348,1.084612722,-0.531046403,0.61473999,-0.26705995,-1.599792148,0.179591042,yes,orange,1.266694558
-98.78462108,-1.362885724,-0.25872196,-0.94054686,0.924761446,-0.392436562,-0.818452835,-1.213954789,no,apple,0.026908327
-107.8631886,-0.586609938,-0.281363787,-0.385875325,-0.518440066,1.392440786,0.542664027,2.04054688,yes,orange,-1.385859013
82.81952677,0.481558943,-0.838251888,0.922958176,-0.7957058,0.053084611,-0.137131555,0.379224433,no,apple,0.666528567
-86.72102517,0.562755541,-0.086846585,-0.436891923,-0.919125726,-0.380844757,0.243520425,0.752383438,yes,orange,-0.898029501
12.3203744,-1.25941506,-1.796021505,0.886553752,-1.465042704,-1.060336973,-1.321527289,1.067648271,yes,orange,2.665519608
-34.92754769,-0.677013819,0.371146521,0.571904094,1.004598666,-0.684994726,-0.076457321,0.435790467,yes,apple,0.64028079
176.7074069,0.137207829,0.827989104,0.825772154,1.296472992,-0.207309342,-0.160810753,1.593452558,yes,apple,2.308615536
157.9612448,-0.629896624,-0.174476914,-2.033676229,0.450364485,-0.146438304,0.49835042,0.060528593,yes,orange,1.440351716
152.5843042,1.493510949,0.126872436,-2.271207777,0.511541325,-1.788857488,-0.214254298,0.488363736,yes,orange,0.905472402
-25.9240302,-1.179736058,0.332679035,-1.362116948,0.624247399,0.235888075,-1.499547025,-0.497360651,yes,apple,1.248920757
60.0652705,-1.119129424,-0.898145363,0.410577398,-0.873943654,-0.841033384,-0.087672292,-0.126864236,yes,orange,1.240834251
-47.85702448,0.112663268,0.154017726,0.006178608,-2.176980506,0.077954322,-0.653856072,-0.098576437,yes,apple,-0.013477359
126.4657263,0.535108649,1.945724664,-1.971196144,0.400270156,0.008047829,0.727292889,0.735656217,yes,orange,0.488844525
21.64830342,-1.025725113,-0.561886924,-0.587461972,1.212501231,0.696345689,-0.114318272,-1.719042986,yes,orange,0.167530961
-51.70904228,0.146488734,0.317068038,0.402917714,0.251673783,-0.687611037,-1.526064871,-0.162823825,yes,orange,0.446832634
-150.5490862,0.033837675,-0.921645823,0.340217391,0.57766984,-0.48378939,-1.132435576,0.367924913,no,orange,-1.490674959
