A,B,C,D,E,F,G,H,I,J,Response
51.90708621,-1.486930019,-0.183098377,-0.814956549,0.351887476,0.448216107,0.326666757,1.472348176,high,black,0.074375926
-184.7956606,1.073295775,2.138604455,0.896798918,0.294659449,1.19592785,0.352593328,-0.587792627,high,black,-1.319068568
-182.4689342,-0.465671863,0.761691825,-0.063665623,0.290834257,0.712157879,-0.275496227,-1.45029859,high,black,-1.368552479
38.92456813,1.155333105,0.433091162,1.351538687,1.175317658,0.372993444,-0.380805182,-0.525875612,high,black,0.518439244
23.79662912,1.342780108,1.165204448,0.753417278,0.793614894,1.426647588,0.371812975,2.269312265,high,black,-1.23313415
159.944778,0.916221209,0.564377954,1.669524735,1.600895946,0.876582901,0.687754106,-0.633431315,high,black,2.115162758
-226.0184849,-0.089187281,-0.799592143,1.096749595,0.482134008,0.711252839,-0.134044943,0.088753832,high,black,-0.854451647
-165.8841165,-0.814671861,-0.261321686,-0.591324595,-2.638787245,0.547885011,-1.814518461,-0.692236889,high,black,0.67260314
-65.29758789,2.225528461,-0.762257907,0.543760917,1.003545335,-0.027442168,0.011096311,-0.993071873,high,black,-1.035260185
-53.65129418,0.616987924,-1.148283449,-0.960389324,1.926008288,-0.308697377,-0.118030963,0.380807357,high,black,-0.607968202
138.4671049,2.293006059,-1.391352726,-0.099914464,0.236859675,-0.550114731,-0.007806129,0.211075639,high,black,0.762386449
222.2875722,-0.348647741,0.739347361,0.086301546,0.839525249,0.780909124,-0.045508175,0.720258559,low,white,1.998934275
56.35769187,-0.796807702,-0.269494031,0.50729764,0.411434135,-0.387393105,0.898633696,-2.280853489,high,black,0.937188452
-45.07823556,2.068701044,0.565906375,-1.667155417,-0.309087843,0.105025303,-1.65375965,-1.072906399,high,black,-0.723917004
-10.49274525,0.450267186,1.818472065,0.417156304,-1.041314931,2.636183148,-0.997280224,0.355023991,high,black,0.515547325
132.7119099,-0.00623164,1.207658398,1.127707108,-0.602554407,-1.365422437,1.910474043,0.216732663,high,black,0.361033904
246.6444427,1.381332237,1.055765431,2.300311381,-0.386259658,0.05800304,-0.654684359,-0.547666594,high,white,1.886978557
-110.0248121,-0.994694278,0.906784289,0.309710798,0.290322205,-1.155883842,-0.742479213,1.013543615,low,black,0.282448225
-99.21414665,0.622099154,-0.645203937,1.165083568,0.010625363,-0.605837408,-2.126939893,1.33053896,high,black,-0.329665182
-59.60103379,-0.68443905,-0.640941449,-0.895028511,0.546349473,-0.182426182,0.201793617,-0.717775412,high,black,-0.439643872
27.57231517,-1.488091417,0.673494495,-2.700854772,-1.243367973,0.044676162,0.538114338,-0.450848592,high,white,-0.304232689
-124.827241,0.79074409,0.095959154,-1.856191887,-0.593877541,-0.747897103,-1.61729182,0.537417854,high,black,0.222303472
-3.988133338,-0.245742078,-0.344928109,-1.000735468,0.842177721,-0.056955026,0.522177011,-1.044842651,high,black,-0.365380614
97.96452547,-0.049388019,0.622303034,0.899093574,0.634845657,-0.372413064,1.520459201,-0.330464982,low,black,1.446538503
-189.4664334,0.09303241,-1.36385481,-0.174047231,0.338951662,0.041441272,-1.628601849,0.602235014,high,black,-1.238743301
137.0448078,-1.553621969,0.413071788,0.431986966,1.365901088,-1.2723667,0.159215285,0.881875187,high,black,1.237251612
10.75723015,0.912223959,-0.09561722,0.994648213,-1.542633851,-0.373971973,-0.348595786,0.081366015,high,black,-0.530927576
159.2849666,1.925685455,-0.76614413,-0.041907023,-0.861112929,0.603585287,-0.520146068,-0.606686846,high,white,0.763309169
-23.03977907,0.527499093,-0.353547728,0.544492324,-0.054453187,1.361753063,0.022114321,0.391829381,high,black,0.309063393
95.85113845,1.307157329,0.158455697,1.284688116,1.174252998,0.085341803,0.474550686,0.037312541,high,white,-0.785601772
272.9522969,-1.134574362,-0.55932037,-0.470577112,0.153306246,-0.462832047,0.955756835,-0.900600532,low,white,2.663984158
-87.35665445,-0.491033036,1.245658007,-0.385924189,-0.451615405,0.225031285,1.075824595,1.156765845,low,black,-1.199311501
-102.1638282,-0.94274861,-0.644763656,-1.280581951,-0.375035591,-1.668282918,0.074830274,1.650460906,high,black,-1.329282477
-352.5970071,-0.868344242,0.178440085,0.352806379,0.498494637,0.822416563,-0.257981783,-1.002417334,high,black,-2.38598106
11.06786214,-1.150131923,-0.33832645,0.492314922,0.189012879,-2.001061281,-0.228673296,1.25297117,high,black,0.323802379
93.24190332,2.425130995,-0.373931209,-0.323301423,1.409784501,0.317249006,1.087366742,-0.663317484,high,black,1.210310014
-73.48276594,-1.410700278,0.813629488,-0.594736122,-0.13576122,1.278948782,0.540048768,-0.950489917,high,black,1.13931769
-117.5053599,0.598988117,0.17015002,-1.153358669,0.211396535,-1.334844188,-0.597432725,-0.18867803,low,black,-2.021633124
36.43468147,0.232971967,-0.720027121,-0.288675123,-0.314091898,0.313687273,-1.276879774,0.810601093,high,white,-0.505990741
80.64822584,0.29982975,1.347407289,-0.877969974,-0.631017146,0.551918312,0.078989476,-0.318105175,high,white,0.189401025
