A,B,C,D,E,F,G,H,I,J,Response
28.39692459,0.717872756,1.213940254,-1.52346917,-0.186669573,0.141802654,-0.758572891,0.792222886,no,orange,-0.286574415
41.41844664,-0.282462455,-1.283904649,-0.224552135,-0.3928966,0.73079182,1.1127873,-0.785652628,yes,apple,0.871747592
18.17104888,-0.359533318,-0.486279975,0.78762549,-0.02508537,0.357432793,0.092150179,0.281141206,yes,apple,0.771773265
-69.31635518,-1.343834529,0.821316907,-0.710264953,0.231325065,0.721385386,0.187253891,-0.639053516,yes,apple,-1.284167686
-85.78521054,-0.359442833,-2.464684798,-1.975453208,0.540827214,-0.137812386,0.188393869,-0.527040991,yes,apple,-0.508795128
-8.77971109,0.024266885,1.197829664,0.996745471,-1.243979191,0.307094134,-0.448627737,-1.173361992,yes,apple,-0.25270862
57.1253358,0.830166564,0.984944975,-1.053334396,-0.43176808,-0.623528607,-0.748944824,-1.398882515,yes,orange,0.992789099
-133.1907639,-0.727355609,0.953467557,-0.011650838,-0.069617645,-1.047045197,0.150050054,0.191659357,yes,orange,-1.66970149
-21.85605094,0.366327197,-0.26006691,-0.535997876,-2.05986228,0.495730424,1.185612872,0.06617908,yes,orange,-0.07089181
-1.924635646,-1.01817169,0.053197433,0.783075104,-0.344288172,2.088276548,-0.162731682,-1.591336549,yes,orange,-0.993952839
268.9080673,1.668283835,-2.161417291,0.803633365,2.951848301,0.434222555,0.254676395,0.801199077,yes,orange,0.572282295
71.87699429,1.610124391,-0.038167697,1.002737981,-0.849768109,-1.007437978,-1.673298536,-0.073708235,yes,orange,0.878137148
40.47545185,-1.075622304,-0.133677284,0.121887706,0.75193738,0.950880541,-1.873534763,-0.522293099,yes,apple,0.349732046
33.46472028,0.617751219,0.883908024,0.50914478,-1.324831802,-0.041270763,-0.00889373,-0.651242221,no,orange,0.859367235
-14.07818749,0.804950149,0.117861928,-0.115751749,1.520439248,-0.871996042,-0.259027957,-0.288602341,yes,orange,-1.902282623
-111.6190102,-1.035048336,0.261199138,-0.284417365,-1.323825281,-1.217685494,0.176101025,-0.802746462,no,apple,1.602136864
233.0254155,0.68621773,3.020133646,1.03621917,1.87763647,-0.762503923,-0.786313624,1.827618494,yes,orange,1.376812469
160.2256497,1.080648807,-0.046088186,-0.871942992,0.252460758,1.115104123,1.131467474,-0.33435495,yes,orange,0.638850585
35.95248011,-0.102214611,0.05131313,-0.632199406,-0.222074194,1.637410818,0.391591172,1.271301259,yes,apple,-0.773151644
27.53944802,0.442775113,0.317489925,-0.838835724,-0.813817467,0.534199471,0.696072965,0.788310776,yes,orange,0.068753808
34.37254509,0.852774175,-2.028652842,-0.457447318,1.434518823,-0.107896785,0.119088203,0.289547776,yes,orange,-1.10864464
59.04433125,1.476087991,-0.56324375,0.321647568,0.815370481,-0.603594778,0.228992925,1.461811806,yes,apple,-0.979851968
66.14253458,1.617867102,-0.866642172,1.114865008,-0.472292991,-0.396675784,-0.524273371,-0.465111212,yes,orange,0.475154488
103.6635152,2.381397825,-0.465244992,0.481671556,-0.608843957,0.273758356,1.249043156,-1.240022997,yes,apple,-0.463032602
-133.5937912,-0.574774344,0.90273171,1.002094954,-1.889962873,-0.785710859,0.879465663,0.604146743,no,orange,-0.836541678
-1.417169402,-0.693534387,1.125188874,-0.210805002,1.530184254,-0.537858591,0.690830195,0.74825943,yes,orange,0.169371312
-32.85395206,-0.432268051,1.978905598,-1.987193847,-1.452443338,0.19704983,1.166708714,0.265275739,yes,orange,0.182197224
-75.516847,0.456497991,-1.52743892,0.36129446,1.393334839,-1.714758851,0.200411134,-1.453437501,yes,orange,-1.038255132
7.761420508,0.864341865,-0.668092916,0.839547277,-1.255808879,0.260615001,-2.640365756,-0.874872525,yes,apple,-0.407242709
-121.5611709,0.206500115,0.264098172,-1.212052905,-1.883040454,-1.095352025,-0.736332513,0.172930196,yes,orange,0.677119731
16.90686829,0.062953869,0.726074517,0.36331125,1.606145571,-0.517555408,1.536480045,1.751671855,yes,orange,-0.814400911
-142.7693102,-1.267756648,-1.851685631,-1.041021335,3.029907028,-2.085914405,0.534338034,-0.414256389,no,apple,-0.775595808
182.5825955,1.644381217,-1.163943087,-1.413050229,0.39243186,0.073910496,-0.672588751,-0.58311261,yes,apple,1.482067723
-72.02844792,1.200687511,0.933130677,1.668108849,-0.321117176,-1.658715025,-1.618271032,0.821732127,yes,orange,-1.077201658
35.19729755,-0.053400412,0.217139982,1.608315801,0.795289676,-0.793583814,0.772430457,-0.403491076,yes,apple,0.717931886
-151.4120188,-0.31067807,1.614212009,0.31620746,0.259795529,-2.218878202,1.235816703,0.688789629,yes,apple,-1.020506096
32.96743344,-0.002372986,-0.801746745,-0.955077879,1.114854511,0.732103041,1.298479818,-0.052202924,yes,orange,-0.82744731
-29.76996516,-0.35367639,-0.071581652,0.86472738,0.028816757,0.470114574,0.0841568,-0.269392779,yes,apple,-0.928272517
94.65138065,0.448027015,-0.342626342,-0.378919833,1.495019797,0.826065142,2.873291113,-2.115038418,yes,apple,-0.061804855
-76.47810671,0.663388712,-1.444023419,2.029540844,-3.207102567,1.208136254,-0.675999808,-0.16360904,yes,orange,-0.805108573
42.21606959,-0.336589953,-0.117518425,-0.062496848,2.701758409,0.086717014,-1.823092843,-0.503383189,yes,orange,-1.351323981
40.50608357,-0.140446431,-0.573484621,1.714062054,0.204479262,1.179235683,0.101099375,1.357450316,no,orange,-0.373023615
232.6905295,0.909944357,-1.12045817,2.243294988,1.078641842,1.986036231,-1.717669313,0.615014406,no,apple,0.371055924
-17.14850264,-0.200902921,1.042860916,-0.764211775,-2.685532167,0.549458087,-1.515400133,-1.356485796,no,orange,1.020697612
-136.9540283,-0.392883467,-1.174691235,0.563882123,-1.580575507,-0.275757308,0.932849164,0.844341992,yes,apple,-0.276222078
120.2681381,1.204028116,0.445683126,-1.489328744,1.438065592,0.0165455,-0.779907052,-1.064840893,yes,orange,-0.61934886
155.3389417,1.174868052,1.011938396,-0.615489209,0.495132487,-0.457674244,-0.042892764,0.403179747,yes,apple,1.604282421
