A,B,C,D,E,F,G,H,I,J,Response
15.86268733,-0.266935365,-0.004759045,0.751345635,-0.487761425,-0.757835636,0.220073142,0.300606599,low,black,1.040473661
-221.8519266,-0.704556697,-1.392320779,-0.206477286,0.39961756,1.468214825,-0.97996165,0.360472726,high,black,0.072462595
-47.08867829,0.740512548,0.835225802,0.089228755,-1.976581485,1.093445544,-0.668623253,-1.279051796,high,black,-0.297800067
117.4459734,0.032198093,0.524908307,-0.319052441,0.696471036,-0.948292027,0.353252026,1.394610288,high,white,-0.264735699
-9.527212569,-0.426503081,-0.372802364,-0.6196689,1.769507651,-0.309759523,0.050570951,-0.781439675,high,black,1.03358068
-235.2241906,2.122278434,-1.136651503,0.985267127,-0.902244737,-0.061964355,-1.301595613,-0.463732599,high,black,0.486878964
4.428041623,-0.072064014,0.915438241,-0.626872145,0.439594521,-0.984734378,-0.444887377,0.76731185,high,black,-0.396866957
-116.9732567,-0.117167803,-0.94209939,0.478407516,1.459907298,0.811570048,-0.064032492,-0.540721611,high,black,-1.833651143
91.76955134,-0.855088855,1.748760555,-0.029938185,-1.018966809,-0.794753255,-0.481551031,-0.360451282,low,white,1.047793158
65.65515505,-1.335531103,-1.203936044,-0.503306711,0.565716311,1.444427798,1.533188697,2.085778533,high,white,-0.414484756
50.20713643,-1.677596472,0.009258867,-1.557690429,-0.120720626,0.842665911,0.079070153,0.477639424,low,black,0.789485022
158.442301,-1.715954913,0.437104499,-0.766889999,-0.950340898,0.02566381,1.047625116,1.023768272,high,white,1.322523708
-15.54793975,0.793734943,0.151148219,-0.688369031,0.190905855,-0.337482532,-0.105197646,1.149900699,high,white,0.459221631
115.6302094,-2.235158932,-0.640666573,0.177174446,1.956195319,-1.007221449,1.011227393,0.486057755,high,black,0.841595762
14.95620401,1.334447343,0.042764443,-0.568076083,1.610893996,-0.272795757,-0.155323858,0.551284756,low,white,-0.565582387
-228.7788901,0.524684593,-0.228616999,0.738819677,-0.726582174,2.042433846,-1.801117218,-1.756583732,high,black,-0.284499614
94.59158708,-1.64551259,1.654112206,-2.214901777,-0.854812053,-2.150693606,0.321246204,-1.503395538,low,black,-0.694343823
-87.16699322,-0.607316619,1.681481342,-0.721148582,1.656576024,-0.45805206,-1.98946148,-1.397475968,low,white,-0.062348107
-48.89813484,-0.017162034,-0.067400605,-0.414845773,0.598678535,-0.334152886,-0.295666594,-1.223076854,high,black,-0.585232469
-25.8401204,0.531731356,0.317945424,0.760339128,-0.781398115,-0.129272081,0.157767438,0.852885989,high,black,-0.830092672
-110.6000789,-0.648016682,-0.488152165,0.484089564,-2.995984637,-1.871389737,-0.311816752,1.168115357,high,black,-0.575580189
-141.9439496,-1.782252818,-0.935435661,-0.461863625,0.229924045,0.98811394,-0.835916774,-1.261139363,high,black,0.272928544
-166.6028102,-0.821918699,-1.433618885,0.668614248,0.779250725,0.528576835,-0.947591518,-0.5209375,high,black,1.161847095
-39.39553482,1.358969195,0.540352385,1.697644124,1.943884866,-0.570682465,-0.309879635,-1.19337372,high,black,-1.598411221
-3.050919207,-0.219197188,-1.546261077,1.132209329,0.842821879,-1.21371502,0.448781972,0.666479929,high,white,0.439718434
42.43657646,0.918553051,0.502476064,-0.199604475,0.042935217,-0.292696575,0.332511197,0.414634715,high,black,-0.079630704
57.10187201,0.837573087,1.067910978,0.905764755,1.376163664,0.581814094,-0.882462816,-0.610293218,high,black,0.429217914
79.52127615,-0.554404702,-0.131623851,0.371652262,-0.140577248,-1.204098778,0.845979275,0.08523987,high,black,-0.150906854
-90.43267507,0.29369843,-0.293478644,-0.331779449,-0.23483624,1.255324359,-0.184546951,0.978403038,high,white,-0.049613356
47.50174398,1.011093727,-0.29091304,0.284842974,-1.408493633,-2.046508359,0.348855116,0.802948139,low,black,0.347909729
-165.0076655,-0.217151864,0.115788266,-0.313216722,-0.462398842,0.030259401,-1.462798617,0.212629491,low,black,0.603467436
-183.6930809,-0.930924698,-0.05532677,-2.449595021,0.024654214,-0.128991713,-0.597553522,-0.373498861,high,black,-1.704000053
194.2249209,-0.682913992,0.144118644,-0.924988573,0.126515688,0.556296197,1.059777197,0.180888449,high,black,1.069038251
77.8245041,-0.641618155,-0.234526683,-1.539131883,1.170304438,-1.485834545,0.415481922,0.621087649,high,black,0.635022223
14.79765469,0.028945241,0.986460854,-1.118375885,-0.946768947,0.54881748,-0.005580962,0.495733182,low,black,-1.077157854
70.31117649,-0.304553123,0.704372903,-1.77748672,-1.228399144,-0.863783393,-0.191256609,0.137474595,high,black,1.180772393
18.39257473,-0.085193246,2.069887489,-0.653932242,2.201620734,-0.977821788,-1.506232071,0.316029431,high,white,-0.067502636
-11.23896869,-0.360776035,-0.813525519,-0.640784871,-1.169240594,-0.12510538,0.621160256,0.212811152,high,black,-0.204204703
231.9602219,-1.30362111,1.80492609,-0.533944347,-0.646255013,1.651732031,0.385197933,0.048559392,low,black,1.529779643
-67.52460832,0.586112313,1.552095146,-1.038079643,0.910278691,-0.900177379,-1.863186182,-0.628863674,high,black,-0.539709467
202.0303099,-0.407671592,1.257606682,-1.267021915,1.317195505,-1.22526573,0.211802006,-1.485455005,high,black,1.709971559
-19.41998211,0.084339285,0.518541133,-0.150449239,0.408144647,-1.229032873,-0.50253461,0.357731416,low,black,-0.131118726
-9.038841211,-0.966795485,-0.611931779,2.435234826,-1.024778332,0.692847155,0.463514037,1.059193126,high,black,-0.485018659
61.80458819,0.014102901,1.187981628,-0.413688375,-1.476953421,0.825394199,0.054932198,0.305287707,high,black,-0.218569512
104.3697173,0.518120492,1.088169435,0.842674019,-0.243844765,0.453551234,0.137842215,1.970512533,low,white,-1.155573855
108.2292451,-0.406334856,0.491827797,1.754795421,-0.972865627,1.758274853,-0.235240684,1.88856191,high,black,1.546607154
48.75952526,-0.195122098,0.322510166,0.338802022,1.162963898,-0.764331295,1.383629325,0.651744732,low,black,-2.734882909
-101.3688727,0.37114719,-0.151310879,0.920756821,0.263508943,0.119037214,-0.329988034,2.428870143,high,black,-1.712123465
-50.52684293,-1.375579063,-0.277382914,1.034533136,-0.242609557,-0.988239835,-0.097708147,-0.467183091,high,white,-0.324548766
-123.3759093,-1.191793184,-0.273665435,0.28057502,-0.638905817,-0.69380527,-0.282257065,1.110035957,high,black,-0.50957207
1.8808684,0.561159972,0.043926606,-0.502516571,-1.327144664,0.227947313,0.034578794,-0.605200902,high,black,0.75258607
163.6891833,1.025367457,0.888892742,-1.335712394,-1.091825574,0.550854357,0.212272913,-1.032331977,high,black,2.288725134
-11.32059256,1.565118437,-0.411476454,-0.566523987,-1.104141202,-1.62489743,1.04686643,0.580743323,high,black,-0.890725969
-213.0916872,1.363823702,-0.344538076,0.008592565,-1.184061598,-0.136711646,-2.22642259,2.665020841,high,black,0.353909167
2.317221892,0.260726123,-1.384413492,1.076003512,-0.311622376,2.121468046,0.379546695,2.298242863,high,black,0.021415426
-66.40248167,0.985182684,-0.59164403,-0.31044797,0.822877866,-0.09696846,0.238271731,0.89037387,high,black,-0.6578261
68.26607915,-0.029085915,1.746576813,0.211801336,-0.404782001,0.136721487,-0.400134074,-0.137969221,high,black,-1.660207979
155.4539325,-0.358629804,1.659370837,0.782072688,-0.706099566,-0.376467568,0.779033986,-0.461451744,high,black,-1.058804863
-44.93574606,-0.272074577,0.973795494,0.687137762,-0.114516303,-1.205679856,-0.959744376,0.510546797,low,black,0.349272987
-18.45258638,0.767669801,-0.662006043,-1.150830913,-0.536517186,-0.912149876,0.622976362,0.41314582,high,black,-0.666467857
-105.3465066,-1.644960673,-0.575018477,0.027457618,0.380482138,0.046334135,0.061310295,-0.949912551,high,black,-0.723377707
71.38000491,1.034963935,0.361830809,-1.632204348,0.217860925,0.159122912,-0.380533953,-0.803291171,high,black,0.854236748
-23.26849623,-1.579811375,-1.260579186,-0.083808589,0.038288828,-0.969499312,0.440794185,-2.160859218,high,black,1.070578486
