A,B,C,D,E,F,G,H,I,J,Response
-54.09493888,-0.034010817,-1.543910901,2.613623638,-1.747166524,1.467335799,0.020653588,0.629225293,no,apple,0.23355188
58.95425992,-0.285711078,0.875894674,-1.194696819,1.562007752,-1.226688856,-1.203353956,1.698045938,no,apple,0.350809863
89.96663429,0.426953663,0.743078517,-0.938935998,0.649231065,-1.744128794,-0.526273302,0.538105855,no,apple,1.216946524
-39.07471445,0.191806946,0.253345235,1.5145004,-1.501418551,-2.075291145,-0.48462564,-1.3770853,no,apple,1.21367149
52.17762739,1.33292528,-1.132554102,0.006428947,0.75435445,-0.700740137,2.348167696,-1.053772067,yes,apple,-1.26440882
-56.76655776,-1.044912111,-0.403843635,-0.955216841,-0.176721321,0.221153158,0.056916657,-1.145894929,yes,apple,-0.364582572
121.4624739,-0.524400921,-0.082177717,1.506596918,1.176437173,-0.29926283,0.825873438,-0.817581819,yes,apple,-0.308118899
-260.3336183,1.129893281,-0.658712535,0.772730597,-0.133794561,0.423566716,-0.609394232,0.38642264,yes,apple,-2.018184959
130.8581075,1.50027726,0.219321216,-1.4617253,1.261792406,-0.554089445,0.372201157,0.137371076,yes,apple,0.912866683
131.7285747,1.794746934,0.059351811,-0.656171943,-0.616923467,1.193463897,1.449652095,0.130779267,no,apple,0.799861725
214.19088,-0.666020949,1.780613444,1.036740315,1.096155112,-0.753225389,0.053707462,-0.507413048,no,apple,1.802682374
76.97307087,0.008725479,-2.032309472,0.303570366,0.559926682,0.508956348,0.360963059,-0.979191168,no,apple,0.725001594
148.9772283,-0.772403534,-0.290013088,-0.22995641,-0.126916196,-1.529223704,1.224703575,-0.119938686,no,orange,0.430549146
67.98828668,0.556824418,-0.264932393,-0.46461909,-1.03671884,-0.771086979,1.383574846,0.155176753,no,apple,0.249548064
-198.4532407,0.702019243,-0.456624784,-1.531009064,-2.040204665,-0.962399944,-1.286585103,-0.053242958,no,apple,-0.501497876
30.9702814,0.155429408,-0.091026153,-0.116589875,-0.003185199,0.945358845,0.476683883,-0.384993875,no,apple,0.04916145
-241.2966578,-0.373432385,-1.121884731,0.094179794,-0.935897246,-1.034833389,-2.28489949,-1.158848976,no,apple,-0.678517766
-144.5777753,1.149474302,1.199308629,0.455259013,0.210513502,1.587024595,-1.494215134,0.51726806,no,apple,-0.979208197
144.9065006,-0.933802868,1.133911062,-0.872028113,0.158929556,2.009011185,1.26365865,1.139798141,yes,orange,1.349238544
178.2638921,0.61879319,-1.075820207,-1.312830449,2.471039607,0.005159226,-0.431688626,0.938845259,yes,apple,1.049593624
136.8553339,-1.058911027,-0.397252956,0.976172417,1.343488502,-0.813690731,0.015612365,-0.410737891,no,apple,0.223317213
125.7801923,-1.465016724,1.522551704,0.580732181,-0.025985503,-1.460517533,0.951395983,1.527511927,no,apple,-0.330078911
-43.3693236,-1.01151527,1.479946195,-0.583139033,1.334752442,-0.619742221,-0.238624723,0.072664246,yes,apple,-0.583083992
-144.6629712,-0.010717609,-0.019419862,-1.65726761,-1.423862161,-0.740785492,-0.454264736,-0.278839135,yes,apple,0.265044937
-41.60708901,1.345492458,0.708058118,1.267019932,0.852249134,1.937252798,-1.016800127,1.237104758,yes,apple,0.000789261
-64.7679648,-3.003657273,-0.798287876,-0.534575071,-1.063109011,1.676792143,-0.302566739,-0.088317176,no,apple,0.038215901
71.53385796,2.867613878,-0.050719007,1.253930852,1.696800818,-0.034433506,-0.476573798,-0.370346424,no,apple,-0.495166312
-26.10167075,-0.723501772,-0.397005619,-0.47430402,-1.927629547,-0.434687594,-0.215019888,-0.725828467,no,apple,1.453493777
-200.885063,-0.636877882,0.579880743,0.971934981,0.182101192,-0.093376213,-0.805155801,0.48846084,yes,apple,-1.578356995
121.9593524,0.644082091,0.78932991,0.45408106,0.298355611,0.046642896,-0.114742547,0.385061874,yes,apple,1.334554503
33.48049043,-1.823162543,-1.09304934,-0.877383072,-0.076253543,0.521417149,0.254633876,0.120621706,no,orange,-0.171477765
186.4763098,0.231810467,-1.713902018,0.711724004,-0.08784616,1.008023311,1.489324242,0.603253826,no,apple,0.567491285
-53.84542511,0.903484676,-0.378161746,-0.396510589,0.465756053,0.455702916,-1.095425126,0.296225643,no,apple,-0.209633506
-8.841265592,1.01533061,-1.838619027,-1.146565708,-0.212959546,-0.148512736,-0.532110504,1.104725187,no,apple,0.856592611
37.7595964,1.360074231,0.215462245,-0.53978135,1.579674259,1.771758516,-0.163287276,-2.404483735,no,orange,-0.596507774
141.6948214,0.400320313,-0.727194986,0.710887147,0.932552976,-1.794334971,1.346595972,-0.255224531,yes,apple,0.027073169
107.0804588,0.477266185,-0.159078584,0.818977741,-0.380673899,1.770844577,1.403364355,-0.275421348,no,apple,-0.121263177
-68.28071784,-1.075646674,0.964558203,0.578234098,-1.562322385,0.354623306,0.533188411,-2.301048695,no,orange,-0.328158369
19.84439604,-0.334081238,-0.797731871,-0.809086763,-1.485410131,-2.775345957,1.701224172,0.518260512,no,apple,-0.183252574
-36.44364012,0.711089369,-0.263785058,0.410828857,0.891717837,-1.355766826,-0.993813122,1.059721377,no,orange,0.247489858
29.71546645,-0.755745749,0.856695867,0.069294086,1.660480332,-0.026009176,-0.464884287,0.360381733,no,orange,-0.712316039
29.20894868,1.218626047,0.480017136,-1.803595242,0.659148544,1.784012763,-0.959776105,0.048015404,no,orange,0.266412336
-13.26559712,-2.052199529,0.072486366,-0.151161537,-1.568447282,1.642713093,0.552686956,-1.926107824,no,apple,0.088296974
21.41064169,-0.221541132,0.072441689,0.508723388,0.403533999,-0.779284763,0.710881151,-0.807624781,yes,apple,-0.349599856
-116.4287748,0.224757466,-0.528279196,-1.291115607,0.29520397,1.779591491,-1.120789508,0.507125601,yes,apple,-0.621320935
-113.225105,-0.062042719,0.865421927,-0.681017323,1.022786701,-0.064147448,-2.57242062,-0.489015877,no,apple,0.245791993
51.67568407,0.633753187,1.269088197,-0.354867645,0.15697948,0.006019802,0.082690646,0.240305581,no,apple,-0.128404451
100.1147905,0.084069807,0.102285235,1.372015741,0.271915958,0.149523964,-0.491817077,1.658130187,no,apple,1.113116189
-98.75586644,0.849706205,-0.648582585,0.369872954,-1.358711444,-0.275343453,-1.063524143,1.296155446,no,apple,0.847331787
351.2240629,-1.891732824,1.122482388,-0.496851658,1.039058657,0.985175252,2.47285449,0.500805595,no,apple,1.902040676
