A,B,C,D,E,F,G,H,I,J,Response
-271.506446,-0.561862563,0.200417862,-0.753665829,0.756058994,-0.43348244,-0.270372709,1.034684452,low,black,-0.368925632
-104.4022709,-0.526952576,-0.247195789,0.24747322,-0.047537383,-1.503685222,0.165341122,0.66019288,high,black,0.611193984
17.04471274,-2.352483024,0.096279635,0.623864231,-0.864667419,-0.005563019,0.453372583,1.349929682,high,black,-0.185293019
-25.48418465,1.526519223,-0.80891703,1.108952049,-0.656904058,-1.717681041,-1.052603301,0.236916506,low,black,1.891734038
-14.99089845,-0.541450893,0.402303552,-1.245911056,-0.722784934,-0.020756626,0.651431608,-0.309074262,high,white,-0.111076328
-183.6382447,1.109487941,0.449533267,1.20544878,-0.337413771,-1.024487348,-1.483743689,0.518412839,low,black,-0.003801112
-86.93313519,0.577697496,1.277873324,0.5892765,1.380292086,-1.879569897,-0.994306995,-2.518221764,high,black,0.03933555
-297.3663974,-0.500482416,0.647954967,-0.970477379,0.445303383,-0.233557666,-1.023600505,0.371874548,high,black,-1.749831876
147.4138109,1.372135032,-0.962311148,-0.032211595,0.707185986,1.40787348,-0.071651998,-0.474938045,high,black,-1.563021733
-124.3491746,-2.703153413,1.165316413,0.877299248,-0.755897295,1.602549064,0.798104198,-0.440116103,low,black,-0.230399013
-154.7503005,-1.314175184,0.286568263,-0.12430733,1.297964661,1.68897936,-0.48553032,-0.315506199,high,white,-2.538268717
53.27971761,0.271355231,-0.378089523,-0.649010171,-0.812968097,0.028451045,-0.066594616,0.373953719,high,black,-0.14473665
-563.2702158,-2.159596166,-1.066428432,-0.297782947,0.206521274,-0.407910691,-1.231290779,0.682316651,,black,0.444223082
-174.6537587,0.265343993,-1.327236502,1.123038384,-1.029619324,-0.817862723,-0.551223761,-2.38153437,low,black,0.535246356
173.2635619,0.968547154,-0.957878683,-0.454731396,-0.73478822,0.968673969,1.346078858,0.833561778,high,black,-1.059166051
-9.509193641,0.239645562,0.697347471,-0.201596278,-1.69083278,-2.425667045,0.143888573,1.545947998,high,black,0.250327408
-226.8656434,-0.329260975,0.344233875,0.160230217,-0.408375766,0.862362658,-1.620711921,0.168337602,low,black,-0.652712156
-51.44401767,0.752512804,-0.019947399,0.01651371,-1.089806492,-1.591103737,0.333707339,1.168793049,low,white,0.294267516
119.2183939,-0.772409907,-0.330578961,-0.305889994,-0.802620154,0.860361259,-0.048118218,-1.751206134,high,black,1.127506356
-154.5121178,1.531367732,-0.29036162,1.197371934,0.290010748,-1.845644904,-0.575979477,-1.663266455,low,white,0.931108083
150.9766901,1.041964485,0.571542169,-0.333415379,-0.293818979,1.066188343,0.217492459,-0.047591925,high,black,-1.293921378
410.9653,2.224521614,-0.018583466,-0.619927011,0.037449796,-1.877229024,1.702908526,-0.348952962,high,black,1.804322729
