A,B,C,D,E,F,G,H,I,J,Response
13.82777088,1.05614016,0.505004197,-0.543195437,-0.02717171,0.59407404,0.386825004,1.037362774,white,female,-0.946528623
-179.0482266,-1.573779852,-0.2107977,-1.65809366,-0.566986858,0.938666019,1.759362501,0.878231817,black,female,-0.849783087
189.7057176,-0.509388902,0.077753818,0.490481968,-0.044521379,-0.404193537,0.078310673,-0.218869184,white,female,1.950548932
24.78768277,0.866400337,0.894108575,1.477050185,-0.560025557,-0.556510556,-0.039470668,1.168200905,black,male,0.846599682
-110.5784097,1.688741767,1.892391908,-0.662046232,-1.409103173,-0.698001644,0.44482136,1.386955624,white,male,-1.558558348
-15.56077353,1.878839651,-0.772243847,-0.00942884,0.127388013,-0.087934257,-0.821346273,-0.222162925,black,female,-0.462382376
181.3403408,-1.161549603,0.670851546,-0.812416571,1.038643571,-0.006742769,0.0213974,0.703007845,black,male,1.677912259
-72.65655173,1.497261765,0.04723826,-1.08736596,-1.09598073,1.731374811,-2.487879355,0.829161519,black,female,-0.078149996
98.65180222,-0.608984875,1.768421017,-0.097145966,2.121511794,0.354248227,0.286578992,1.689618997,white,female,-0.529608178
73.25214042,0.693050996,1.788356599,1.078447397,-0.108823306,-1.222539375,-2.09300962,-0.757285441,white,female,-0.340106455
-170.0904992,-0.23484933,0.752282103,2.309022373,0.903242948,2.075009096,2.341281347,-0.621324403,black,male,-1.086879184
150.2691927,0.023900339,-0.106575293,0.735501557,0.598995672,-0.164603949,-0.393451327,-1.195462134,black,male,1.689204895
-106.6595075,-0.242424552,0.518711938,-0.571357217,-0.490122674,1.308385319,1.271229593,1.656222885,white,male,-0.847172835
140.2700661,0.798276722,0.988266969,-0.75593443,0.122839524,-0.301537838,-0.056563331,0.268472293,white,female,0.878867377
157.3722426,1.092542017,0.465147411,0.456524323,0.051794325,-0.54711547,1.562995128,0.769885852,white,female,0.735852012
15.48101221,-0.760198346,-0.214280328,-0.094114117,0.976362577,1.309477428,-0.263735995,1.315837715,white,female,-0.658009
