B,C,D,E,F,G,H,I,J,Response
-99.95995932,0.478332636,1.935816019,1.375921899,1.086778612,-1.139844518,-0.643923486,medium,no,-1.067526928
-178.2552512,0.035549636,0.603948712,-1.981188743,-0.203789998,-0.563303066,-0.452285132,low,no,1.268761916
-49.52632762,1.053070032,-0.706438131,0.0863179,1.442522899,-0.090692954,-0.273353831,medium,no,-1.22054956
-170.8745274,-0.933942074,-0.528930152,-0.880197937,0.312980759,-1.77314004,0.585615289,low,no,-0.309294336
44.33208147,-0.643027662,1.235232265,0.760697208,-0.751035192,0.466034543,-0.753979348,high,no,-0.211146399
-23.54910998,-0.226897399,0.641592632,-1.118303906,-1.322181916,0.682009179,0.297466273,medium,yes,-0.986385975
-59.58775101,0.276860643,-0.385841776,1.029024985,1.246687085,1.569566642,0.880831423,low,no,-0.179912437
-99.03575169,0.608241116,0.740899594,-0.315847682,-0.164296937,0.003442222,0.679536159,low,no,-0.021552692
2.887035173,-0.020608031,1.104869611,-0.289671888,-0.573809627,1.279408375,-0.452492288,low,yes,1.469014933
52.34192474,-0.924052424,1.186554016,-0.163222264,-2.072001003,-0.626026127,1.102004026,medium,no,-0.459828054
86.801524,-0.263506465,-1.247728257,-0.774988128,2.176064189,-1.445270853,0.579914704,medium,no,0.867427745
114.6889253,-0.205037112,0.639066979,-0.052454111,-0.348160261,0.602001707,0.225688013,high,yes,0.346352535
-225.6770821,-0.598731885,-1.004848927,0.151713103,0.737058104,0.613423641,-3.126292748,medium,no,-1.245728271
173.8949334,-0.200187019,0.858198045,-0.410361284,0.911857224,0.165657663,-0.383817281,high,yes,0.538696713
-138.5635979,-1.249854689,1.148973169,-1.446284706,-0.206846294,0.237367775,-0.473325641,medium,yes,-0.938543023
64.21654442,-1.481683087,1.697283733,-0.638913183,0.963249973,-0.304995412,-0.288384993,high,no,0.016296131
-127.2865837,0.49301394,-0.366047289,0.397888805,-1.316322466,-0.32940906,0.002809855,low,yes,-0.723124217
-109.0361655,-1.079751763,0.478389422,0.15774568,0.083434941,-0.172721281,-2.461072311,low,yes,0.635429208
89.98382909,0.380369855,0.364513047,0.252680694,-0.082460828,-1.010472205,1.767382084,medium,yes,0.129708819
142.9943445,0.494334928,-0.248029703,-0.29556962,-1.723236809,1.041582652,0.43405299,high,yes,1.0738424
-108.7627745,1.220499755,-1.255790345,0.018301868,-0.469611707,-0.008487087,-1.168584168,low,no,0.224494442
-128.1324779,1.319649193,-0.634258956,-0.514376432,-0.407422338,-1.850058081,-0.514932882,medium,no,-1.573269719
-63.41916607,-0.798546907,-0.475361396,-0.82681372,-0.010392609,-0.255575629,-1.542645093,medium,yes,0.994258177
118.3947641,0.30751659,0.697142472,-0.065711975,-1.088445691,0.403573883,1.703486062,high,no,-0.258721524
171.8672622,-0.06715211,-0.116549221,-1.32176713,0.44418197,0.527924724,-0.023063629,high,yes,1.205054487
210.599131,-1.473150317,-0.512630072,0.139663153,0.175391664,0.170943943,0.486609893,high,no,0.595280941
229.2081151,-0.587649538,-0.722056838,-0.175927581,-0.231031011,-1.00175387,0.657940324,high,yes,0.529526397
-60.2346172,-0.590418196,1.374984698,1.323591513,-0.266761323,-2.477818736,-1.651122512,medium,no,0.20728954
-36.07660498,1.850651296,0.650709235,-0.61964976,0.17042756,1.510712757,1.194098737,medium,yes,-0.688307537
16.27537577,0.240579446,-0.980762945,-0.717252415,-0.356155005,-1.142279218,0.03066428,high,no,-2.182706158
33.02439473,0.169450053,-0.618007072,-0.062413195,1.821524045,0.343205661,0.514785762,medium,yes,-0.286482558
68.86373439,0.951813404,-0.339331872,0.892434686,1.418262865,-0.130500321,-0.4222014,medium,yes,0.360501749
-37.37006826,-0.730897897,2.449770402,-0.462006547,0.017884925,-1.313575334,-0.146228057,medium,no,-0.26253881
-55.2298432,-1.171239633,0.122898605,-0.554158738,1.016184425,0.964127154,1.400379104,low,yes,0.239270619
-112.093992,0.020426466,-0.148511012,0.796545332,-0.375298823,0.896739448,-0.455836204,low,yes,0.166430957
79.28613937,-1.143656041,0.828799414,1.972183303,-0.502319242,0.156799341,-0.004087261,high,yes,-1.178464916
-167.6160283,0.234796189,-0.356029732,-0.0442166,-1.33127416,-0.512650659,-0.350674128,low,yes,-1.249762875
30.49412666,-1.152848832,-1.624876257,0.277186259,-0.206686916,0.030631625,0.761260182,medium,yes,0.753300376
-167.2615568,2.142367917,0.148344155,-0.121156402,-0.422690646,-0.288558304,-1.423081205,low,no,-0.147890622
49.58502786,-1.090029606,0.314532032,-0.091217017,-0.469567167,-1.273156774,0.367930453,medium,yes,1.281633667
17.99784292,-1.581489673,-0.391978569,-0.075077335,0.393628113,-0.177971224,0.98980504,high,yes,-1.186568276
221.8550019,0.083170436,1.12648705,1.166278812,-1.00789741,-0.44056809,2.557029315,high,yes,-1.013552202
21.40137446,0.961899235,1.782693223,-0.789161898,0.369230638,0.69891743,0.0726662,high,yes,-1.078001723
-53.08247664,0.676176312,-0.170486764,-0.22108011,-2.029992152,-1.363706068,1.060354913,low,yes,0.529002021
-209.0036968,-0.479405179,2.082595506,-2.39636344,1.54586278,-0.297445821,-1.987481914,medium,no,-1.256785088
