A,B,C,D,E,F,G,H,I,J,Response
-134.9760332,-0.264084666,-0.649010229,1.639651164,-0.568196336,0.279073977,-1.265975845,-0.244799295,white,male,0.506038617
205.2325451,-0.859188703,1.676598075,0.373996516,-0.724262945,0.788558527,0.787068872,1.002690358,white,male,0.17466827
130.3100291,0.520804129,0.125435247,1.615171929,1.26387364,-0.368013564,0.516781206,1.08927262,white,male,0.740084008
-252.1828309,-2.636880572,-2.075094929,-0.120244235,-1.690361142,-1.081647457,-0.122058733,-0.600282553,black,male,-0.17612319
59.58859108,-0.301988253,-2.030372482,-0.394746305,1.895516347,2.35277522,-0.741372749,0.231211548,black,female,0.019465351
21.90910626,0.636693919,0.823749761,-0.462766898,0.55906129,2.021685597,-1.229888873,0.336641293,black,male,-0.417895171
-7.00674418,1.862479457,-1.312651724,0.489834311,-0.780902398,0.174528757,0.67179559,1.071429006,black,male,-0.513188636
-49.66172016,-0.551063402,0.671423333,0.184542413,-1.593868534,-1.188182355,-0.042368142,0.094065215,white,male,0.309016128
-254.4233296,-0.399878835,-0.256903507,0.767293628,-0.631046731,0.546307987,0.215515048,-0.385433112,black,male,-0.904818143
-385.028973,0.442028212,-1.302210039,-0.014272284,0.563276681,-1.792440839,-0.957418693,-0.676894426,white,male,-1.156015514
131.6706991,0.824618449,-0.578206756,0.46888411,0.632260107,0.129160882,0.718089939,-1.194140897,black,female,1.347966284
130.6859848,-0.959910846,0.479973647,1.113968697,-1.923755132,-0.280553359,1.153162588,0.725585581,black,male,1.260504906
-18.23062619,-1.134342501,2.430582665,-0.143706081,-0.59249743,0.366655724,-0.095020859,-1.771218557,black,female,-0.183463281
114.811286,-2.333421534,1.425884375,0.178649672,0.410097642,-1.527234681,-0.447624827,1.219397624,white,male,1.588323482
104.8824917,1.052273636,0.119753037,0.861620009,-0.859598767,-0.267133678,-1.106636282,0.431983766,white,female,1.063690044
-27.44891626,-1.709845431,-1.284101727,-1.157257541,-1.100489748,0.848509079,0.8423456,-0.530537301,black,female,-0.164786046
-239.3883703,0.647428639,0.727176155,-1.595061552,-0.601836748,-0.265339785,-0.372194976,-0.943718175,white,male,-1.229996001
-77.76467068,0.524998552,0.502550636,-1.423598035,-0.839374792,-2.231933785,1.629809085,-1.497475391,white,female,1.044640072
