B,C,D,E,F,G,H,I,J,Response
-29.20764882,0.802809585,-0.404443621,-0.464365616,-0.671390918,-0.702501071,0.4540995,male,yes,0.954534325
225.6811049,0.808608538,-1.73485702,1.038850522,0.275225613,1.146680481,0.652279036,female,unknown,1.065012446
21.94919448,-0.685241335,0.073666904,0.465259278,0.758266263,-0.109415973,-0.706983764,male,yes,0.621590735
154.824046,-1.852028617,0.413648977,1.264917704,0.207495184,-0.921107052,0.539213084,female,no,0.612761353
36.90269069,0.2663192,0.825020776,-0.710887299,-0.401140229,0.674334006,0.962377897,female,unknown,-0.802350507
171.1945555,0.807057013,-0.434269844,2.100059474,-0.739722082,0.516828695,0.236563104,female,unknown,-0.237679404
78.13056271,0.223276971,-1.622984199,-0.680391091,0.860340634,0.026039101,1.687149321,female,unknown,-0.728216925
-118.6046802,-0.035927138,-1.249731424,-0.28757773,-0.294882978,1.266071334,-0.942278597,female,yes,0.447524614
123.8001434,0.083635096,0.818300546,1.542443251,0.876603702,1.409038735,1.634365853,female,unknown,-1.006703041
145.9002196,0.41765688,0.000789731,-0.087658497,1.214846674,0.719177733,1.24401883,female,unknown,-0.171028667
177.4668814,0.440640827,0.638014565,1.723529573,-1.292750446,0.206441172,1.583376242,male,unknown,-0.202101898
-6.410873217,1.245956093,-0.139867992,-0.227766077,1.022040648,0.095100442,-1.768568008,male,unknown,-1.784549884
46.79729724,1.544903397,0.233072482,-0.841914923,1.318973898,-0.916426034,-1.022047272,female,unknown,0.193157576
-121.3356147,0.817320394,-0.35004429,1.177444078,-0.270248773,-0.58048265,-1.535120708,male,yes,0.201891345
39.68481434,0.324355831,-1.120467957,-0.514897809,0.392264911,0.158306106,1.101708346,male,no,0.697110066
-121.8211853,0.302045303,0.408637687,-1.057453079,-0.724015127,0.325268808,-2.428687482,female,yes,0.825613851
-233.4522868,-2.632056702,1.469454964,-0.609916944,-1.412108724,1.404995125,-0.065447555,male,yes,0.062153133
-43.14617539,0.033014848,2.190570372,0.035121356,-0.05552598,0.301664187,0.242798108,female,yes,-0.605393509
-41.24042137,1.07391007,-0.286356736,0.571348621,0.562050723,-0.706556615,0.126949133,female,no,-1.34453016
-130.4024462,0.828396772,-1.443152067,-1.028284438,-0.068524057,0.511436149,-0.164172273,female,yes,0.268006321
-105.5856099,0.050235711,0.462575309,-1.816947114,0.32789659,0.296431365,-0.576735536,male,no,-0.374100135
