A,B,C,D,E,F,G,H,I,J,Response
-37.91096198,0.350545339,0.29455211,0.366119863,-0.57675158,-1.970309432,1.275513139,-1.899295314,black,male,-0.292024025
227.9816694,-0.717014706,0.46982835,-0.277302481,2.786344092,0.559933701,1.434859585,0.150811811,white,female,1.685652926
55.44485058,0.781359999,0.264976565,0.131646558,-0.643724407,0.31158565,0.900497145,1.113752584,white,female,-0.002806902
92.3963806,-0.20582459,0.812589646,-0.043972508,0.02571458,-1.381027522,1.616132236,0.639416475,black,female,1.082801339
215.6466974,-0.154528511,0.55274334,-1.195582799,0.542664271,-0.935838192,-0.972778858,-0.319110703,white,male,1.555308571
-66.3965802,1.610534252,-1.011185167,0.165812048,0.27779448,1.373380893,-0.320478318,-0.315980357,black,female,0.54505908
-108.117779,0.830407347,-0.642858285,-1.885085105,0.867435247,0.218265203,0.093356264,0.181788149,white,female,-0.630853776
146.971011,-0.174464234,0.141672567,0.345828418,0.545577498,-0.818878357,-0.278013763,-0.218973936,white,female,1.074489251
161.1728232,-0.041499633,1.721032516,0.328593678,-0.478657854,0.848963368,-0.181535008,-0.76771231,white,male,-0.555362521
-9.130008073,1.330463337,-0.094333939,2.719387781,1.322686296,-0.673861904,-0.606275433,-2.214267111,black,female,-0.633792947
117.2715155,-0.560657494,0.687655009,0.21316207,0.67712913,-0.192581532,-1.467264123,-0.895092331,black,male,1.558216818
13.77596066,-0.245478146,0.064446002,-0.394549387,0.827770272,0.44295302,0.887541198,-1.65140798,white,male,-0.617447471
-142.0486253,0.554826505,1.400192202,-1.306058536,-0.468344339,-0.672840325,-0.638066502,-0.265859922,black,male,-1.184747104
194.9948578,-0.283974389,0.292565309,1.649515668,0.261769685,1.457603327,-0.758755919,-0.200033468,white,female,-0.207452341
11.60419813,1.479932317,0.379654834,0.604321984,1.34372211,1.94009552,-1.416922529,-0.045464154,black,male,0.884394212
