B,C,D,E,F,G,H,I,J,Response
-43.80135848,-1.030047927,0.009099991,0.377553765,0.845944674,1.413140099,-1.517059557,female,no,-0.494995621
32.79942753,-0.442144502,-0.131587637,-2.195794178,1.116308941,1.336278067,-0.49866204,male,yes,0.469401915
-6.801725811,-1.600383512,-0.629916545,-0.308322121,1.653000984,-0.816952364,-0.512216874,male,unknown,0.174330989
-77.5354664,-0.626184552,-0.724030691,-1.000635051,0.575413653,0.554553311,0.050696206,male,unknown,-0.506334566
-187.57964,-0.024988403,-0.538822975,-0.229133648,-0.64001936,-2.244511935,-1.134769384,female,no,-0.865820054
-19.21744023,-0.396120154,-0.603823865,0.278263576,-1.03642085,1.147282291,-0.514937522,female,no,0.392027824
339.0962381,-1.685122666,1.614496241,-0.023899987,1.717392052,0.071675402,2.761195226,female,no,0.439383287
-53.34934096,-0.539962669,-0.754244892,-0.045734206,0.956930497,-0.840815554,0.817706674,female,no,-1.418904011
157.7601637,-0.51071364,-0.242660127,1.146100475,0.383887656,-0.738122331,0.82094727,female,yes,1.291630834
164.8133998,0.429207582,0.239635067,0.611131179,0.122704971,-0.552036181,0.60173409,female,yes,0.547539523
160.1711133,-0.027749278,1.476709777,-0.088380645,-1.320563953,0.064778637,-0.625629318,male,unknown,1.630442257
-178.6077964,-1.343372388,-1.80301701,-1.090342367,-1.164116739,-0.730002612,-0.611226699,male,yes,0.104227438
75.96914096,-0.320435947,1.35902463,-0.857197026,0.072911072,0.164621182,0.575776588,female,yes,-0.062772837
-40.53233316,-1.486300723,1.429201036,-0.797721742,0.740141772,0.655648758,-0.898281582,female,unknown,-1.266701865
16.91945056,-0.687037435,-1.496357782,-2.807349645,1.104054232,1.166888081,-0.393365293,male,no,1.25627392
82.30688047,0.19429515,0.8781232,0.588432297,-0.289513309,0.219687803,0.515803417,female,no,0.109595792
31.68690437,-1.853218078,-0.224945942,2.146369168,0.532298478,-1.452209982,-0.589982092,female,unknown,1.167828338
369.1068386,-0.331448147,0.619314793,-0.926316106,1.645111034,-0.368536406,2.165826307,female,yes,1.542684156
41.55920624,-1.408790186,1.651379788,1.880297785,1.568558068,0.211333335,-0.628535493,female,no,-0.177937449
-279.9889425,0.585138958,-0.46057671,-1.907926486,-1.612999139,-1.671602567,-1.896743176,female,unknown,-0.18511343
-41.38970452,1.122849824,-0.462825327,1.040448114,-1.242703676,-1.278958248,-0.250165121,female,no,0.856786357
32.25057718,0.102212426,1.550902268,-1.673517119,1.035447292,0.574990033,-0.965318286,female,yes,-0.542690961
43.30741606,1.291454655,-0.6496831,0.489765244,2.041722908,1.101750039,0.078944833,male,unknown,0.346899943
