A,B,C,D,E,F,G,H,I,J,Response
102.3126561,0.24690744,0.384603338,0.233626865,-0.320112155,0.788015163,1.168867635,0.798581801,black,male,0.982029175
29.97625224,-0.735358494,-1.679906988,1.085194127,-0.590679871,0.377101541,-1.276146588,0.824639077,black,male,0.794317508
9.106512173,-0.448717907,-0.395086156,1.077313123,-0.85818464,-1.157382785,-0.216919511,-1.229122295,white,male,0.588170974
-61.66497818,0.226900756,1.914104186,0.069900623,2.517981376,-0.342903688,-1.489281226,-0.209666286,black,female,-1.123578091
64.07065262,0.319366114,1.036513331,-0.337600706,-1.074179771,0.433284807,0.238079097,-0.137281053,black,male,0.536887319
17.27594099,-0.556270011,-0.779406851,0.082943059,0.177812303,0.826605634,0.462342159,1.107773583,black,male,-0.345437556
-99.92426891,-0.159826724,-1.024032018,-1.549474799,-2.062016282,-1.037152887,0.465062796,0.045431675,black,female,-0.249628677
85.10298238,-0.911920414,-0.313090729,-0.67642154,1.530926307,1.96129528,0.087212627,-1.275772951,white,female,0.315642128
-95.78409374,-0.215506491,-1.794630434,0.719418184,0.719139389,0.103350311,0.582086897,-0.148442627,black,female,-1.346991877
68.55939829,0.214037456,0.73506065,-0.304204804,0.716943071,-0.076213873,0.61189358,1.397956663,black,male,0.476519422
-71.11803938,0.789858866,2.034771801,-1.032931497,-0.475007578,-0.311661577,-1.824134253,0.533530351,black,female,0.189038923
57.20324204,-1.16859599,0.524797255,0.281769761,0.310023997,-0.534353365,1.055517481,1.089801184,black,female,0.26784892
-35.48571891,2.045517251,1.910852079,-0.051719038,0.407945699,-1.079209167,0.191728997,1.859807437,white,female,-0.06817422
-29.74463971,1.076487233,1.193844849,-0.515014149,-1.820006137,-0.199205375,0.400785906,-0.938644299,black,male,-0.713971616
-128.2560475,0.240893624,0.197110549,-0.984276245,-0.151187071,-1.576362235,-0.236258425,0.334072848,white,male,-0.482010577
25.53140812,0.102277698,-1.773190452,-1.084407858,1.972462263,-0.114511902,-0.359774146,1.112052091,black,female,0.534868785
-4.875625655,-1.058899003,0.785405127,0.523192898,0.229063921,-0.640014694,0.485953417,1.078317721,black,male,-0.226274715
-26.15475723,0.055059978,-0.808385082,-2.010547627,-1.57321833,-2.184253373,-1.779023446,-0.287458141,black,male,0.821455964
-73.39218824,1.410568894,-2.387935502,-1.020714769,1.087594431,0.865610299,-0.124514761,0.480952966,black,male,-0.371531375
-51.29775813,-0.602899871,0.131786988,0.169845482,0.34702858,0.115678368,-0.31129511,-0.248188425,white,female,0.047042576
16.11433353,0.093370864,0.078861945,-1.982678162,-1.694283177,-0.344922842,-0.671319884,1.704448643,black,female,1.128806513
78.28405442,2.134337854,-0.214112332,0.674104116,1.568167669,2.168762064,0.798608035,1.575490675,black,female,-0.136997369
-67.87364512,-0.25689164,-0.416579827,0.774043983,-1.557634232,0.099749881,1.30239434,-0.794053319,white,female,-0.991777158
174.9872191,-1.44465355,0.405693025,0.153843714,0.125402047,-0.103492842,-1.47640433,1.59865096,white,male,2.035169239
-2.810516662,-0.563137786,-0.176060838,-1.354876545,-0.385390872,-0.495857663,1.642921665,0.141958923,white,male,0.336888468
15.81891392,0.614368978,-1.154860049,0.017220479,-0.701161494,0.567407965,0.692917988,-1.766064884,white,male,0.113831813
78.79508893,1.590201356,1.880515269,0.587483821,0.040945836,-0.121960599,0.311129949,-0.480614092,white,male,0.730515286
82.16668968,0.686592878,-1.607349852,0.747192199,0.171073441,1.183899783,-1.624222342,0.28567214,white,female,0.71696519
-91.43941798,1.744775405,-1.21555993,1.119085191,-1.1717556,0.721028547,0.092086795,-1.036557675,white,female,-1.311484563
15.17985841,-1.290121361,1.473677547,0.033794426,-0.764001112,0.182736861,-0.815659902,0.291267794,black,female,-0.264026919
19.25994777,0.493458565,1.498069243,-0.427208269,0.128679964,1.052981046,-0.348298426,-0.516152239,black,male,0.333229157
135.0458341,-0.501267248,0.564509614,-0.169673048,2.284616328,-0.155313824,-1.236409642,0.982577168,white,male,1.676043889
17.14760727,1.925684573,0.791528294,0.786708212,2.031754292,-0.788827496,-0.489621372,0.58915313,black,female,0.926064558
-166.2009279,1.528237561,0.849965673,0.302028015,0.398864551,-0.214422074,0.301643293,-1.321293225,white,female,-2.052496452
-133.4869927,-0.304805277,1.756399462,-0.316448731,0.372692071,-0.700275998,0.691768258,0.914361459,white,male,-1.686585069
69.75345572,-0.21788089,-1.443779529,-0.065172891,2.272214888,0.738961357,-0.632414422,-1.240395133,black,male,0.370109057
-74.19882043,0.257099815,-0.290361825,-2.407767489,-0.266750303,0.406804285,-1.73039798,0.507330423,white,male,0.103502826
131.3054424,0.456250169,-0.363146458,1.20309277,-0.759308659,0.228275747,0.768044156,0.882680867,black,female,1.172363585
20.2671097,0.36896432,-2.058002817,-0.62986083,0.137942872,1.386361014,-0.056723727,-0.679630668,black,female,-0.20666517
11.34514705,-0.457886468,-0.122013711,0.013701637,0.770171767,1.14231133,-1.048807244,1.055370607,black,male,-0.137266811
11.29222325,0.153220314,1.734258495,-0.678178534,0.969983949,-0.62894444,-0.010241744,1.947152072,white,female,1.305432224
14.52061057,-0.584133237,0.428740915,0.906938663,0.303282547,-2.180452787,1.908457962,2.388377794,black,female,0.058160532
66.66447728,0.429269359,-1.133593386,-0.121212997,-0.727929006,-0.215646159,-1.653994916,-0.946635008,white,female,0.737185633
-105.8393479,-0.21850295,-0.88956322,-1.218326218,0.485331348,0.44307558,-1.245769414,0.747884477,white,male,-0.538700507
139.5852135,-0.394140536,-0.218040861,0.131986023,-0.157854042,0.869094651,0.664719263,-1.946932533,white,female,1.275898863
85.88729535,-2.137841528,0.57213733,0.756110629,-0.231442305,-1.045210254,1.599997705,-0.340574605,black,male,1.326646033
-66.92587492,1.447866379,0.346435707,0.0327526,-0.700360229,0.616977217,-2.162628254,-2.534198168,black,male,-0.310957051
-44.11454823,-1.410225307,-1.167281596,0.570385214,0.200889299,-0.831399501,-0.029483334,0.954145154,white,female,-0.578890493
38.25305973,-0.39718522,1.36698589,0.722154085,0.60558962,-0.615140849,0.384881603,-0.562384344,black,male,0.581832557
-31.41355338,-0.141278755,-0.996225248,0.746230981,-1.627658078,0.112614691,-1.925868263,-0.786502765,white,male,-0.181663712
104.538464,1.407049342,0.105975291,0.563670504,0.146366541,1.233896686,2.454556324,1.653056383,white,female,-0.009030195
101.7980857,0.322808777,1.37088648,0.151853038,0.304157771,1.171401569,0.614403689,-1.014875977,black,male,0.434117306
35.34744071,0.311453573,0.878113609,-0.09338317,0.722983493,0.41020126,0.074303152,0.773994956,white,female,-0.157557275
151.4860071,-0.202366637,-0.342527844,0.961691475,-0.528579858,0.4786818,-0.891031265,0.899956825,white,male,1.159148194
77.52922788,-0.633988671,0.503784366,0.857502864,0.82404715,1.040933891,-0.161942331,-0.511564889,white,male,0.380422034
103.0192044,-0.260437784,1.45836582,-0.039309855,0.083037969,-0.48992019,0.589716171,-0.491286395,white,female,1.364735319
-127.9595622,0.348855777,-1.430756588,-0.535842892,-1.435940723,-1.554034994,-0.774033022,-0.773031638,black,male,-1.36625798
