B,C,D,E,F,G,H,I,J,Response
29.77592181,-0.380359913,0.658081734,0.030684607,-0.081407215,1.126379941,-0.699876707,male,no,0.706751715
-5.459863564,0.556053169,-1.934421874,0.226518637,-1.516515881,-0.310442463,1.28567404,female,yes,0.778298388
19.9022061,0.59471168,1.112328829,0.867386559,0.158089486,-0.406697139,2.299262827,male,no,-0.290034884
-2.030474401,1.467671552,-0.265637106,-0.227595263,0.718870906,1.071619772,0.463715992,female,yes,-1.129416435
-68.09712438,-0.950678238,0.945551047,-1.869044568,-0.135950043,0.619490308,-0.054708695,male,no,0.100439499
169.406784,-0.799152041,0.828490174,-0.317145206,-0.984948171,0.582905619,-0.322171906,female,unknown,0.541515225
-79.30104218,-1.29034303,0.858586237,-0.337632504,-0.595468579,-0.432274897,0.787221008,female,no,-0.063700668
81.94478371,1.279394123,-0.487837087,0.07393888,0.655924943,0.239658148,0.052007034,male,unknown,0.67486279
-202.2538981,1.809244387,1.276956138,1.154588867,-2.313062931,0.092428207,0.496809463,male,no,-0.756745718
-175.6219682,-0.563135785,0.37320149,0.83912019,0.513061027,-0.303074048,-0.197053774,male,no,-1.443648764
6.358063892,-1.249660258,0.397421907,0.808970131,-1.757373569,-0.730446168,-0.258435732,female,no,0.180857797
54.51667669,-0.119148897,-0.299049087,0.73362757,-0.733699177,-0.394441917,0.774000692,female,no,0.941301572
79.19095957,0.247171601,-0.150764958,-0.721082821,1.162026652,0.198773335,1.529467292,female,yes,0.9171966
-7.547655031,0.653093808,0.0251172,0.169904571,-1.870668845,-0.800078994,0.200396488,female,yes,0.680043983
-88.78910894,0.006835776,-0.402103021,0.289901534,1.004992803,0.428941443,-0.255097928,male,no,-1.83426535
99.99815046,1.543038458,0.603062253,0.192801213,0.111437685,-0.266935606,-0.473947923,female,unknown,0.139090392
184.3187863,0.453888536,-1.216817545,-0.613174325,1.14452237,-0.455687452,2.054611442,male,unknown,1.134347845
-55.89590267,-0.126681218,-1.317204699,0.866880068,0.569960597,0.861114968,0.001554551,male,yes,-1.034267802
129.4554377,1.091049649,0.048365256,0.671467925,0.877926835,0.526291263,0.215482042,male,no,1.241076324
139.5637603,-1.399470776,-0.910020082,-1.791138351,-0.2567263,-1.41690375,-1.220636471,female,unknown,0.415061399
103.9261764,-0.429361658,1.29046648,-1.341681474,0.021916885,0.501278543,1.437456711,female,yes,1.343003085
41.53758502,-0.442487935,-1.79270418,-0.653919786,-1.394220395,-0.399911944,-0.829079177,female,yes,0.831831046
268.8359382,0.755922236,-0.202761885,0.593534205,0.774366856,2.369179172,0.116700473,female,no,0.50107201
-46.94287722,1.419860158,-0.577907388,-0.617398679,1.276150725,-0.870804315,0.0469173,female,yes,-0.956504361
-59.22020687,-1.75927463,-0.261196274,-0.112411031,0.000903572,0.11130826,-0.383345653,male,no,0.217848551
38.06366474,0.900117537,-0.411210869,0.887700854,-0.266815822,0.35355869,-0.695636864,female,yes,1.259741432
67.17861809,1.900708753,-0.130190184,1.134298157,0.338870492,-0.806864647,1.398119876,male,unknown,0.651911746
-139.6867555,0.407905086,-0.698853571,-0.070381853,-0.43761209,1.299470099,-0.786316327,female,no,-1.844300157
85.71677542,0.383702794,-1.336778332,-0.868524946,2.625964445,-0.433070763,-0.494831436,female,no,-0.815295754
-67.8786803,-0.440311693,-0.904588033,-1.590492768,-2.365837648,-0.318190606,1.830924051,male,yes,0.556855941
125.6178654,-0.538697488,1.047794915,0.440675957,0.582090387,0.094759881,0.52982215,female,yes,0.650427334
-142.4195344,0.380078132,-0.91518863,-0.581146606,0.744311805,-1.771733063,1.095999548,female,yes,-0.866369209
145.0113386,2.142232705,1.024322706,0.01276812,1.02908199,1.898971614,-0.991184042,male,yes,0.649143176
-62.28645652,0.469661338,-1.023902044,-0.644650698,-0.259237792,-0.213906109,-1.07755657,female,no,0.238629335
-126.4646034,0.219656888,0.332605258,-0.064992255,-0.592553206,0.170806588,-1.534446008,male,yes,-0.282427666
194.9479218,0.044849987,0.539616611,1.4846706,0.057314039,0.520182735,-1.062234982,female,unknown,1.099445456
-14.34502622,-1.407249432,0.655696476,-0.835473489,-0.87275574,0.18599318,-0.142055159,male,unknown,-0.834826763
137.1316216,1.885503897,-0.623164624,-1.537526448,0.416322215,1.813812208,1.713685874,female,unknown,-0.67260968
-116.4807893,-1.239218604,-0.901715826,0.338639896,0.022193622,-0.22388043,1.974442274,male,yes,0.065255804
-110.9014876,1.107735382,0.105143479,-2.314898392,1.186182864,2.104475194,0.918311199,male,no,-1.457711062
48.81279226,-0.157792221,-1.120150633,-0.192486204,0.203975863,-0.16525845,0.856514059,male,yes,0.708241172
105.3158604,1.23792715,-0.736678579,-1.6132028,-0.774892638,-1.977493543,-0.65569852,female,unknown,0.77723432
-10.31132264,-0.726816672,0.91741017,0.548775299,-0.380031442,-1.125554302,-0.215259212,female,unknown,-0.721866682
-41.21673916,-0.757572626,1.08605103,1.43044,0.057140004,0.607177932,1.806465234,female,yes,0.110848992
37.4502718,-0.066932621,-1.332242499,-0.00621723,-0.685259755,0.348506847,0.49436938,female,no,0.374265136
34.91102388,0.881350891,1.297055094,-1.690113194,-1.123270382,0.471346509,-0.687356256,male,no,0.337712682
-309.7938913,0.852857701,-1.705446236,0.642019536,-0.703488797,0.049380078,0.008510264,male,yes,-1.570593802
166.6783768,-0.674995695,-0.908460987,1.316665168,0.69640886,2.714521057,2.312892026,female,yes,1.163237603
113.0585373,-0.123883393,0.489658645,-0.668459571,0.277136531,-0.270041408,0.781103022,female,unknown,0.153612393
438.8802869,-0.285028874,0.156839731,0.485163875,-0.135702208,-0.184276066,0.271451246,female,unknown,3.130594523
-49.48851573,-0.534394477,-0.939221462,-0.534796087,1.60948671,-1.387911705,0.053288007,female,yes,-0.519531726
-227.4380336,0.477828394,2.843069139,2.006637785,-2.687224898,-1.564274279,-0.498429851,male,yes,-0.28136892
-67.45727073,-0.046292114,0.719375552,-0.070263026,-1.136165047,-1.360310922,-0.447696908,female,no,0.026900392
26.3615795,-1.310578967,0.814728009,-0.088027168,-1.522064432,-0.075958903,0.946247529,female,yes,0.839359272
118.6215604,0.094881165,0.769110726,0.340918759,-0.196546034,0.705252301,1.258597354,female,no,0.94744916
-114.7893014,-1.264951765,-0.573932338,-0.192309571,-1.519136241,0.712220067,-0.127982655,male,yes,-0.791483228
-15.65374312,0.528559488,-0.438736151,0.171025718,-0.009556009,0.04152574,-0.46947016,male,no,0.397226439
34.49954003,0.923181361,-0.274231898,0.997221285,1.09792964,0.165043007,-1.203978856,male,unknown,-0.094411471
