A,B,C,D,E,F,G,H,I,J,Response
324.744953,1.345261875,1.276756768,-0.36037165,1.194970494,0.451636569,0.523764691,1.47423705,white,female,0.915869345
-47.4533592,0.382134703,0.570338042,-1.139860095,-0.378879814,-1.139343909,-0.571750829,-0.11579022,black,female,-1.392749513
-110.8889489,-1.343121875,0.293587969,-0.763513522,1.191420969,1.264400812,1.96133391,-0.593907707,black,male,-0.205354178
-117.6001543,0.102737707,1.062801157,0.226034537,-0.160744726,-1.036324683,-0.484183487,-1.10973906,black,male,-1.917198058
55.54346309,0.189501511,-0.575241142,-0.689144266,1.175145019,0.383497985,0.737007523,0.918514199,black,female,-0.788072803
-16.14220216,-0.570508888,-0.835182541,-1.736366252,0.355446407,0.282112608,-0.325441461,-1.963443667,white,female,0.069293613
-342.3343614,-3.122987363,-0.38837576,0.45870324,-1.059038218,0.497777699,-0.550751778,0.368334218,white,male,-0.888846886
23.96142787,0.057438788,0.322396868,-1.61488594,0.276059222,-1.158792501,1.311240499,0.913505089,white,male,0.678159116
156.6365703,0.282338695,-0.705056946,0.335907804,1.172269164,0.565515654,0.119765947,-0.058500132,black,female,0.064725943
-15.04853396,-1.306554905,-0.536405943,-0.240159873,0.399242954,0.472327811,-1.053269938,1.549444681,white,male,1.96298939
263.7507839,2.19414185,1.09979033,-0.339328592,-1.37950068,-0.570724996,-0.458567484,-0.520759394,black,female,1.575862083
43.24112088,0.650710915,0.444284605,0.511668994,0.71925496,-0.61876257,1.198497508,0.180811932,white,male,-0.381436187
22.11564681,0.505823561,-1.350938667,0.385043151,-0.430532295,-0.675677282,0.468552029,-1.228532489,white,male,0.458675045
-2.353957123,0.346670932,0.610519664,-0.301797857,1.679011498,-0.024769553,1.650584923,1.921561691,black,male,-0.639005256
0.60173496,-0.621010867,0.412387722,0.471871237,1.613636971,1.636433978,-0.688652953,-0.786906402,white,male,0.638238817
-227.4728442,-0.846073673,-0.360424296,-0.005506631,-1.994961241,0.936588428,0.206276934,-0.64582805,black,female,-1.156724846
117.3827925,1.076144948,1.719391118,0.960336473,-0.70880498,-0.432989131,-0.118290732,-0.902178803,black,male,1.058535494
-101.3370982,-0.780115439,0.42331921,-1.441595021,0.295654803,0.172851202,0.069532954,-0.544578145,black,female,-2.217723095
-17.8423694,-0.043404838,0.41693288,-0.354243229,-0.317845897,-0.209292636,2.113905204,-0.952823077,black,male,-0.330761965
-7.943844749,0.242789313,-2.199744424,-0.641310118,1.348259664,-1.438429351,1.21166524,1.201511493,white,male,-0.567682042
-162.1647009,-0.912247244,-1.073335667,0.077344326,-1.747411331,0.868392795,-0.023683864,-0.11313478,black,female,-0.271079182
165.4354383,1.255296593,0.284232682,0.908052994,-0.208416356,0.092697751,0.715565502,-0.826638507,black,male,1.14303272
104.5124508,1.573650295,1.118377277,-0.9942361,-0.650900166,0.709692365,0.75066377,0.594348008,white,female,-0.45094166
85.33211634,0.385038921,1.439024453,-0.855929687,-0.578832167,0.110910264,0.440262326,1.093780196,white,female,1.02715308
-0.148485058,0.359915743,0.021838922,-0.055666451,-0.823411927,1.550069005,-0.323024295,0.313112523,black,female,-0.500344341
23.32264965,-0.045200357,-1.204782603,0.490160472,0.34500191,0.162659606,0.452236583,0.869997038,black,male,0.493337083
34.5058818,0.213748198,-0.328828125,0.565874751,-0.157085079,-0.202644369,-0.283152775,-0.030121375,black,male,0.679808127
-13.21083716,-0.009914716,0.740685582,-1.042109405,0.866484601,-0.723479913,-0.20079628,-0.857843871,black,male,-0.111857745
43.77287229,-0.090656695,-0.490228241,0.947616554,0.060351498,1.185012834,0.557115512,0.470052658,black,female,0.238188752
-114.5396805,0.33420282,-0.089591696,0.952092134,-1.713169335,1.880190249,-0.027681902,0.108805539,black,male,-0.634344358
0.048476869,0.036384023,-0.39155288,0.050224748,0.309325319,-1.125529744,0.844679408,-1.894324458,white,male,-0.033372279
-102.1193429,0.370540092,-1.313755991,-0.352991649,0.179713625,-0.938051543,1.146126091,-0.362041422,black,male,-1.736442974
140.8506656,0.907596632,0.168024057,0.337475237,1.269959512,0.985387059,1.26894705,0.855516491,white,female,-0.575775413
-131.5644923,-0.138055537,-1.119795944,0.643465649,0.159179673,-0.724928141,-1.050552188,-0.006785016,white,male,-1.898305766
25.79241203,-0.142691584,0.341604242,0.335445793,-1.486254184,-0.721576071,1.576093218,-1.767970351,white,female,1.736482894
-6.379745402,-0.451771399,-1.153305217,1.580632248,-1.14275752,1.25927802,-0.381335633,-1.329082832,black,female,0.682313133
101.3223491,1.602063446,0.865050972,-0.414959599,-0.920961785,0.404483058,1.431834154,0.352099763,black,female,-0.281971115
94.18831364,-0.717100334,0.699729629,-0.530446116,1.590189105,1.462066182,-0.098998163,-0.461542349,white,female,0.659855594
204.7142984,0.603411307,-0.672798894,-0.234809958,0.405270925,-1.604182698,-0.024671805,0.521284884,white,female,1.034315394
138.1867775,1.426040555,0.532279254,-1.109065062,1.129158321,-0.755153456,-0.475676454,-0.543873539,white,male,0.294540915
-156.1042837,-0.861550322,-1.408774161,1.499963987,-0.74690367,0.003382346,0.236231091,0.223189704,black,male,0.058455299
281.4427424,2.139787193,1.203531777,1.39585849,0.820772761,1.078204429,-1.860444491,0.298145611,white,female,-0.084716788
99.30711031,-0.112755025,0.077814598,-1.077556142,-0.008350494,-0.013172466,0.548656619,-0.879451804,white,female,1.01812953
80.706887,0.199439773,1.228287472,0.006728829,0.627972569,-0.100539333,1.421012689,-0.174099184,black,female,-0.459247054
-158.055079,-0.906081423,0.171703108,-0.555688306,-1.528318004,-1.833920431,-1.530732782,-0.689252219,black,male,-0.192466856
7.478508439,-0.070355944,-0.111425072,-1.291727611,-0.201073126,1.569856448,-2.007407338,-0.571020118,black,female,-0.070845211
85.62352689,0.569187249,1.196117486,3.230261334,0.485113256,0.657688271,1.031808253,-0.684862924,white,male,0.848467533
-183.8397591,-0.898146483,0.88862844,1.433583907,1.072890066,-1.909097373,-1.241507603,0.33550296,white,male,-2.171871106
-125.5468219,-0.540154988,0.820985545,-2.0351859,-0.71494956,-1.747319988,0.304271629,-0.034601735,white,male,-0.867852245
80.38035281,1.184900191,-0.700533985,0.526938564,0.094494799,-0.651584105,0.22992413,-0.435924571,black,female,-0.97997981
-15.3595059,0.562414277,0.667141406,0.204946472,-0.330542078,0.934227512,-0.100266894,-0.176711974,white,male,-0.684964239
110.5371787,0.574371001,-1.210912732,1.209192248,1.045855843,1.815352052,0.473973706,-1.33088127,white,male,1.337031765
18.23184096,-0.570166009,0.083022828,-0.8353356,-1.085705673,-0.504246519,-1.526365613,-1.758925835,black,female,1.70761548
32.17877776,0.882256029,0.040720719,1.313227538,-0.127914106,-0.290792253,-0.279683716,1.137370931,black,female,-0.818959682
23.51999212,-0.237020274,2.398146101,-0.629472537,-0.174385593,1.150028237,0.770280322,1.30393908,black,female,-0.940173243
-151.3277439,-0.714313177,0.67298073,0.011356942,0.527188712,2.284330141,-1.097459203,-0.019396868,white,male,-1.638121184
215.0962723,1.475907485,-0.443866332,-0.318667329,-0.577201749,-0.235498517,-0.899351076,-0.204211759,white,female,1.535963304
-188.1532598,-0.887328646,0.723660842,1.019011576,-2.421812718,1.866469213,0.048663006,1.374889466,white,male,-0.567429974
177.3382112,-0.453755368,1.139511408,0.035226196,0.542989407,1.475062644,-0.854268553,0.578613466,white,female,0.86874353
36.33360575,0.758193406,1.206349931,0.383048682,0.283037648,-0.505605423,-0.743203543,-0.028393805,white,female,-1.162468086
42.46285994,0.145251592,-1.853512568,-0.902517516,1.647467631,-0.285586867,-1.320700145,-1.194696202,white,female,-0.883749874
191.3134164,0.687197162,-0.194508486,-0.311138554,0.024004176,0.841090389,-0.287409076,0.44168883,black,female,2.208198629
125.6684397,1.384364881,-1.023176665,-0.867363101,0.835992809,-0.539258827,-0.224077728,-1.157162078,black,male,0.193480725
105.6050331,-0.025839904,-1.502188964,-1.020698196,0.409009719,0.461588938,-0.843094094,0.406311076,white,female,0.927048164
-109.8624927,0.523658954,0.533737758,0.53600793,-1.344369283,0.984555506,0.623844567,0.72712766,white,male,-0.763254028
-89.9030307,-1.74451336,-3.115215458,-1.637028018,1.044902755,-0.563043416,0.961092618,1.402872792,white,female,-0.1268233
112.2605593,0.260778053,-0.300940199,1.284683723,1.545983162,0.064907248,-0.466195811,-0.308733317,black,female,-0.073297715
178.9134734,0.795981984,-1.358886209,-0.867598696,0.801841187,1.075510381,0.490968241,0.048608241,black,female,1.241628865
51.79066669,0.262807922,0.105628316,-2.251535835,0.485281797,-0.680291805,-0.987560424,0.535501709,black,female,-0.908093562
-74.50919644,-1.632707002,-1.328216644,0.383709708,0.046548221,-0.617685957,-0.837010173,-0.709410918,black,female,1.492871782
70.77148958,-0.271650825,-0.150079212,0.73675081,1.041191264,-0.818951553,-0.163256819,0.494313207,black,female,-0.416747562
-334.8724523,-1.74663417,-1.011583907,-0.233469033,-2.151133757,-0.246517701,-1.181591345,-1.338382318,black,male,-1.196241589
60.45660216,0.397690998,1.537424989,0.75995127,0.385120533,1.957818803,-0.130362002,-0.941023277,white,female,-0.623741428
-35.70645059,0.888318768,-1.215221705,-0.545440237,-1.308129285,-1.581564999,0.830972375,-0.798614788,black,male,-0.59592792
33.47519637,0.109921255,0.808266453,-1.961411235,-0.151135168,-0.503690139,-0.864374558,-0.049657199,black,male,1.272053712
-18.626134,0.865387754,0.039351759,0.05562178,-0.228436893,-0.107177844,0.79502356,-0.369055644,black,male,-0.977765116
-107.8093305,-1.489616045,0.129423455,-1.072014298,-0.338479519,1.638203262,1.476871287,1.634306044,black,female,0.217906873
-93.86172647,-1.75385937,0.489093192,-0.607208816,-1.796954867,-0.215241831,0.12558308,0.951294048,black,female,1.95952319
-181.99061,-0.470850347,-0.318307958,-1.829576928,-0.961561967,0.880939058,-0.326949022,0.827940577,black,male,-1.879360814
-30.70168426,-0.141832053,1.143645334,-0.267474342,-0.904397996,0.125411269,1.88932794,-0.897736258,white,female,-0.450615837
44.91903905,0.437812751,-0.83302557,0.434430089,-0.010420505,-1.012675409,-0.264424538,0.216120671,black,female,-0.288717862
