A,B,C,D,E,F,G,H,I,J,Response
153.4974477,1.788134007,-0.358760119,0.127411911,0.279530592,-0.312713064,1.276655014,-0.090862127,female,no,-0.855069375
69.46595307,-0.735600097,-0.459526457,0.324472471,1.689401689,0.29917155,1.75774211,0.133987907,female,yes,0.062968763
89.17641363,0.176085891,2.839048375,0.98496295,-1.201384863,-1.45314496,-0.606051434,0.489967849,female,yes,-2.353790574
265.199184,0.282048883,0.4422634,1.230920899,-0.442513003,1.335966432,0.209488012,0.448259085,male,yes,1.70110462
-104.2997828,-0.164975947,0.446374349,0.073959405,-1.046420581,1.510494174,-0.476769153,-0.532633269,male,yes,-1.098613903
3.820320787,0.166516594,-1.069292363,0.546821574,0.890835853,-1.259392009,1.013904782,-1.24709105,male,no,-0.032348396
-106.2261266,-1.599454981,-0.414889752,1.526618183,-0.142784654,-0.405385649,0.038646622,-1.242069805,female,yes,0.617402751
112.1846073,-1.507828258,1.491752676,0.85724428,-0.563860015,-0.309549724,-1.082829382,1.010808399,male,yes,1.5400998
-34.60506242,-0.858289011,-0.433257841,0.134030548,0.184953645,0.997657497,0.882887616,0.30444699,female,yes,-0.22093926
-359.9212008,-0.041792842,-2.085473144,0.431948277,0.261017261,0.334912963,-0.664077101,-1.484798855,male,no,-0.944373136
244.9138401,1.402233128,-0.149040806,2.430189154,-0.634335559,-0.222186831,1.300882503,0.00630631,male,yes,-0.552960418
232.0421342,1.117743193,1.001478258,1.45094146,-0.004971682,0.092299114,0.096699068,1.029451156,male,no,-0.41556804
261.141562,0.619505257,0.562592477,1.848702181,-0.81684271,-0.415773557,0.84973108,0.223615572,female,no,0.096678191
-80.41126591,-1.251472904,-0.5178292,1.395849512,-2.232070874,-0.093413614,-0.175844293,-0.236691266,female,yes,0.415225729
-241.7124296,-1.47720055,-0.586478351,-0.780278388,1.500846231,0.185177917,0.020759406,0.24443002,female,no,-0.419156708
-263.5641551,0.082291013,-0.646266525,-1.703760775,1.81954882,0.540883047,-0.360699234,0.21004199,male,yes,-1.46741817
-213.9464096,-1.299357507,-1.947866239,1.337023129,-1.614380243,-0.512825529,0.784618306,0.163681431,male,no,-0.554786057
-307.405297,-0.882965739,-0.945946785,-1.05627935,-1.873715973,-1.812685416,-1.110758375,0.103536408,female,yes,-0.397929969
264.6426845,0.560977819,1.180333342,-0.951012549,-0.059520418,-1.151535006,0.780758239,1.778134419,male,yes,0.361604979
31.59103991,-0.911799122,0.252082225,0.55788467,-0.356425251,0.644845746,0.802174654,-0.31760195,female,yes,-0.041268221
-93.5840286,-0.490405331,1.011467708,0.560033297,-0.532605849,0.969175258,-0.542611065,2.284216558,female,no,-2.143827558
-105.4951773,-0.446398997,-0.815900853,0.527242256,-0.62194473,1.924654831,0.588795209,-0.602660509,male,yes,-0.746773253
390.9876167,-0.212591875,0.672638382,0.997811205,-0.83649358,0.806772326,1.801024411,1.887447432,female,yes,1.468353923
-115.0579997,0.363667434,1.00757034,0.06258361,-1.146659244,0.320788152,-1.436819398,0.027168653,female,yes,-1.643576857
-158.3263844,-0.749558969,-0.806376103,-0.069534038,1.319301815,0.092419303,-0.153462051,0.698260262,female,no,-0.354367669
166.2101682,-0.593982378,1.715895221,0.852972771,0.241247725,-0.240132113,1.105679269,0.724304682,male,yes,-0.991828013
-161.3292647,-2.097131728,0.728328201,0.395404156,-0.677137983,2.017882747,-0.568069791,0.645160949,female,no,-0.648224361
-72.36403656,-1.008881066,-0.171286818,1.120819638,1.232011674,1.53573215,-2.604917948,-0.041305396,male,yes,2.3642879
-142.8301685,0.541741983,-1.597110131,-0.182424692,-0.785857197,0.335489185,0.770038921,-1.952869249,male,yes,-0.750666793
-276.8388926,-1.624426223,0.069388597,-0.068750703,0.257305215,0.89653228,-1.508176846,0.197944994,female,yes,-0.296430934
-196.4618775,-1.402588758,0.062482704,0.276466397,-2.252593085,0.63483549,0.800687311,2.188372914,female,yes,-2.449627992
-74.69278947,0.44548206,0.856639371,-0.645455571,2.008151399,-0.764969142,-1.061383728,0.449776833,female,yes,-1.07055163
79.10433586,1.600187276,-0.047652937,1.162228065,0.038067949,1.156428985,-0.565124279,0.018327318,female,no,-0.634345303
-13.5560375,1.428444183,-0.684721031,0.51020224,0.542717665,0.354619826,-0.341786151,-0.49455405,male,no,-0.434047806
174.3664834,0.661349547,1.486679786,0.987062052,0.444047726,-0.684330018,0.493856237,-1.223956896,male,no,-1.106200387
256.4002776,0.811831995,1.714021902,0.031698292,-0.23080277,-0.614535268,0.577867949,0.739159032,male,yes,-0.420196782
33.25323466,-0.340031652,-0.291833057,0.078846022,-0.294128446,0.734524425,1.369878678,-0.414935931,female,no,-0.44180829
-136.9765957,-0.103058665,-1.75283081,-0.199046073,-0.091052821,-0.912052562,-0.166345321,-0.005779248,male,yes,0.686212267
