A,B,C,D,E,F,G,H,I,J,Response
43.58025402,1.105380003,-0.531607215,-0.238104096,1.167837545,1.337532661,-0.158507416,1.095629929,female,yes,0.50901477
173.5536875,0.575384593,0.669348809,-1.337027558,0.391668329,-1.410875242,1.000427191,1.393991861,male,no,0.057478057
-148.7089236,1.98724295,-1.085960974,-1.624681024,0.23841741,-1.19150995,-0.473449387,-0.13484072,female,yes,-0.479413561
177.5850103,-0.042320543,1.089835672,-1.154816558,1.694353555,0.765682646,-0.128019923,1.358640862,female,no,1.172665285
148.9779147,2.498384748,0.352408206,0.803329748,0.765290095,0.29105209,-0.766282483,-1.317920335,male,no,1.198256185
-73.6256785,0.69647734,1.88658873,0.392579882,-0.544963027,-0.654913956,0.114650342,-0.251889075,female,yes,-1.404330329
20.1385443,-0.598482673,-0.334041276,0.882189818,1.266725556,0.043089891,0.529273452,-1.238249566,male,no,-0.493423772
-116.2063602,0.412710271,-0.496928825,-0.621155047,0.095176106,-0.275152944,1.46570086,-1.151172307,male,yes,-0.94511635
85.29073028,-2.397126081,0.386941834,0.880370517,0.260543328,0.912409014,0.817235988,1.1085892,male,no,-0.917917797
162.2079836,1.362481959,0.176878908,-0.682624307,1.882637195,0.396541685,0.669888843,0.271516691,male,yes,1.642764156
-2.145768129,-0.218824748,0.86497188,0.57403233,-1.013679109,1.066376873,0.811336178,-0.821797484,female,yes,-0.448077254
-174.5968479,0.339632666,0.790052834,0.577485709,-0.378382714,-1.15721145,-2.422383306,-1.974227703,male,yes,1.300456175
-62.04446986,-1.532077497,0.002634472,0.581313621,-0.653425525,0.477905171,-0.231923127,-0.770493516,female,yes,-0.453511643
61.23795984,-0.485243348,0.488901219,0.150927612,-1.809108851,-0.35549544,0.049060758,0.05731902,male,no,-0.789178044
190.4069071,0.258437748,0.540106427,-0.892313148,0.362958652,1.093067794,0.95513561,-0.111656309,male,yes,1.081161125
80.35543972,0.254887978,-0.655696257,-0.071036717,0.872411121,-0.074191289,0.165129236,0.605887555,female,yes,0.936104041
21.1472628,0.441149423,-0.637238124,-0.581316585,0.502781618,0.27973582,0.040120289,0.527795745,female,yes,-0.037108073
-72.97847754,1.458559026,0.306534747,0.778157726,-1.456514261,0.300339325,-0.734322616,0.271943068,female,yes,-0.992229245
44.60676674,0.923890708,0.151018528,1.310593036,-0.096956527,-1.604680847,0.20842724,-1.318667572,male,yes,1.532255759
31.63623258,-0.304267532,-0.865503477,0.566302103,-0.125516749,1.39055459,0.018444528,0.295305626,male,yes,-0.161543495
56.12096577,0.002361091,-0.415169172,-0.592796579,-0.417616508,-1.272117201,-0.94158857,-0.745388696,male,no,0.460987697
-156.3988728,-2.382453388,0.958551252,-0.279830614,0.742912275,-1.950490012,-0.382811557,-0.845027702,male,yes,-1.019646712
169.9201149,-2.385032942,0.93776276,-0.622944067,1.732267303,0.412332673,0.284014607,0.57339252,male,no,0.666836246
-54.31171503,1.009725191,-0.583935732,0.956480101,-0.412808491,-0.306930878,0.277630026,0.540013684,female,yes,-0.31368935
-104.5641454,0.503590098,0.461301953,-1.337421085,0.688622916,-0.250990356,-1.276534768,0.781303294,female,yes,-0.422904648
-84.34624672,0.549026185,0.786455768,1.299400173,0.805875485,-1.59512247,-0.361476889,-0.287226542,female,yes,-0.499581668
68.22309425,-0.89116205,0.179013105,-1.061264486,-1.623073781,-0.460004173,0.396721186,0.210404938,female,yes,0.693995163
148.3060848,-0.254916594,0.835024061,0.817917569,0.605263405,1.201646639,-0.413764365,-0.583766298,male,yes,1.408287619
-33.7484775,-1.167685807,0.651476219,-0.08985081,-1.333642217,-1.859919748,-0.348304559,-1.086983311,male,no,-0.325734024
55.95740235,0.241809057,0.073394441,1.023137003,0.229154475,-0.624340423,0.079549126,0.313164894,male,no,-0.134823684
316.1740046,1.183184054,1.362396808,2.813899198,-0.640900684,0.253789013,1.815063283,1.094757699,female,no,0.646183366
36.41596382,-1.984247159,-0.389098917,0.256395263,1.722482605,0.36877852,0.524446073,0.231987248,male,yes,0.098495745
310.5342947,-1.023394083,0.45747997,-0.963299796,-1.225840453,0.983319478,0.780700023,1.697685255,male,yes,3.173574411
