A,B,C,D,E,F,G,H,I,J,Response
-120.3962647,-1.196822757,2.536807961,1.10026032,1.170327824,-0.733857266,-1.058536119,0.365268484,white,male,0.608992573
-15.92604534,0.083592386,-0.79374424,0.618158777,0.356499214,0.035592089,-0.612486974,1.016430205,black,female,-0.262264107
18.6441495,-0.585276345,-1.191213153,-0.70854677,-0.218921921,0.489246975,-0.910861816,-0.0615088,white,male,0.434584609
49.16493173,-0.153306861,1.131586568,1.06472402,0.085976706,1.339352671,0.792201337,0.039337831,black,male,-0.087480288
-38.8852372,-0.430608226,-2.109681506,0.362120897,-1.912348842,0.115048235,0.916526004,0.327706547,white,female,0.477394183
-217.6346849,-1.040312779,0.910869491,-0.345155014,-0.050065107,-1.388060144,0.292538433,-0.325354441,black,female,-0.186635893
134.7636082,0.789759483,0.797554177,-0.896409599,-1.025948113,0.815638726,0.149062492,1.905578554,black,male,0.713661335
-22.70605771,-0.997758731,1.652035211,2.237180254,-0.356286773,1.562239143,1.508234683,0.329361808,black,female,-0.988465794
250.5746889,1.367433124,-0.671648737,-0.264504814,0.137907267,1.159201033,0.070089149,0.871531922,white,male,0.921066601
-131.0091465,-1.044172896,-0.478636556,0.147331555,-0.908734209,-0.172101346,-0.410063524,1.94888218,white,female,-0.193358398
-186.8804362,-1.01289626,0.146649206,0.502722969,-2.001478181,-0.602869196,-0.20969023,-0.925763371,white,male,-0.577780741
-179.2842278,-0.163334472,-0.508600249,-0.533032557,-1.015348844,-1.424440324,-0.476388171,0.257755217,black,male,-1.025071902
85.44614281,-0.291437086,-1.578831465,-1.498548123,0.151957997,0.824527106,1.422968344,0.144913405,black,female,1.91206194
137.0246335,1.152471729,-0.591270295,-0.40259099,0.907176927,0.544833602,-1.343462843,0.202233902,white,male,-0.511951072
154.2000873,0.962930207,-1.606076826,-1.116693826,-0.634257632,0.416021188,-1.680067357,-0.322559765,black,female,1.501952396
-0.876873371,-0.166551967,0.079239444,1.30992341,0.531413761,-0.204565121,-2.348407272,-0.895471145,black,male,1.408145314
171.0334242,0.998812232,-0.282180046,-0.379534671,0.236474584,0.462339021,-1.14769934,-1.314664772,black,male,0.809929702
7.328194209,-0.456984005,0.878704103,0.224919315,-0.751373556,0.179735019,0.102682389,0.080149153,white,male,0.320927717
-126.0013332,-1.258579534,0.560901144,0.137629504,0.88989791,-0.015043241,-1.567272028,-0.792814813,black,female,0.014992047
57.70606348,0.093410406,1.355758226,-0.148644819,-1.228851596,0.866959546,-2.635992512,-0.006761657,black,female,1.234920528
-15.26634604,0.357709822,0.24088836,0.752580131,-1.03017094,-1.070232466,-1.671340729,0.933035136,white,female,0.661366113
106.0512865,1.038658161,1.59857525,0.715829396,-0.499315869,0.003244193,-1.720869232,-0.227856565,black,male,0.040023436
