A,B,C,D,E,F,G,H,I,J,Response
-170.3431364,0.270905215,-1.136220666,0.923326733,0.081728772,-0.885596314,-1.291322952,-1.322706458,female,no,-0.727055274
276.4627347,-0.581296394,1.62426808,0.040765405,0.176844274,1.94652395,0.273482482,-0.683854603,male,no,1.895099409
15.68276286,0.306566343,1.351498278,-1.335794941,-2.159123634,1.073327219,-0.062993446,-0.501539943,female,yes,-2.234160628
-112.2937769,1.384417279,-0.869939723,-1.154835235,0.724985914,-0.490918123,-1.661166682,0.832296622,female,yes,0.121979579
-146.4525466,-2.14991506,0.602196692,1.51806904,-1.52364453,-1.919935233,1.092319697,-0.971140052,female,yes,0.719908203
24.91236438,-0.263566756,-0.821974944,-0.679710498,-0.296184744,0.14811422,-0.240133684,1.052329485,female,yes,2.579251012
-41.72149126,0.763399059,0.959672086,-1.101639557,-2.050233798,0.439080297,-0.472101812,1.016710034,male,yes,-0.411049465
-108.0040746,0.425414441,0.19922669,-1.819865482,0.456667711,-0.900699448,0.245510203,-1.200793443,male,no,0.104156222
-102.0837015,-0.729448851,-0.04515728,-0.285480807,0.153955375,-1.412075867,1.656328083,-0.312064188,male,yes,-1.669053121
-88.03625225,0.871765924,0.143985086,-0.740573343,1.928091829,-1.330953857,-0.042339414,0.344348022,female,yes,-0.460713346
33.13250478,1.381821023,-1.058148097,0.658644475,-1.187686401,0.868903614,-0.232473482,-0.784189311,male,yes,1.225727037
65.5018688,0.715037118,2.17887377,2.084041098,0.57173219,-0.565081742,-0.146202863,-0.66497341,female,yes,0.994907796
98.30624029,0.578762169,0.406488444,2.490517681,0.203528737,0.07151126,1.254985862,-0.98973788,male,yes,-0.87547808
-87.66736031,0.49635943,-0.391864412,0.237424301,-0.74771982,-0.359964914,-0.452932025,-0.533128713,female,yes,-0.256029613
103.8811495,0.627623225,0.965636775,0.249458972,-0.384864458,1.047613531,-0.173557768,0.077008264,female,yes,-0.270420768
-17.36086266,-0.050329065,1.477922841,-1.662792943,1.182273529,-0.308899966,-0.695633492,-0.021625387,male,no,-0.273469662
176.7492538,0.017866425,-1.615783761,0.009025438,1.887020205,1.765395398,-0.487014026,-1.112889841,male,yes,0.979657728
27.65891595,-1.201631243,-0.022151877,0.233048361,-0.0036203,0.117894391,0.155525356,0.653112056,male,yes,0.022607599
-150.1938062,0.200972496,-2.029362652,0.298004585,-1.498661742,-0.658611904,-0.497119665,-1.259345012,female,yes,1.230607107
-6.472310321,0.290652859,-1.850426795,0.33462641,-1.693244054,0.649809111,0.523601347,0.644362888,male,yes,-0.091212238
