A,B,C,D,E,F,G,H,I,J,Response
-64.80231984,-0.549705914,-0.084465792,-0.24159197,-0.563037356,0.947837466,1.394258499,0.28441336,black,male,0.921797988
69.57896837,1.109455481,-0.764329583,0.220429489,-0.166791687,-0.33646461,0.092339318,-0.201592675,white,female,0.279302482
162.9009242,-0.448916626,-0.822535061,0.305597527,1.088303749,-0.397911368,-2.334966928,-0.226488547,black,female,1.720114602
-5.56329044,0.409260435,2.011196666,0.045725532,0.704782934,1.106351587,-0.191586422,2.67737841,black,female,-0.834993414
129.7160105,-0.045583688,-0.237316022,-0.258957969,0.257512344,-1.071721632,-0.591038167,-3.18920453,white,female,-1.072829294
100.4051911,1.232930615,0.594314873,0.847171523,1.033540105,0.971064594,0.60146627,0.54274657,black,female,0.895720885
21.58863988,1.354723822,0.325616675,0.605470447,-0.817413034,1.146929933,-0.510317839,-0.375282566,white,male,0.146794226
-3.99395342,0.291604962,-0.998437316,0.026964752,0.006770296,0.551930065,-0.467470897,0.196652374,black,male,0.59029732
95.18503684,0.500418404,-0.157405003,0.757397191,0.069697169,-1.053106842,-1.384611172,0.578631864,black,female,1.051592017
143.3912063,-0.121306556,0.355084417,-0.117643036,-0.513050122,0.032505804,-0.225278835,-0.145629424,white,female,1.527209497
-3.528196064,0.53915147,0.623179468,-0.233456586,-1.269720414,1.46575952,-0.880386921,0.932743126,white,male,-0.382873502
120.6928109,-1.308737333,0.331909045,0.297976274,-2.65549591,-0.268967322,1.431947872,-1.37734166,black,female,1.164768541
25.20128308,-0.121297196,0.222199227,-1.702438082,1.410104161,0.005648474,0.121997277,-1.456955033,white,male,-0.482530972
62.71137006,0.464919709,1.08690139,-1.344083427,-0.478388133,0.357679192,-0.500218491,-1.320275824,white,male,1.79327385
208.3735869,0.258151919,-0.889068551,0.568532029,-0.254225913,-0.303233985,0.2955055,0.079682254,white,female,0.683312397
17.40362143,0.836539034,1.326628678,0.082049763,-0.041090656,-1.531149994,0.727066952,-0.377753954,white,female,-0.328327957
2.316420468,-1.3817811,-0.117206027,-2.131668649,2.470550939,-0.008852097,0.954814323,-0.261732538,white,male,-0.238270285
45.82607972,-0.297314022,0.968138666,-1.156997432,0.196894322,-0.681675285,0.606637649,-1.217131124,white,female,-0.920848845
-6.142857209,-2.122316902,-0.941663178,1.976657514,0.942210418,0.385259946,1.821328988,-2.247578734,white,female,-1.729719336
-30.06295476,0.582100751,-0.269184355,0.498463143,0.774101655,1.100079324,-0.950267404,-0.454138774,white,male,-0.581395957
111.6565295,-0.624162737,0.421215211,0.498918581,0.942835196,1.63068478,0.256778459,0.45998113,black,female,0.628256017
-180.2176188,0.165248349,0.624765753,1.009958455,-1.662626265,-1.680531846,1.517309177,0.879648159,white,male,-1.410065493
-11.08963613,-1.112767327,0.155154235,0.696151132,-0.742642578,0.42701747,2.881034307,0.98230983,black,male,0.366405017
-154.5469967,0.653043874,1.005103493,-1.16385329,1.257412798,-1.27833076,-1.074834953,-0.247118038,black,male,-1.364974845
33.01964251,0.621015078,0.654430507,0.816165953,-0.170981264,0.773800722,-1.684300969,-0.64964023,black,male,0.895284106
-152.860093,0.487863662,-0.256580683,0.328866826,1.34887051,-0.704257432,0.914052626,-0.449602592,white,male,-1.912526887
74.53385221,-0.506645899,-0.136860806,0.18928538,1.272880059,0.753735443,-0.088949949,0.375346373,white,male,0.302830706
21.66245326,-0.0582486,-1.322973797,0.926203728,0.894497285,0.740082405,1.023929567,0.968914882,white,female,-2.234567243
181.1854709,-1.423479752,1.722772411,-1.076878991,-1.020135778,1.180702516,0.544972289,-0.038158094,white,female,1.846897326
97.44286536,-1.468322204,1.79568387,0.803093419,-0.865769266,0.380151966,-0.81125242,0.505403597,white,male,1.777454098
98.23425822,0.070198908,0.335895781,0.309925236,0.850388752,1.326508033,-0.73675921,-0.60197039,white,male,0.569856836
-111.1798138,0.700897987,0.54401061,-0.876383992,-0.718610671,-0.576828439,-0.874476043,0.037479161,white,male,-1.308584959
-67.33197998,0.607322954,-1.248972007,-0.045602438,-1.952994054,0.43822523,-1.26313241,-2.054252177,white,female,-1.214813549
237.8237296,0.751065313,-0.584042199,0.091384625,-0.154164491,-0.438848444,-1.006996427,0.358344745,white,female,1.305284046
-188.5163341,-0.710519439,0.489806638,-0.339020624,-0.822733229,-0.352884719,0.629278705,-0.538228241,black,male,0.074161215
-3.205851622,-0.196812709,-0.214943506,-0.919765131,0.584233087,0.633056833,-0.025909798,0.457638434,black,female,-0.63620051
20.27078911,0.290723358,-0.293676015,0.11560679,-0.80504653,0.081434526,0.843103531,-1.133564135,white,male,0.609119746
-2.604502407,-1.338076125,-1.332319059,0.283607601,0.454579935,0.049912971,0.551592782,-1.303046038,white,male,-0.930477209
45.25723152,0.669798109,-0.971638323,-0.861288355,0.093844866,0.196070188,0.686845382,0.505682753,white,male,0.169937506
73.73075922,-1.129197448,-0.316099891,-0.305403045,0.739235902,0.146038323,-0.588511048,-1.0950122,black,male,1.212796972
-103.4271785,0.574831478,0.105928991,0.985306116,-0.260713777,-0.362779299,-0.197564668,-0.041253631,black,male,-0.456791517
74.40219752,0.391716205,0.630861259,0.374409109,-0.170694611,0.461986301,-0.339028636,-1.036566392,white,female,0.372789901
-15.29034569,1.040794178,0.059065749,0.226005,1.049717647,0.270012625,-0.483094513,0.993289246,white,male,-0.778127657
-14.94453324,-1.23945368,-1.814904753,0.330884181,0.404343286,0.854856375,-0.881896679,0.813919381,black,female,-1.194077257
149.6729548,0.696613586,-2.04310458,-0.500016827,0.727565888,0.819379683,-1.925241485,-1.328410286,white,female,0.645806729
27.03427014,-0.676861656,-0.756575595,-0.104445092,0.07447226,-1.459887753,0.354882239,-0.280763552,black,female,0.488476555
83.49748729,-0.50748302,0.220526791,-1.93145977,1.568129853,0.818122039,0.258441737,-1.296350909,white,male,0.151256144
88.42272515,-1.797480004,-0.645058446,1.438587567,-1.499975463,0.23912382,-1.170249231,1.372501627,black,female,-0.424045593
32.819947,0.988468209,0.380097247,-0.976201206,-1.648658636,-0.472629303,-0.159948128,0.73783015,white,female,-0.381346535
119.0782978,-0.580961922,-0.148435028,-1.168332534,1.72504225,-0.670809853,-0.181082948,0.504652607,black,female,0.957498901
-0.019511034,-1.258033353,1.224395974,-0.900669597,-0.017467977,-1.035798385,-1.09685091,0.564030013,white,female,-0.500999782
-32.82091791,-0.512903751,-0.36083519,2.091433887,-0.130341293,0.869527421,-2.217838449,1.388414809,black,male,0.563408804
-18.73959619,0.634908858,0.769502745,1.097613611,-1.207778052,0.634436466,0.398936721,-0.987270777,white,female,-1.550218633
13.90084583,-0.647990915,0.662559879,-0.259683742,-0.198885516,1.279858294,0.046921577,1.563324206,black,female,-0.225703343
116.2557637,-0.31995448,0.192743043,-0.834662145,1.049654014,-2.875545203,0.44228934,-0.061331581,white,male,1.882379477
-14.69869861,-1.389695521,0.639704568,2.383719284,-0.131628713,-0.920670947,-0.678868055,-0.870350223,black,male,0.082933851
-126.2499762,0.389491584,-0.600713545,1.796922786,-0.551544588,1.191384038,0.338542291,-1.162725288,black,male,-0.911785316
