A,B,C,D,E,F,G,H,I,J,Response
178.0272453,-0.396416852,0.866072327,-0.911690873,-0.578922307,1.110707098,-0.692606184,1.810709145,female,yes,0.060439536
64.0206774,0.684917215,-2.654717198,0.136063684,0.953358138,2.595150993,0.689765436,0.736689992,male,yes,-1.643093555
115.5467868,0.125739026,0.120756018,-0.98365047,-0.099781345,1.540750733,1.402090296,0.361592396,male,yes,0.183941901
-115.4572365,0.912880933,0.463696372,0.78255813,1.203315655,0.26869724,0.07121965,-1.075955748,male,yes,-1.515424822
61.26805154,-0.661312396,0.878082788,-0.786788291,-0.022169588,-0.244016965,1.786243311,-0.954548144,male,no,1.861489672
119.3889851,0.272940254,-0.608488185,0.083604445,-0.146471248,0.874483513,-0.086530035,0.51605963,male,no,1.099279697
-123.5752524,0.663009,-1.743964358,-2.123860393,-0.55905365,0.572039657,-0.24570466,-1.670895498,female,yes,0.352650052
-105.9212671,-0.828328379,-0.656799283,-1.332615955,0.409433011,-1.075902512,-0.925428607,0.285650295,female,yes,0.868105867
294.5144879,0.746371445,0.429207232,2.160879811,0.665850287,-0.241209685,-0.271003754,1.072869228,female,yes,0.842721192
-16.97238925,-0.680050394,0.323714909,-1.396227517,0.703697593,1.138464838,1.683587736,-0.548830155,male,yes,0.110207304
-3.465020765,0.07067707,1.14328673,-0.373048247,1.316026917,-0.74195596,-0.406220071,0.810390075,male,yes,0.695671672
-78.70798067,0.657207277,-0.14798992,-0.49267227,0.843446037,-1.675480904,0.794230124,-1.352855881,female,yes,1.864348695
-18.74300071,1.416767854,0.052529784,0.625080919,0.034239238,-0.230700818,1.527885176,-0.068397779,male,yes,-0.335934344
-14.62837044,0.449453345,-0.903936451,0.568403364,-1.217710296,0.782182682,0.859367049,1.572067234,female,yes,-2.30080989
-34.99047509,-1.58535031,0.584425881,1.086644527,-1.511770986,-1.090464381,-0.044949559,-0.328829228,female,yes,-0.672954337
-60.83362703,1.344966305,0.167617293,-0.419309312,0.230118634,-0.517184273,-0.477741964,-0.316988089,female,yes,0.306009371
115.7664265,-0.680127595,-1.891787275,1.805295855,0.320320428,1.549285541,-1.935851515,-0.338714626,female,yes,-1.059047271
1.361022592,1.156221293,0.35161456,0.254722336,0.554458084,-0.101089818,-0.372175586,1.410809071,male,no,-0.853102803
59.01980238,1.285714208,0.515223223,0.433650458,-0.671068292,-0.83022701,-1.766276296,0.507778078,male,yes,1.160724686
-202.0819729,0.261812827,-0.586043621,-0.880819768,-0.953866799,-1.459753184,2.08632906,1.388250126,male,yes,-0.400924524
247.7263982,1.402025604,1.510355773,1.221886918,0.440717178,0.077686523,-1.125107854,0.772114646,male,yes,1.156199081
26.60769091,-0.698196279,0.300608976,1.541209933,0.278487536,0.125149585,-0.229993031,-1.9679573,male,yes,0.274680221
109.3053862,0.42656005,-1.545655436,0.486885766,-0.488932327,1.275544716,0.235116945,0.92595953,male,yes,-0.041039722
379.8187711,1.04088819,1.100275079,1.286764188,1.02224043,0.388747541,1.229760673,0.494737358,female,yes,1.577416575
87.093029,-1.424122564,0.266649621,1.709673259,-0.233975294,-0.127689275,-0.373281003,0.088858062,male,yes,-0.450199217
182.490935,-0.346619199,1.301043287,0.427791848,0.201947465,0.039190595,0.527744901,-0.758787655,female,yes,0.848287593
73.19068675,-0.2293478,1.564400088,0.73632475,-2.402041019,0.901578434,0.309457849,-1.483862834,male,yes,0.029367467
-124.6852739,-1.773936062,0.195611332,-0.817239597,-0.588135118,-0.711981972,0.134286675,-0.061656613,female,no,-0.552710711
187.27676,-0.074480037,-0.216802543,0.36230174,0.975146903,1.309935632,-1.057524574,-0.513551899,male,no,0.872823826
303.7496037,-1.651405465,0.099576935,2.248073429,0.617125128,1.183528834,-0.52802279,0.53872032,male,yes,0.46084938
146.436181,0.179844207,-0.201498997,1.413348276,-1.157768295,-0.670379466,-2.449682493,0.574024036,female,yes,0.199251223
120.1864208,0.543973591,0.707712001,-0.525984787,0.249346888,0.432161037,0.324870453,1.641638128,female,no,0.00570514
96.48804605,-0.156142648,0.471384179,-1.401404091,1.199876084,0.039988951,-1.094713637,2.063857501,female,yes,0.556417475
-247.3729113,-0.993371371,-0.577844463,-0.444520266,0.295880407,-0.24569621,1.34012591,-1.136925768,female,yes,-2.334782235
119.7737666,0.032543646,-0.092399815,0.853061122,1.139397448,-0.808453434,-0.895715139,0.341712215,male,yes,2.261317717
5.083338433,-1.253374439,0.929651256,-1.868093881,-1.275337254,1.819513748,-0.68777116,-1.129739625,male,yes,-0.177330282
10.17548731,-0.136525082,-0.879065849,-0.340819891,0.408171016,0.354774596,0.372014749,-0.749458233,female,yes,-0.065977338
127.3171652,0.863934806,1.595422141,-0.053947879,0.578060369,-0.849817265,-0.089768464,-0.954136776,female,no,1.877498241
-289.1739396,-0.554384849,-1.697131377,-1.819594451,-0.482899611,-1.515387283,-1.280396835,1.515255208,female,yes,-0.501912873
-14.77460751,1.903343902,-0.642623535,0.21785524,1.440790466,-0.72209319,0.27108669,0.48517504,male,yes,1.18567782
178.2002476,0.088213684,-2.036844186,-0.17934673,1.53040132,1.720252709,0.981638324,1.461175159,male,yes,0.550354094
326.8316447,-0.462468193,1.425919384,0.035134577,-1.209082539,1.664021996,-0.821086815,-0.789040584,female,yes,2.016814804
181.7832744,1.716474742,-0.379691811,0.225879254,-0.285861389,0.360079092,0.371420419,-0.327930413,female,no,1.571962306
-23.69702215,-1.05567188,1.29718839,0.142929567,-0.245983586,0.204849342,-0.311208581,-0.676709184,male,yes,-0.94607405
148.6291011,-1.385143029,-1.599610439,0.246242496,-0.781226134,1.373404921,0.434061636,0.191583034,female,yes,-0.562360302
-36.60399774,-0.288984285,0.373293954,-0.327464743,0.177427943,0.140145971,0.99459088,-0.351183491,male,yes,0.020176891
-127.2074688,0.054218797,-1.391849509,0.802164222,0.690327934,-0.94239982,0.855562652,-0.06560413,male,yes,-0.624629657
19.90042294,-1.270649446,1.181613721,0.125902893,-0.669090762,0.746431335,0.42320779,0.178562916,female,yes,-2.027343399
-93.96598348,0.445628077,-1.118446715,-0.353184653,0.042415053,1.309940649,-0.696586841,-0.206564279,male,yes,-0.745431242
-95.64806807,0.377266769,-0.889083385,1.664710672,-0.407814929,-1.115300725,-0.908944488,-1.068311871,male,yes,0.21233478
79.91477384,0.493244016,0.739663206,-0.350176903,-0.292678634,0.088524088,0.079983401,0.258507939,male,no,1.240915478
-37.88542332,0.20917159,0.466945506,-0.096850556,0.285128287,0.242132301,-2.402523466,0.059078706,male,no,-0.363149054
-110.5373766,1.497815546,1.568522,-0.810288918,0.510148321,-0.146467328,-0.446518447,-0.44207914,female,yes,-1.266678816
-333.1139553,0.629358177,-1.326272267,-1.91360182,-0.003052434,-0.967635738,-0.751294017,0.021103254,male,yes,-0.557026324
-135.362094,-0.202031258,-1.580445521,-1.271129523,0.835364511,0.135491068,-1.430296889,-0.039061284,male,no,0.65754173
-15.02110873,0.846831692,-1.098999939,-0.8577353,-2.194669502,1.29122531,0.158962575,0.463613326,female,yes,-1.148107868
151.9372309,-0.365925153,-0.227299214,0.711296191,0.961721861,-0.150212187,0.332555276,1.918360188,male,yes,1.362550886
46.70661576,-0.512737896,0.341376948,1.630209446,-0.507684331,-0.776779142,1.186388905,1.057485948,male,no,-0.466172161
-134.3673694,-0.605620233,0.688331758,-0.838350416,-0.658618605,-0.508675329,-0.569399746,-1.110569323,female,yes,-0.045285124
48.71134144,0.184442549,-0.528736905,0.352461335,-0.554059971,0.536037146,-0.431740985,1.091759826,male,yes,-0.165630565
-12.60553195,-0.425110537,-1.043287277,0.415259886,-0.916529173,0.391268978,-0.328573485,0.107172336,female,yes,-1.52087869
144.1472865,0.847399734,0.611362584,-0.316998743,1.05430282,1.667091478,1.133420475,-0.520043939,male,yes,0.326965684
-55.78822163,-0.632086729,-0.626634069,-0.791610703,0.212368656,-0.499724731,-0.830699943,0.267349669,female,no,0.13774597
-40.33492178,-1.558949132,0.480559042,-1.38471774,-1.010073738,0.110488961,1.564249833,-0.345669022,male,yes,0.603477849
65.93489266,-0.634875682,-1.916480298,2.680898188,2.013173423,0.24871548,-1.230072576,0.174212835,male,no,0.675321672
-41.47924642,1.095388837,0.341052641,-1.749782791,-1.049792152,-1.619771859,0.249411083,0.739153824,female,no,1.763510145
-0.135792124,-1.284116335,0.038936778,1.815474742,0.586910888,-0.497490883,1.376194729,-0.472347001,female,yes,-1.13014095
57.11571022,-0.263902141,-0.883041574,-2.212325136,-1.169209851,0.567859784,2.091570725,1.107863112,female,yes,1.39723951
43.61008447,-0.768051678,0.070506665,0.495811791,-0.195198187,-0.187180418,-0.290823967,-0.858031603,male,yes,0.992963296
-136.1312945,1.070427684,0.154915978,-2.014616288,-1.219711111,0.532354357,1.213880512,-0.465617738,male,yes,-0.352063593
-86.28409432,-0.532280491,-0.399027598,-1.502342614,0.233051241,0.079615299,0.27590498,-0.176792791,male,yes,0.544226505
-162.0352919,0.00542203,0.086014526,-0.422288678,0.296747545,-1.571142251,0.060961435,0.345345063,male,no,0.231242077
77.54233401,0.753819516,0.360894173,0.833506017,-1.839457104,-0.743582986,0.238086333,-0.913909878,female,yes,0.759346335
244.1328092,2.249706576,1.442060056,0.024314126,0.252325741,1.403914148,-0.902236847,0.310359049,female,yes,0.826697484
-81.46527127,0.086809008,-1.048640776,-0.517760027,2.333190551,0.377174822,-0.106605712,0.052939039,female,yes,-1.275630282
-86.66745101,0.184902154,0.921097087,-1.644546383,-0.703967084,0.650589831,1.178227313,-1.139710086,male,yes,-0.336654147
155.0386202,0.12231915,0.539434907,1.390348716,1.188748624,0.189685189,0.019154241,0.015492026,female,yes,-0.403344307
-33.00801375,-2.544537856,0.287947069,-0.209765397,0.904442583,-0.539111565,1.601178302,0.551982322,male,yes,0.052163296
-55.99056033,-0.050935802,0.572812246,-0.139739648,2.375549453,-0.055940733,1.279904602,-0.177438613,male,no,-0.74708068
50.71136789,-0.210774423,-0.485045994,0.401754098,1.579200317,0.708769399,1.715012154,-0.013685063,male,no,0.085143267
