A,B,C,D,E,F,G,H,I,J,Response
259.6963869,0.436584724,0.076998297,0.305931195,-0.070749606,0.195963489,-0.543286396,0.925726884,white,female,0.641449697
65.22082156,-0.376304946,0.32885717,1.043716908,-0.155270028,0.820281387,-0.709778575,0.343536209,black,male,0.966294403
-46.80674699,0.705743217,1.05127555,-1.466238167,-1.903149879,0.275788461,-0.170799702,-0.702954319,black,female,0.84557953
-72.00399233,1.712761934,-1.360681126,-1.812483884,-0.900048357,-1.413071424,0.750673081,-1.489408707,white,female,0.220466492
15.01529778,0.268525384,-0.418914759,0.083572663,-0.491048684,-0.0369507,-2.710464527,0.724179906,black,male,-0.193830798
-14.23693552,0.373392623,-3.005181466,-0.365780911,1.789591147,0.949557348,0.329340581,1.64139358,black,female,-0.051219187
178.9170967,-0.434570322,-0.221677188,1.397979379,0.096896632,-0.686556762,-0.682407352,-1.42503347,black,male,1.628848466
118.8712462,-0.389022638,-0.164620516,0.672965894,0.284956467,-0.061724118,-0.398360339,0.435756727,white,female,0.310036889
-18.47290758,-1.576999385,0.780204591,0.60904066,1.618522838,1.03885042,-1.723170121,0.243794705,white,male,-0.568906995
-94.08513314,1.111926125,-0.584165998,-2.333980424,-2.771875769,0.495570948,0.140299279,1.163741571,black,male,0.201161065
-61.29389286,0.830766944,0.174746947,0.226308424,0.521860129,1.562900337,-0.428560464,-1.629230513,white,female,-1.049191925
-243.8865184,-0.780189824,-1.68162859,-2.578856816,1.296634918,-0.157195341,0.04932014,-0.45518046,black,male,2.012182576
-92.00610266,-0.216946365,-2.40206093,0.693449966,0.029891522,0.802597534,1.685056044,-1.391607857,white,female,-1.051769194
-111.3645842,1.322717601,1.769965425,-1.325324948,0.703879567,-0.065680121,1.613633663,-0.301141833,white,female,-1.025986878
-97.08647128,-0.131179614,1.114113091,-0.4423737,-0.942090731,-2.264726899,0.542270258,0.943574526,black,male,-0.496164585
5.543169735,0.517135625,1.043266775,0.510254499,1.086682736,1.80097509,-0.178272512,-1.028051219,white,male,-1.02715014
-58.83724419,0.690016089,-0.555793158,0.803954489,-0.67643068,1.471421995,2.797840892,1.415299785,black,female,-1.734594959
-325.6030574,-0.864907379,0.773807425,-1.609358552,0.252687268,1.073427616,0.023092329,0.142106766,black,female,-0.694550297
-251.9042208,-1.509056125,0.393430107,-0.190002288,1.005039465,0.983024496,1.301660687,-0.382721099,black,female,-1.076978306
