B,C,D,E,F,G,H,I,J,Response
-356.4916092,-1.323540072,0.396105612,-1.807507028,-0.666499875,0.196114262,-0.230742325,unknown,yes,-1.428615509
-172.9768429,-1.390037282,0.234780361,0.138108617,-0.058909215,-0.257517164,-0.39375608,female,unknown,-0.947189563
61.72363186,-0.066509635,-0.036097161,-0.95975935,-0.140064579,0.565063057,-0.540421718,female,unknown,0.274433187
6.222826402,-0.021505384,-0.314187918,1.442658372,0.77268381,0.844248504,-0.125189693,female,yes,-1.24440445
-113.5461522,-1.512055419,0.211715174,-0.763352852,0.362110437,-1.342848116,0.1693022,unknown,yes,0.792937397
219.9689874,0.511060596,0.771836778,-0.564095825,1.850549681,0.534486858,-0.504582482,male,yes,0.842666939
-165.2922231,-1.66234784,0.666435654,0.278588163,-2.074092473,0.434992528,0.055659772,male,no,0.839808818
32.85795926,1.301043287,0.201947465,-0.346619199,0.039190595,0.527744901,-1.748041372,female,unknown,-0.758787655
-397.5200031,-2.185694181,-0.076181946,0.334623797,-0.83160506,-0.795084387,-0.33553914,female,unknown,-1.130880858
-234.4564747,1.231966792,0.321693123,-0.558740897,-1.135750326,-0.631916024,-0.935414718,female,no,-1.194241312
33.79025684,-1.147716065,-0.506990774,1.238186276,0.821428121,-0.136606801,1.150280573,unknown,yes,0.097401903
88.1873999,0.581043264,1.508211648,0.122191576,0.25878216,0.267372964,-0.509613875,unknown,no,0.205964136
15.62491018,-0.393653603,0.755732983,-0.371272369,-0.942447785,-0.046622969,1.481977858,female,unknown,-0.275353429
-117.1833896,-1.235496133,0.379348201,0.099651761,0.991452712,-0.148369466,-0.388813261,female,unknown,-1.566540287
-255.0076901,0.477128891,-0.699774082,-1.746463177,-1.939328558,0.136523039,-0.394798336,male,yes,-1.102533256
51.22205982,-1.916598272,-0.580300179,0.133395677,2.612638466,-0.728622758,0.539050765,unknown,yes,-0.173426123
-46.61767035,0.849513779,0.083145886,-0.665528543,0.782115227,-0.981783914,0.005846255,unknown,yes,-0.760272436
165.9018654,-0.275648635,0.408115327,0.6669579,-0.32872284,-1.236896458,0.739171079,female,no,2.511033861
115.4654996,-0.557891213,0.355700612,1.744984607,-0.919960119,0.035188202,0.477233962,female,no,2.357715166
79.52950084,-1.16738827,0.565930444,0.178318128,-0.288826647,0.586842884,0.733917519,unknown,unknown,1.073626532
-274.0486098,-0.836610265,-0.082380516,-0.155048574,-1.985048439,0.223706835,-0.167328794,female,no,0.096137726
43.47533843,0.560575536,-0.337500831,0.269912482,-0.008246879,0.1851466,-0.342646778,female,yes,0.71768989
-250.0309598,0.016350347,0.058077988,1.575396471,-1.656821397,-1.799077993,-1.536622276,female,no,1.025539194
68.72552628,2.301574609,1.775866779,1.814844664,0.563768753,0.823193383,-3.512724317,male,no,1.042162781
-194.9451057,0.627988537,1.146133518,-2.288381515,-0.740164475,-0.352934805,-1.512425367,unknown,yes,-0.04391191
-166.4591606,-0.890430711,-0.981043034,0.348465039,-1.773740349,0.980871748,0.918952056,female,unknown,-0.843838571
280.8630426,0.909763552,0.856436734,-0.526616027,0.230050618,2.119026201,0.228894314,unknown,unknown,0.442085112
248.0770162,3.441617207,-0.49384835,-0.566450777,0.152388215,-0.006453758,-0.078785302,male,no,-0.604811132
-25.25935253,-0.329972909,0.604909955,1.26895781,0.918498602,-0.294578082,-0.285041281,unknown,unknown,-0.872672545
406.7327553,1.424817971,-1.563105417,0.417988197,1.038705129,1.888448682,1.345555998,unknown,unknown,-0.132525372
-129.0464499,-0.561134533,-1.097723335,0.652891305,-0.59472163,0.79540569,-1.987302934,female,unknown,0.128946932
56.41395929,-0.659573846,0.169599386,0.362774547,0.295809794,0.83470795,0.511009948,female,no,0.875012944
