B,C,D,E,F,G,H,I,J,Response
13.03014886,0.258890517,0.78309233,0.481875472,-0.385885964,-0.286105006,-0.86549725,female,yes,-0.325145099
-487.6231229,-1.02692553,-2.035665456,-0.811963012,-0.912391351,-0.807919644,-0.920159111,male,yes,-1.180721394
239.552216,0.28265648,0.068347517,-0.591569421,0.111545444,0.011653425,1.190821502,unknown,unknown,2.894150627
-155.972541,0.944452642,-1.522957094,-0.023993992,-0.336167942,-0.396062076,0.150098822,male,no,-2.177000856
-31.15957918,0.111320199,0.837527539,0.1867762,0.190625231,-0.951821445,-1.218289743,female,unknown,0.707169946
-279.7747519,-0.985908123,0.776953012,0.299871843,-0.158650218,-1.570210241,-3.009547811,unknown,unknown,1.077251312
-34.43211467,-1.343007633,1.516561536,-0.67276345,0.249585149,-1.554854394,0.040358212,male,no,0.006929844
31.79634907,1.35083048,-0.847656836,0.465423199,0.606116078,-0.919886667,0.229876044,female,no,0.294781998
259.5434123,-0.739216826,2.987589256,-0.699725058,0.310388123,-0.906226918,0.210612957,female,no,0.888484014
-214.5782474,-0.984191373,-0.994327073,0.27573849,0.189611785,-1.386783342,0.527409395,female,yes,-1.427096276
-215.1662783,-1.171556549,1.716668019,-0.624057292,1.69912948,-1.036305552,-2.448556361,female,yes,-0.030644768
193.4011846,0.995907807,0.895330315,-2.438603611,-0.953264634,0.221247663,0.204396977,female,yes,0.354447963
-194.5433242,0.387599452,-0.607452904,-0.21980828,1.858924124,-2.02857266,-0.006280749,female,unknown,-2.983450077
-16.8566292,-0.246780157,-2.257557678,1.126531686,-0.698686838,1.165393765,1.308413008,female,yes,1.029295419
-18.54357713,0.180902243,0.803013096,-1.715801867,-0.948016718,-1.399380353,-0.398187917,female,unknown,-0.786917368
-263.8186163,0.240771952,-1.961898055,-0.413748475,0.534368386,-0.594406016,-1.236584144,male,unknown,0.840352905
110.0392141,1.331726537,2.160557102,-0.042437292,0.154695337,0.07809192,-2.080951318,male,unknown,-1.277979582
-63.69254191,-0.623588347,-0.081058082,-1.96286288,-0.103396228,0.721557539,0.289055329,female,no,-0.814120638
310.8770468,0.759322671,1.030190944,-0.989522779,0.863590661,-0.310791707,1.251232445,female,no,0.713849852
-232.1233817,-1.512741446,-0.444965728,0.296408341,-0.590579928,-0.291760275,-0.143598111,unknown,yes,-0.852810409
-231.4923324,-1.610303292,-0.364588942,-1.128943245,-0.456170911,0.19410927,-0.474034806,female,no,-0.105463997
26.83906912,1.09679884,0.388177443,-1.325737856,-0.82699146,0.014914889,-0.978822373,male,unknown,-1.072885148
171.2899095,0.144307002,0.931108471,1.102636007,1.05923756,1.05755069,0.373573805,male,no,-0.557886381
81.52912045,0.616253625,1.088626508,1.092027895,-0.003429852,0.385598774,-0.96491246,male,yes,0.091611225
196.9172764,-1.198926208,0.952495577,-1.082684891,0.078857767,0.644662293,2.141316746,female,no,1.721791306
-166.0849647,-2.264641031,0.860191088,-0.698544611,-1.50039685,0.701078719,-0.39876116,female,yes,-0.420556935
-206.4487699,-0.314269678,-0.361234369,1.937992693,-0.794595226,-0.308315661,-1.143426341,female,no,-0.524809165
369.9280285,1.947566573,1.766699355,-0.745761611,-0.387512982,0.91099526,0.044007049,female,yes,0.349221318
-46.27644894,0.400369096,-0.569447028,1.118101429,0.213137514,0.380432404,0.321585508,unknown,no,-1.710885014
63.65086848,0.213938389,-0.544253648,0.170709684,1.278901131,0.021785676,0.475001502,unknown,yes,0.417822171
-222.0153641,-0.330650466,-0.54347574,0.12460737,0.719843769,0.105747058,-0.828634261,male,no,-1.96122395
-231.7705619,0.46018422,-1.927652257,-0.170349747,-1.728133514,1.02286333,-0.668884264,unknown,no,-1.137295485
105.2494248,0.102073511,1.252428465,-0.9038277,-0.60867198,-1.146510241,-0.383691023,male,yes,0.528531763
-125.2416036,-1.289618228,-0.376545232,0.333509977,0.736585337,0.927183082,-0.071337543,unknown,no,-0.513335954
104.4653605,0.314662326,0.445035381,1.18471574,1.348137408,1.144462008,-0.848916347,female,no,0.731143465
212.724147,0.537755008,0.960711806,1.639128952,0.799839556,0.371364757,0.268793376,female,no,1.0698303
-161.5254503,0.632935667,0.328877814,-1.715885667,0.528370089,0.317472259,-1.953521373,female,unknown,-2.179657665
-220.9476979,-0.12547696,-1.687028775,-1.0683638,-0.952473549,0.099112273,-0.150474214,unknown,yes,-0.697414886
159.4912864,0.875541758,1.163663578,1.501546273,-0.348025716,0.158581112,-0.817955863,unknown,no,0.767748341
36.27548254,-0.008556839,0.277912598,-0.452473932,-0.565704858,0.860004994,0.093082475,female,unknown,-1.108722043
14.19153304,0.184239206,0.211556503,1.057003018,1.407697773,-0.587902091,0.238472586,male,no,-0.579492498
-228.1491695,0.072730118,-1.239195292,1.456047069,0.741279494,-0.185533267,-1.481807468,male,no,-0.127467214
81.43471567,-0.221311988,1.214114505,-1.604446516,-0.96291793,0.116727492,0.10743118,male,no,-0.380871961
-28.98754401,-0.451833313,-2.364247422,-0.094961699,1.091140898,0.485609875,2.49640382,female,unknown,-0.370497768
-75.7135795,0.119724907,-0.974933754,1.764899383,-1.405147347,0.677863878,-0.523700536,unknown,no,0.572216283
141.5397975,0.573703473,0.920058611,-0.384763866,0.69080914,1.32340721,-0.372975131,female,yes,-0.552989956
-101.6503441,0.970397752,-0.775841486,2.501360164,2.96229178,0.820494968,-1.441930302,female,yes,-0.901878772
47.30215362,-0.038637319,0.145258142,-1.16322798,-1.096943657,1.965533846,-0.18945157,female,no,-0.943932482
-70.25793979,-1.145833719,0.237673106,-0.490778268,-0.874342657,0.839391156,-0.861799678,female,unknown,1.167982963
56.88964303,-0.485663825,0.465898748,1.531440468,0.243266815,-1.61180383,1.364643487,unknown,no,-0.577054586
47.034141,0.855234994,-0.051132749,0.172360234,0.895661705,-0.361800478,0.094346461,female,unknown,-0.062986159
49.08927704,-0.156174403,1.357671694,0.426718817,-0.421241435,-1.870487582,-0.216927488,female,no,-0.139524119
-42.36126341,-1.791747926,0.562571798,0.368717965,1.555733748,-0.801117375,0.985745739,female,unknown,0.092930129
59.09020726,0.027807041,1.217103689,-0.444967667,-0.968202482,0.10982175,-0.553806038,male,unknown,-0.413539642
-60.85478888,0.501487029,-1.20516787,0.750328605,-1.654904446,-0.641319114,0.768123054,female,yes,-0.893078422
-198.5952238,-0.355465214,-1.15938513,-0.178618852,-0.577769242,-0.810588824,-0.498985904,female,no,0.893922534
-206.0781835,-1.584235632,-0.298276853,0.703633992,-0.367980123,-0.543761934,0.198977963,unknown,yes,-1.469491971
237.1928894,-1.512903172,2.386601332,0.094822889,-2.075782441,0.605171726,1.60296195,unknown,yes,-0.496903719
53.70523211,0.372025702,-0.556832728,0.99177241,0.346290184,0.515946885,0.930979691,female,unknown,-1.202242732
-9.282215363,-0.132473575,0.193295319,-0.170075874,-0.418579816,0.857364605,-0.383881258,male,unknown,0.030464897
112.0108569,0.375439591,0.203565176,0.210619234,-1.932202472,1.141256462,0.322149929,unknown,no,-0.510054765
