B,C,D,E,F,G,H,I,J,Response
97.26250687,0.187984808,0.60107495,0.586832465,0.731204885,1.05080095,0.208861627,female,no,0.682932315
-69.21605001,-0.67857084,0.490891495,-1.622866033,-0.200591251,-0.045796047,-0.53477989,male,yes,-0.810691618
-86.46372289,-0.157680526,-0.381509533,0.721485952,0.92698903,-1.289519825,-0.20360498,female,unknown,-0.839371273
22.70690885,-0.385205967,0.577229984,1.714057175,0.085632939,-1.416205473,0.983011291,male,no,-0.063801935
63.26412006,1.18334563,0.579888695,0.320973056,-0.397255259,0.242547719,-0.196850326,unknown,yes,-0.654319179
32.83088539,0.412403377,0.968282102,1.165685904,2.350053693,1.267928152,-1.353771192,male,no,-0.554582134
-56.55382285,-0.336087394,-1.707858773,1.269878603,-0.126379004,1.834423064,-0.108805586,female,yes,-0.141347959
-82.2171514,-0.338677551,-1.132173589,2.090141708,1.669614396,1.437366348,-2.096635918,male,no,0.660227344
127.2915839,1.262779433,1.111716265,0.400217206,-0.23497976,0.222942609,0.839464267,female,no,-0.141296017
49.32504708,-1.330981975,0.197058846,0.09267507,-0.870049752,-0.554331626,1.50707535,female,unknown,-0.839710659
21.80151375,0.138363151,0.021937532,0.771368452,-1.224652187,-1.416937621,0.859332338,female,no,0.007038041
5.064835304,0.638152227,0.57083373,-0.364488036,0.846144673,1.433095662,-1.069948766,female,no,-0.769225535
217.5167097,0.881909638,0.979734657,2.349950335,1.318040426,0.061951771,1.962903956,unknown,unknown,-0.350483583
17.54372986,-0.398776241,-0.475708757,1.08012598,-0.781445481,0.426592843,1.100128977,female,no,-0.97575738
180.2071499,-0.085404014,2.275355823,-0.757668176,-0.00993379,0.587170913,0.639151286,female,unknown,0.100190405
58.34363457,0.102441689,0.286911593,0.202673142,-0.132312254,1.174117041,0.363545763,male,unknown,0.283823295
206.8292545,0.858440261,1.132608871,1.976874434,-0.369428034,1.031184742,1.738959303,male,unknown,0.110590558
-79.10458367,-0.654953,-0.079461281,-1.99788329,-0.01982959,0.64587554,-0.76838293,male,yes,0.223981797
20.71840914,1.290356385,1.224235508,-0.334111434,1.11676554,0.777966591,-1.604645017,female,no,-0.882671913
-145.9296012,2.163043885,-2.265478036,-1.111977377,1.290152823,1.093425908,0.873954763,female,no,-0.923957377
-47.75554258,0.372776424,0.104950198,-0.920569774,0.930183997,-0.930516639,-0.357747318,female,yes,0.221505988
-4.986576008,2.527069406,0.686931162,-0.949046136,0.480663428,0.886917761,-0.407860668,female,unknown,-1.120048124
108.9667668,-1.945605385,1.130427875,0.477613542,-0.428082403,-1.682571886,0.924983089,female,yes,0.920121044
52.09520426,2.004518184,0.457575541,0.443688801,1.543266051,1.007928823,0.349594999,female,unknown,-1.436298419
29.08200579,1.12883071,-0.261049155,2.358678348,-2.188040785,-0.824354334,0.219279507,female,yes,0.134427991
91.68997947,-0.435131053,-0.420683864,0.939866455,0.777705839,0.114710299,1.478390861,unknown,yes,0.815361809
99.41079158,0.189342283,0.256403213,-0.193712317,-0.464094532,0.051618557,-0.029126282,unknown,unknown,2.12496915
66.29136039,-0.235925867,0.999423293,-0.918981232,1.160768305,-0.794506208,0.944480131,female,no,-0.399337031
-3.8687423,0.288979808,-0.999091726,0.416972682,-0.398614984,0.880265542,0.058333638,female,unknown,0.676210209
-38.63589135,0.567365416,0.196213683,-0.938212708,-0.078612084,-0.019774553,-1.021812947,female,no,0.394333921
-171.7309122,1.209633651,-1.257936781,-1.376738368,-0.842281424,-0.394367176,-0.10157779,female,unknown,-2.100932535
14.11092346,-0.742789511,-0.55701722,-0.326932093,-0.535834521,1.609711897,-1.425262583,unknown,no,1.876359794
55.95779244,0.601342644,0.824179734,0.267906362,-0.43928242,0.186820379,-0.986357971,female,no,0.923163469
-113.4328711,0.65302187,-1.996621218,-1.947146787,-0.926749062,-0.799601755,2.05872391,unknown,unknown,-1.021441423
-37.602579,0.891970133,-0.361650294,0.895012476,0.579868954,1.644109854,-0.569312427,male,unknown,-1.396394114
195.560077,-1.413748604,0.69996977,1.183194434,0.13679666,0.719435393,0.820271709,unknown,yes,1.127812629
66.96110955,-0.433610295,0.707932879,1.30795152,0.465313688,0.123991155,-1.135196075,unknown,yes,0.006856996
60.381484,-0.541851596,1.161754746,1.370469177,-0.328555834,-0.296448356,0.269583392,male,no,-0.518346268
207.3417035,-0.747685556,1.784084758,1.14600785,0.557216299,0.440992572,0.343667227,unknown,yes,0.428712352
-76.56596541,0.548686308,-1.955460317,0.742622429,1.076122686,1.58973599,-0.750569758,unknown,yes,0.056604689
-26.69786159,1.21986477,-0.837835347,1.808249304,1.567310994,0.417806495,0.159677544,female,yes,-0.716021566
39.20044403,-0.046673044,0.303723373,0.792962918,0.897761863,-1.673558028,-0.03679147,female,unknown,1.865780926
86.62757266,0.267411973,0.79469235,0.298876786,0.063828072,0.169654638,0.984587547,female,no,-1.395629689
130.771203,2.762818336,0.678899,0.644904405,-1.384804093,0.429298245,0.913398331,unknown,no,0.113849301
-66.69521946,-0.044285791,-0.880671787,-1.827334929,0.571608485,0.106222666,1.509615032,female,no,-1.161474901
8.830789397,-0.577623947,-0.076702792,2.068336021,0.321314737,0.453459599,-0.696683802,female,unknown,-0.354835322
36.8209004,-0.630345782,-0.053521279,-0.789553695,0.482564745,-0.370831718,0.894716259,unknown,no,0.568072444
-60.0336067,0.513864799,1.273863075,-1.975631118,0.055149572,-1.744795268,-1.439001455,male,no,0.925345597
-76.34357082,0.03907394,0.012594127,-1.240695312,0.731429452,-0.085006737,-0.856850861,male,unknown,0.391146659
-10.14786372,-0.39727802,-1.664430273,1.238079869,1.218772832,0.35893303,0.268662417,female,unknown,1.822705602
-51.05948444,0.728630915,-0.549201055,-0.766343602,-0.642463677,0.77240495,-0.953488576,unknown,no,-0.367237249
-32.12255459,1.238275816,-0.657561768,0.497612142,0.802631419,0.654611872,1.120540704,male,yes,-1.270751576
80.4022852,0.049289458,0.424527953,0.393761211,0.623769939,0.548999273,0.58474529,female,unknown,0.609524232
168.9147041,1.387108104,1.360363314,-0.424516997,1.29682998,0.833296742,1.03378939,female,no,0.562665991
111.028232,-0.278829607,-0.595787297,0.109843372,0.357051913,1.625561345,1.312702247,unknown,unknown,-0.557037637
-135.247964,1.242073022,-0.868964795,-0.026066297,0.453597316,-1.123426291,0.643309504,male,yes,-1.724037555
31.91920501,2.019193232,0.751389526,-0.01589683,-1.564817794,0.057415954,-0.133151142,female,unknown,-0.683270484
-12.90456147,1.316093301,-0.826712097,0.993591005,-0.34443233,1.37601554,0.009848692,female,yes,-0.656428762
-164.9479987,-0.938349409,-1.175409223,-1.101946845,0.444892272,-1.757004442,-0.618659903,female,no,0.084723906
-166.5042008,0.859449063,-1.494507965,-0.012505124,0.683554273,-1.033313544,-0.64266325,female,yes,-0.42857567
